SL.No.,Crime Head,1993,1994,Percentage Variation in 1994 Over 1993,Percentage Share of Crime During 1994
1,Murder,88756,85816,-3.3,3.4
2,Attempt to Commit Murder,75603,75614,0,3
3,C.H. Not Amounting to Murder,8789,8409,-4.3,0.3
4,Rape,16453,18880,14.8,0.8
5,Kidnapping & Abduction,27888,28580,2.5,1.1
5,I) Of Womens & Girls,18896,17552,-7.1,0.7
5,II) Of Others,8992,11028,22.6,0.4
6,Dacoity,30904,29684,-3.9,1.2
7,Preparation & Assembly for Dacoity,5898,4696,-20.4,0.2
8,Robbery,29588,30242,2.2,1.2
9,Burglary,83549,81692,-2.2,3.3
10,Theft,214653,197346,-8.1,7.9
11,Riots,522254,51963,-2.2,20.4
12,Criminal Breach of Trust,15918,15569,-2.2,0.6
13,Cheating,28109,29456,4.8,1.2
14,Counterfeiting,1297,1232,-5,0
15,Other IPC Crimes,1362494,1383805,1.6,55.3
16,Total Cognizable Crimes Under IPC,2512153,2501984,-0.4,100
