SL.No.,Event,No. of occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,Riot Control,253,78,482,13,687
2,Anti-Dacoity Operations,275,160,97,6,39
3,Against Extremists and Terrorists,180,190,30,33,69
4,Against Others,130,59,34,5,81
Total,Total,838,487,643,57,876
