SL. No.,State/UT/City,Gain - Murder,Gain - C.H.,Propey Dispute - Muder,Propey Dispute - C.H.,Personal Vendetta or Enmity - Murder,Personal Vendetta or Enmity - C.H.,Love Affairs/ Sexual Causes - Murder,Love Affairs/ Sexual Causes - C.H.,Dowry - Murder,Dowry - C.H.,Lunacy - Murder,Lunacy - C.H.,Communalism - Murder,Communalism - C.H.,Casteism - Murder,Casteism - C.H.,Class Conflict - Murder,Class Conflict - C.H.,Other Motives - Murder,Other Motives - C.H.,Total - Murder,Total - C.H.
1,Andhra Pradesh,124,1,127,1,355,0,357,3,71,2,1,0,2,0,0,0,0,0,1382,76,2419,83
2,Arunachal Pradesh,3,0,2,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,51,3,64,3
3,Assam,130,10,148,6,132,6,25,0,13,3,1,2,7,0,1,0,13,0,728,24,1198,49
4,Bihar,980,69,526,57,1069,66,507,145,245,50,28,0,12,0,55,0,71,2,1605,239,5098,630
5,Goa,4,0,1,0,6,1,3,0,0,0,1,0,0,0,0,0,0,0,23,1,38,2
6,Gujarat,59,1,126,1,113,0,152,0,21,0,9,0,8,0,0,0,13,0,839,4,1340,6
7,Haryana,23,3,101,5,139,7,53,5,10,19,1,0,0,0,0,0,0,0,350,70,677,109
8,Himachal Pradesh,5,1,11,1,12,0,13,0,0,0,0,0,0,0,0,0,0,0,63,14,104,16
9,Jammu & Kashmir,5,0,8,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,737,8,758,8
10,Karnataka,75,1,123,2,170,1,161,0,39,0,4,0,16,0,0,0,12,0,952,57,1552,61
11,Kerala,29,0,21,0,188,2,9,0,0,0,1,0,0,0,0,0,3,0,258,31,509,33
12,Madhya Pradesh,109,0,360,0,625,2,167,4,40,112,21,0,0,0,2,0,1,0,2006,207,3331,325
13,Maharashtra,99,6,169,0,279,1,357,7,88,83,8,2,0,0,1,0,29,0,1757,37,2787,136
14,Manipur,5,0,2,0,13,0,2,0,0,0,0,0,1,0,0,0,24,0,194,7,241,7
15,Meghalaya,5,0,7,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,95,6,119,6
16,Mizoram,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,35,0
17,Nagaland,12,0,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,97,2,137,4
18,Orissa,35,3,93,16,109,13,52,0,16,7,3,0,0,0,2,0,4,0,507,55,821,94
19,Punjab,15,5,84,10,51,2,84,3,10,13,0,0,0,0,0,0,0,0,418,66,662,99
20,Rajasthan,80,0,97,0,181,7,47,0,137,6,2,0,0,0,1,0,14,0,940,111,1499,124
21,Sikkim,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0
22,Tamil Nadu,72,0,243,0,425,0,221,0,17,0,0,0,1,0,8,0,6,0,749,44,1742,44
