SL. No.,State/UT/City,Murder - Incidence,Murder - Rate,Attempt to Commit Murder - Incidence,Attempt to Commit Murder - Rate,C.H. not Amounting to Murder - Incidence,C.H. not Amounting to Murder - Rate,Rape - Incidence,Rape - Rate,Kidnapping & Abduction Total - Incidence,Kidnapping & Abduction Total - Rate,Kidnapping & Abduction of Women & Girls - Incidence,Kidnapping & Abduction of Women & Girls - Rate,Kidnapping & Abduction of Others - Incidence,Kidnapping & Abduction of Others - Rate,Dacoity - Incidence,Dacoity - Rate,Preparation & Assembly for Dacoity - Incidence,Preparation & Assembly for Dacoity - Rate,Robbery - Incidence,Robbery - Rate,Burglary - Incidence,Burglary - Rate,Theft - Incidence,Theft - Rate,Riots - Incidence,Riots - Rate,Criminal Breach of Trust - Incidence,Criminal Breach of Trust - Rate,Cheating - Incidence,Cheating - Rate,Counterfeiting - Incidence,Counterfeiting - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
1,Andhra Pradesh,2419,3.4,1302,1.8,83,0.1,873,1.2,993,1.4,648,0.9,345,0.5,529,0.8,5,0,979,1.4,6954,9.9,17396,24.7,3354,4.8,637,0.9,2384,3.4,252,0.4,62629,88.8,100789,142.9
2,Arunachal Pradesh,64,6.8,32,3.4,3,0.3,28,3,41,4.4,30,3.2,11,1.2,45,4.8,0,0,52,5.5,165,17.6,317,33.7,11,1.2,31,3.3,22,2.3,6,0.6,1056,112.3,1873,199.3
3,Assam,1198,5,367,1.5,49,0.2,530,2.2,1140,4.7,1003,4.2,137,0.6,807,3.3,24,0.1,1054,4.4,3275,13.6,7325,30.4,3876,16.1,456,1.9,509,2.1,95,0.4,14756,61.2,35461,147.1
4,Bihar,5098,5.5,4542,4.9,630,0.7,1130,1.2,2419,2.6,541,0.6,1878,2,2677,2.9,248,0.3,3002,3.2,7156,7.7,18399,19.8,13593,14.6,1775,1.9,1362,1.5,74,0.1,53517,57.6,115622,124.4
5,Goa,38,3,8,0.6,2,0.2,8,0.6,16,1.3,11,0.9,5,0.4,5,0.4,0,0,19,1.5,488,39,875,70,163,13,46,3.7,57,4.6,18,1.4,1387,111,3130,250.4
6,Gujarat,1340,3.1,714,1.6,6,0,356,0.8,1091,2.5,951,2.2,140,0.3,318,0.7,0,0,1153,2.6,6238,14.2,20265,46.2,2259,5.2,2394,5.5,3298,7.5,160,0.4,72660,165.7,112252,256
7,Haryana,677,3.8,370,2.1,109,0.6,258,1.5,347,2,236,1.3,111,0.6,48,0.3,36,0.2,257,1.5,2749,15.5,4333,24.5,420,2.4,332,1.9,779,4.4,41,0.2,21836,123.3,32592,184
8,Himachal Pradesh,104,1.9,77,1.4,16,0.3,110,2,208,3.8,165,3,43,0.8,3,0.1,0,0,24,0.4,1089,19.8,1019,18.5,696,12.6,109,2,196,3.6,11,0.2,7123,129.3,10785,195.7
9,Jammu & Kashmir,758,9.1,657,7.9,8,0.1,109,1.3,339,4.1,279,3.4,60,0.7,49,0.6,0,0,111,1.3,1827,22,2348,28.2,647,7.8,93,1.1,172,2.1,3,0,7799,93.7,14920,179.3
10,Karnataka,1552,3.3,1094,2.3,61,0.1,281,0.6,621,1.3,390,0.8,231,0.5,377,0.8,4,0,1115,2.4,9980,21.1,19538,41.2,9130,19.3,600,1.3,1905,4,425,0.9,66266,139.9,112949,238.4
11,Kerala,509,1.7,385,1.3,33,0.1,197,0.6,180,0.6,120,0.4,60,0.2,102,0.3,19,0.1,217,0.7,4545,14.9,3706,12.2,7324,24,325,1.1,1415,4.6,71,0.2,64832,212.6,83860,275
12,Madhya Pradesh,3331,4.7,3188,4.5,325,0.5,2929,4.1,1264,1.8,1155,1.6,109,0.2,265,0.4,112,0.2,2146,3,19856,28.1,31934,45.1,3961,5.6,873,1.2,1527,2.2,60,0.1,116254,164.2,188025,265.6
13,Maharashtra,2787,3.3,1325,1.6,136,0.2,1304,1.5,1171,1.4,799,0.9,372,0.4,693,0.8,84,0.1,3180,3.8,15900,18.9,47668,56.6,4422,5.2,1844,2.2,3179,3.8,239,0.3,97711,115.9,181643,215.5
14,Manipur,241,12.2,144,7.3,7,0.4,5,0.3,1151,5.8,78,3.9,37,1.9,26,1.3,0,0,49,2.5,94,4.7,273,13.8,58,2.9,13,0.7,92,4.6,11,0.6,1284,64.8,2412,121.8
15,Meghalaya,119,6.2,22,1.1,6,0.3,34,1.8,26,1.4,17,0.9,9,0.5,70,3.6,1,0.1,101,5.3,195,10.2,514,26.8,44,2.3,22,1.1,30,1.6,7,0.4,774,40.3,1965,102.3
16,Mizoram,35,4.5,25,3.2,0,0,44,5.7,7,0.9,0,0,7,0.9,153,19.9,0,0,10,1.3,212,27.5,563,73.1,2,0.3,23,3,53,6.9,4,0.5,588,76.4,1719,223.2
17,Nagaland,137,10.2,57,4.3,4,0.3,12,0.9,40,3,15,1.1,25,1.9,35,2.6,0,0,117,8.7,221,16.5,274,20.4,9,0.7,38,2.8,50,3.7,6,0.4,499,37.2,1499,111.9
18,Orissa,821,2.4,1117,3.3,94,0.3,436,1.3,455,1.4,455,1.4,0,0,373,1.1,0,0,883,2.6,4537,13.5,8640,25.7,1863,5.5,402,1.2,413,1.2,27,0.1,28228,83.9,48289,143.5
19,Punjab,662,3.1,390,1.8,99,0.5,108,0.5,220,1,135,0.6,85,0.4,10,0,15,0.1,46,0.2,989,4.6,1275,6,7,0,147,0.7,532,2.5,11,0.1,6120,28.7,10631,49.9
20,Rajasthan,1499,3.2,1761,3.7,124,0.3,102,2.1,2531,5.4,2110,4.5,421,0.9,88,0.2,8,0,1137,2.4,8327,17.6,15517,32.8,18741,39.7,846,1.8,5549,11.7,287,0.6,75602,160,33019,281.5
21,Sikkim,6,1.3,4,0.9,0,0,9,2,14,3.1,2,0.4,12,2.7,5,1.1,0,0,9,2,123,27.3,160,35.6,55,12.2,5,1.1,7,1.6,2,0.4,428,95.1,827,183.8
22,Tamil Nadu,1742,3,1754,3,44,0.1,237,0.4,576,1,550,1,26,0,124,0.2,0,0,401,0.7,6348,11,19986,34.6,7343,12.7,650,1.1,1178,2,567,1,78121,135.3,119071,206.2
23,Tripura,284,9.5,61,2,1,0,61,2,114,3.8,33,1.1,81,2.7,154,5.2,0,0,177,5.9,408,13.7,607,20.4,283,9.5,13,0.4,19,0.6,11,0.4,1604,53.8,3797,127.4
24,Uttar Pradesh,10776,7.3,9541,6.5,1371,0.9,2078,1.4,4798,3.3,2796,1.9,2002,1.4,1740,1.2,238,0.2,6506,4.4,16822,11.4,43143,29.2,9594,6.5,3615,2.4,3722,2.5,284,0.2,90475,61.3,204703,138.7
25,West Bengal,1817,2.5,560,0.8,646,0.9,743,1,1128,1.6,783,1.1,345,0.5,553,0.8,138,0.2,791,1.1,945,1.3,22068,30.6,6147,8.5,610,0.8,1249,1.7,67,0.1,31480,43.7,68942,95.6
