SL. No.,Crime Head,Number of Cases Reported During 1993,Number of Cases Reported During 1994,Percentage Change in 1994 Over 1993
1,Arms Act,100,115,15
2,Narcotic Drugs & Psychotropic Substances Act,13,33,153.8
3,Gambling Act,818,363,-55.6
4,Excise Act,127,106,-16.5
5,Prohibition Act,1161,663,-42.9
6,Explosive & Explosive Substances Act,2,3,50
7,Immoral Traffic (P) Act,128,47,-63.3
8,Indian Railways Act,6,5,-16.7
9,Registration of Foreigners Act,3,1,-66.7
10,Protection Of Civil Rights Act,7,3,-57.1
11,Indian Passport Act,3,30,900
12,Essential Commodities Act,1,5,400
13,Terrorist & Disruptive Actvites Act,0,0,0
14,Antiquity & Art Treasure Act,0,0,0
15,Dowry Prohibition Act,17,9,-47.1
16,Other SLL Crimes,4813,4579,-4.9
17,Total Cognizable Crimes Under SLL,7199,5962,-17.2
