SL. No.,State/UT,Total No. of Persons Under Trial Including those from Previous Year,No. of Persons Whose Cases Compounded or Withdrawn,No. of Persons Whose Trial Completed,No. of Persons Whose Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total
1,Andhra Pradesh,702941,2003,671290,29648,651096,4.2,0.9
2,Arunachal Pradesh,330,2,15,313,12,94.8,0
3,Assam,15393,80,2633,12680,875,82.4,0.4
4,Bihar,66492,445,16185,49862,5886,75,1.4
5,Goa,9408,3,1204,8201,1095,87.2,0.2
6,Gujarat,894524,2989,209024,682511,89777,76.3,19.8
7,Haryana,100692,753,28002,71937,15547,71.4,2.1
8,Himachal Pradesh,21810,208,3732,17870,1072,81.9,0.5
9,Jammu & Kashmir,10208,0,612,9596,183,94,0.3
10,Karnataka,870131,4184,707539,158408,688857,18.2,4.6
11,Kerala,29260,337,11706,17217,7923,58.8,0.5
12,Madhya Pradesh,536685,852,254262,281571,241991,52.5,8.2
13,Maharashtra,1593387,7773,404513,1171101,300587,74,34
14,Manipur,5161,0,3320,1841,3300,35.7,0.1
15,Meghalaya,854,0,128,726,125,85,0
16,Mizoram,1986,0,1646,340,1476,17.1,0
17,Nagaland,1590,0,483,1107,406,69.6,0
18,Orissa,29222,29,5653,23540,3221,80.6,0.7
19,Punjab,48637,301,19219,29117,12713,59.9,0.8
20,Rajasthan,105780,437,19185,86158,13836,81.5,2.5
21,Sikkim,616,37,423,156,404,25.3,0
22,Tamil Nadu,1072314,121235,829040,231139,741528,21.6,6.7
23,Tripura,321,23,73,225,19,70.1,0
24,Uttar Pradesh,786704,8303,299864,478537,226163,60.8,13.9
25,West Bengal,642494,80698,530724,31072,526811,4.8,0.9
Total (States),Total (States),7536940,121592,4020475,3394873,3534903,45,98.4
26,A & N Islands,4109,0,1780,2329,1763,56.7,0.1
27,Chandigarh,421,10,134,277,85,65.8,0
28,D & N Haveli,123,0,25,98,18,79.7,0
29,Daman & Diu,27,0,13,14,5,51.9,0
30,Delhi,65272,0,13640,51632,10140,79.1,1.5
31,Lakshadweep,2,0,1,1,1,50,0
32,Pondicherry,27582,0,27409,173,27380,0.6,0
Total (UTs),Total (UTs),97536,10,43002,54524,39392,55.9,1.6
Total (All -India),Total (All -India),7634476,121602,4063477,3449397,3574295,45.2,100
