SL. No.,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I - Sanctioned","Inspector, SI & A.S.I - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,Andhra Pradesh,30,28,64,54,982,863,11584,9994,12660,10939
2,Arunachal Pradesh,4,2,12,11,49,47,1452,1407,1517,1467
3,Assam,50,48,130,124,831,735,20448,18778,21459,19685
4,Bihar,22,22,66,63,1321,1166,16647,16395,18056,17646
5,Goa,0,0,3,1,35,28,569,514,607,543
6,Gujarat,11,11,34,34,434,434,11900,11900,12379,12379
7,Haryana,7,7,16,15,297,289,4386,4131,4706,4442
8,Himachal Pradesh,5,10,12,22,218,191,4147,3790,4382,4013
9,Jammu & Kashmir,39,39,110,110,740,623,13556,12246,14445,13018
10,Karnataka,11,10,35,35,398,351,9058,7863,9502,8259
11,Kerala,15,15,41,41,268,261,6374,5226,6698,5543
12,Madhya Pradesh,38,38,131,131,2560,2560,24161,24161,26890,26890
13,Maharashtra,18,18,60,59,998,683,13990,12131,15066,12891
14,Manipur,29,15,61,26,285,220,7879,6784,8254,7045
15,Meghalaya,4,2,17,11,76,68,1980,1462,2077,1543
16,Mizoram,11,11,32,12,163,97,3713,2927,3919,3047
17,Nagaland,22,22,80,66,331,271,8963,8962,9396,9321
18,Orissa,17,17,63,63,521,323,6959,6687,7560,7090
19,Punjab,86,80,138,118,970,928,16763,16619,17957,17745
20,Rajasthan,23,16,60,34,357,273,10619,10311,11059,10634
21,Sikkim,2,2,5,2,30,19,845,828,882,851
22,Tamil Nadu,14,14,39,35,756,456,9645,8918,10454,9423
23,Tripura,10,6,42,11,251,102,5968,5900,6271,6019
24,Uttar Pradesh,84,78,139,72,2687,1218,43797,33586,46707,34954
25,West Bengal,43,29,99,86,854,786,20910,20446,21906,21347
Total (States),Total (States),595,540,1489,1236,16412,12992,276313,251966,294809,266734
26,A & N Islands,1,1,1,1,17,17,490,490,509,509
27,Chandigarh,0,0,2,2,46,46,1469,1469,1517,1517
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0
30,Delhi,12,12,54,46,589,523,10348,9856,11003,10437
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,2,2,30,33,796,684,828,719
Total (UTs),Total (UTs),13,13,59,51,682,619,13103,12499,13857,13182
Total (All -India),Total (All -India),608,553,1548,1287,17094,13611,289416,264465,308666,279916
33,Ahmedabad,1,1,3,2,45,36,2735,2734,2784,2773
34,Bangalore,5,5,14,14,238,205,3553,2760,3810,2984
35,Bhopal,0,0,0,0,0,0,0,0,0,0
36,Bombay,0,0,0,0,371,361,7279,6654,7650,7015
37,Calcutta,9,7,34,32,323,307,7461,7124,7827,7470
38,Coimbatore,0,0,0,0,0,0,0,0,0,0
39,Delhi,12,12,54,46,589,523,10348,9856,110003,10437
40,Hyderabad,4,4,60,5,107,65,2089,1990,2206,2064
41,Indore,0,0,0,0,0,0,0,0,0,0
42,Jaipur,0,0,0,0,0,0,0,0,0,0
43,Kanpur,0,0,1,0,0,0,0,0,0,0
44,Kochi,1,1,0,1,30,22,774,567,806,591
45,Lucknow,0,0,0,0,34,31,1898,1866,1932,1897
46,Ludhiana,0,0,0,0,0,0,0,0,0,0
47,Madras,0,0,0,12,0,212,0,2706,0,2930
48,Madurai,0,0,0,0,0,0,0,0,0,0
49,Nagpur,0,0,0,0,0,0,0,0,0,0
50,Patna,0,0,0,0,83,83,1890,1704,1973,1787
51,Pune,0,0,0,0,81,81,1497,1497,1578,1578
52,Surat,0,0,1,0,27,25,891,668,919,693
53,Vadodara,0,0,0,0,7,7,534,522,541,529
54,Varanasi,0,0,0,0,21,15,959,951,980,966
55,Vishakhapatnam,0,0,3,3,28,28,611,584,642,615
