SL. No.,State,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cog. Crimes Under IPC
1,Andhra Pradesh,Hyderabad,99,31,2,49,108,67,41,7,0,72,1327,3243,173,84,586,12,4063,9856
2,Andhra Pradesh,Vijayawada,37,45,0,23,33,7,26,4,0,12,251,810,19,17,157,12,1491,2911
3,Andhra Pradesh,Vishakapatnam,24,19,1,21,20,16,4,3,0,21,347,1094,13,49,177,11,1636,3436
4,Assam,Guwahati,37,0,0,27,81,61,20,30,0,108,312,990,111,125,325,69,1650,3865
5,Bihar,Patna,224,240,19,25,122,10,112,63,24,175,471,1763,312,197,113,0,1555,5285
6,Bihar,Ranchi,81,38,7,19,30,24,6,21,7,113,224,520,44,19,27,4,1021,2175
7,Gujarat,Ahmedabad,101,65,1,20,113,85,28,17,0,134,868,4554,143,110,160,19,4896,11201
8,Gujarat,Bhavnagar,67,26,0,24,51,44,7,4,0,42,214,522,117,118,106,17,2902,4210
9,Gujarat,Rajkot,32,25,2,6,35,28,7,3,0,39,270,767,87,173,185,9,2238,3871
10,Gujarat,Surat,93,54,0,10,39,26,13,17,0,66,456,1683,134,103,195,4,1918,4772
11,Gujarat,Vadodara,35,13,1,13,41,37,4,7,0,26,364,1305,265,107,249,5,2413,4844
12,Karnataka,Bangalore,213,275,7,61,152,68,84,90,1,576,2547,8965,1041,245,1013,367,14387,29940
13,Karnataka,Belgaum,15,10,0,0,7,7,0,4,0,9,161,167,33,7,24,3,378,818
14,Karnataka,Bijapur,4,10,1,1,7,5,2,3,0,5,65,105,46,4,9,0,268,528
15,Karnataka,Davanagere,6,7,0,0,3,3,0,3,0,11,97,157,171,1,19,1,125,601
16,Karnataka,Gulbarga,13,15,0,2,16,0,16,3,0,18,174,203,45,6,20,1,474,990
17,Karnataka,Hubli Dharwad,29,16,0,3,12,8,4,7,0,27,285,444,127,18,61,2,1020,2051
18,Karnataka,Raichur,7,13,0,0,4,3,1,7,0,1,81,78,33,0,23,0,234,481
19,Kerala,Kochi,25,8,3,7,7,6,1,4,0,10,227,262,121,12,113,3,3226,4119
20,Kerala,Kozhikode,5,8,1,5,10,7,3,4,0,7,213,211,264,23,98,1,2709,3559
21,Kerala,Thiruvananthapuram,11,22,2,4,26,18,8,21,17,37,302,307,350,6,76,1,2971,4153
22,Madhya Pradesh,Bhilaidurg,24,51,4,37,18,14,4,3,1,57,332,719,32,12,75,2,1843,3210
23,Madhya Pradesh,Bhopal,51,138,2,62,30,30,0,2,2,132,634,1402,58,16,79,7,5105,7720
24,Madhya Pradesh,Gwalior,47,64,13,32,18,16,2,0,5,40,390,738,81,8,55,0,3185,4676
25,Madhya Pradesh,Indore,89,134,1,29,33,33,0,2,1,80,745,2499,67,37,113,0,5139,8969
26,Madhya Pradesh,Jabalpur,43,131,19,49,31,31,0,1,1,105,644,957,44,14,96,0,3378,5513
27,Madhya Pradesh,Raipur,19,48,3,27,12,10,2,3,0,46,453,946,74,13,87,2,2039,3772
28,Maharashtra,Aurangabad,25,8,0,10,20,15,5,10,1,46,382,791,95,29,83,0,1187,2687
29,Maharashtra,Bombay,354,229,5,150,234,146,88,113,57,754,2707,13484,233,565,1243,57,15190,35375
30,Maharashtra,Nagpur,87,60,3,46,61,44,17,8,0,276,864,2648,127,69,135,12,4211,8607
31,Maharashtra,Nasik,22,12,1,11,14,11,3,6,0,16,257,540,34,23,51,1,830,1818
32,Maharashtra,Pune,92,37,3,52,54,34,20,15,0,102,839,2035,78,63,172,18,5284,8844
33,Maharashtra,Solapur,25,8,3,10,14,10,4,5,1,19,146,389,40,18,38,3,1162,1881
34,Maharashtra,Thane,117,38,3,47,44,29,15,19,3,103,857,1069,310,78,133,5,1954,4780
35,Punjab,Amritsar,11,15,7,2,10,8,2,0,0,6,61,88,2,6,9,1,204,422
36,Punjab,Jalandhar,28,13,3,9,23,20,3,2,2,4,93,171,0,13,30,5,310,706
37,Punjab,Ludhiana,40,30,6,11,25,10,15,0,7,7,112,155,4,13,41,2,398,851
38,Rajasthan,Ajmer,18,31,2,6,36,36,0,2,0,26,102,225,132,4,163,1,934,1682
39,Rajasthan,Bharatpur,17,0,2,2,21,17,4,0,0,11,63,270,132,2,46,6,533,1105
40,Rajasthan,Bikaner,35,88,0,36,31,31,0,3,0,10,199,388,139,9,133,0,2292,3363
41,Rajasthan,Jaipur,63,36,0,22,145,125,20,4,0,64,771,2489,1216,164,810,118,4906,10808
42,Rajasthan,Jodhpur,23,28,4,11,66,48,18,2,0,31,250,531,232,36,236,19,1551,3020
43,Rajasthan,Kota,38,154,8,24,104,104,0,2,0,62,498,734,258,37,204,0,2167,4290
44,Rajasthan,Udaipur,9,12,0,6,24,24,0,0,0,28,176,366,180,16,107,10,888,1822
45,Tamil Nadu,Coimbatore,23,21,0,1,5,3,2,0,0,15,230,778,229,8,20,93,1663,3086
46,Tamil Nadu,Madras,94,256,10,14,25,25,0,4,0,63,453,2829,68,267,364,68,1472,5987
47,Tamil Nadu,Madurai,26,80,0,4,12,12,0,4,0,42,171,977,157,30,99,93,2142,3837
48,Tamil Nadu,Salem,7,33,4,5,8,8,0,3,0,6,120,256,55,4,11,1,586,1369
49,Tamil Nadu,Trichy,25,18,0,0,12,12,0,1,0,1,205,302,53,14,13,61,1251,1956
50,Uttar Pradesh,Agra,81,55,13,10,89,67,22,14,2,80,367,928,130,122,140,6,1766,3803
51,Uttar Pradesh,Aligarh,40,70,6,9,52,42,10,5,1,38,109,205,85,10,30,0,952,1612
52,Uttar Pradesh,Allahabad,96,221,6,14,53,43,10,10,0,152,301,931,127,94,82,1,1465,3553
53,Uttar Pradesh,Bareilly,74,74,24,15,47,38,9,16,7,63,260,674,85,64,74,0,918,2395
54,Uttar Pradesh,Gorakhpur,36,38,0,6,29,25,4,10,0,42,202,460,102,50,38,1,428,1442
