SL. No.,Crime Head,Male,Female,Total,Percentage to Total Male,Percentage to Total Female
1,Arms Act,62699,140,62839,99.8,0.2
2,Narcotic Drugs & Psy. Substances Act,22207,1158,23365,95,5
3,Gambling Act,320850,150,321000,100,0
4,Excise Act,97029,5433,102462,94.7,5.3
5,Prohibition Act,501124,146226,647350,77.4,22.6
6,Explosive & Explosive Subs. Act,5330,168,5498,96.9,3.1
7,Immoral Traffic (Prevention) Act,2883,10981,13864,20.8,79.2
8,Indian Railways Act,34312,749,35061,97.9,2.1
9,Registration of Foreigners Act,2399,360,2759,87,13
10,Protection Of Civil Rights Act,9371,272,9643,97.2,2.8
11,Indian Passport Act,1036,58,1094,94.7,5.3
12,Essential Commodities Act,5731,21,5752,99.6,0.4
13,Terrorist & Disruptive Actvites Act,2773,53,2826,98.1,1.9
14,Antiquity & Art Treasure Act,66,0,66,100,0
15,Dowry Prohibition Act,5375,1236,6611,81.3,18.7
16,Other SLL Crimes,3236345,72549,3308894,97.8,2.2
17,Total Cognizable Crimes Under SLL,4309530,239554,4549084,94.7,5.3
