SL.No.,Place of Occurrence,Dacoity - Number,Dacoity - Value,Roberry - Number,Roberry - Value,Burglary - Number,Burglary - Value,Theft - Number,Theft - Value
1,Residental Premises,5425,1594.1,6189,1073.7,92319,8120.6,117730,9109.4
2,High-way,1314,803.9,5636,14153.7,45,21.5,8867,1145.3
3,River & Sea,5,0.7,13,2.5,16,9.9,232,21
4,Railways,208,115.3,504,53.2,100,175.7,10620,719.2
5,Banks,50,147.7,59,69.5,230,87.3,174,29.4
6,Commercial Establishments,317,239.6,823,245.3,8348,1558.4,13113,1471.9
7,Other Places,1952,1204.2,10709,2582.6,20478,3488.8,152828,27448.9
8,Total,9271,4105.4,23933,5442.4,121536,13462.2,303564,39945
