SL.No.,State/UT/City,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic drugs & psy. Substances Act - Male,Narcotic drugs & psy. Substances Act - Female,Narcotic drugs & psy. Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosives & Explosive Subs. Act - Male,Explosives & Explosive Subs. Act - Female,Explosives & Explosive Subs. Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection of Civil Rights Act - Male,Protection of Civil Rights Act - Female,Protection of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential commodities Act - Male,Essential commodities Act - Female,Essential commodities Act - Total,Terrorist & Disruptive Activities Act - Male,Terrorist & Disruptive Activities Act - Female,Terrorist & Disruptive Activities Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Other SLL Crimes - Male,Other SLL Crimes - Female,Other SLL Crimes - Total,Total Cognizable Crimes Under SLL - Male,Total Cognizable Crimes Under SLL - Female,Total Cognizable Crimes Under SLL - Total
11,Kerala,218,2,218,294,24,318,6349,0,6349,930,28,958,479,17,496,236,2,238,68,84,152,317,0,12686,134,0,134,44,6,50,54,0,54,174,0,174,66,27,66,1,0,1,1,0,1,7203,265,7468,16568,426,16994
12,Madhya Pradesh,5605,7,5607,1487,43,1530,58967,8,58975,17365,528,17893,3,0,3,526,0,526,14,3,17,12166,520,3777,7,0,7,269,8,277,0,0,0,456,0,456,3,0,3,0,0,0,77,10,87,170808,73,170881,267753,1195,268948
13,Maharashtra,1747,1,1754,1326,94,1420,81224,56,81280,0,0,0,126219,11661,137880,149,0,149,782,934,1716,3770,7,0,360,265,625,976,60,1036,41,10,51,795,12,807,83,0,86,3,0,3,22,1,23,238628,18757,257385,456125,31867,487992
14,Manipur,125,0,126,267,44,311,187,8,195,1383,1496,2879,0,0,0,32,0,32,3,7,10,0,0,0,12,0,12,0,0,0,15,15,30,12,2,14,283,0,310,0,0,0,0,0,0,454,63,517,2773,1663,4436
15,Meghalaya,95,0,95,44,0,44,35,0,35,7,16,23,0,0,0,7,0,7,3,4,7,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,84,2,86,287,22,309
16,Mizoram,17,1,17,82,45,127,48,0,48,0,0,0,0,0,0,13,0,13,0,0,0,0,0,27,101,36,137,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1055,248,1303,1317,329,1646
17,Nagaland,35,6,36,197,8,205,0,0,0,28,2,30,0,0,0,20,1,21,3,3,6,93,0,174,3,1,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,312,10,322,693,26,719
18,Orissa,286,0,286,172,8,180,3528,0,3528,1505,144,1649,13,0,13,202,3,205,16,40,56,27,0,1335,0,0,0,74,0,74,0,0,0,57,0,57,0,0,0,0,0,0,313,29,342,4448,34,4482,10641,258,10899
19,Punjab,1429,0,1430,1750,90,1840,3523,0,3523,11860,503,12363,0,0,0,37,0,37,5,7,12,174,0,0,2,0,2,0,0,0,54,0,54,219,0,219,1,0,2,0,0,0,5,2,7,401,2,403,19460,606,20066
20,Rajasthan,2282,0,2288,1339,29,1368,7713,1,7714,4403,90,4493,0,0,0,357,0,357,60,37,97,1335,0,421,14,1,15,117,3,120,166,0,166,273,1,274,0,0,0,2,0,2,5,0,5,10170,518,10688,28236,686,28922
