SL. No.,State/UT/City,No. of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,Andhra Pradesh,159,111,62,19,105
2,Arunachal Pradesh,2,0,1,0,0
3,Assam,56,40,16,1,13
4,Bihar,78,65,30,5,43
5,Goa,0,0,0,0,0
6,Gujarat,23,6,21,1,38
7,Haryana,0,0,0,0,0
8,Himachal Pradesh,1,0,1,0,0
9,Jammu & Kashmir,8,0,0,0,1
10,Karnataka,55,18,85,0,75
11,Kerala,10,1,117,0,88
12,Madhya Pradesh,43,16,1,4,5
13,Maharashtra,54,32,44,1,47
14,Manipur,13,15,2,2,3
15,Meghalaya,1,1,0,0,0
16,Mizoram,0,0,0,0,0
17,Nagaland,0,0,0,0,0
18,Orissa,9,2,8,0,0
19,Punjab,4,3,3,1,7
20,Rajasthan,10,4,16,0,28
21,Sikkim,0,0,0,0,0
22,Tamil Nadu,29,7,29,1,124
23,Tripura,39,19,10,9,10
24,Uttar Pradesh,105,84,31,12,27
25,West Bengal,127,59,139,1,243
Total (States),Total (States),826,483,616,57,857
26,A & N Islands,0,0,0,0,0
27,Chandigarh,0,0,0,0,0
28,D & N Haveli,0,0,0,0,0
29,Daman & Diu,5,0,0,0,0
30,Delhi,6,4,27,0,19
31,Lakshadweep,0,0,0,0,0
32,Pondicherry,1,0,0,0,0
Total (UTs),Total (UTs),12,4,27,0,19
Total (All -India),Total (All -India),838,487,643,57,876
33,Ahmedabad,4,2,3,0,4
34,Bangalore,35,6,22,0,0
35,Bhopal,0,0,0,0,0
36,Bombay,26,29,5,0,6
37,Calcutta,8,0,1,0,8
38,Coimbatore,0,0,0,0,0
39,Delhi,6,4,27,0,19
40,Hyderabad,0,0,0,0,0
41,Indore,0,0,0,0,0
42,Jaipur,0,0,0,0,0
43,Kanpur,1,2,0,0,11
44,Kochi,0,0,0,0,0
45,Lucknow,1,1,0,0,0
46,Ludhiana,0,0,0,0,0
47,Madras,0,0,0,0,0
48,Madurai,0,0,0,0,0
49,Nagpur,2,0,1,1,4
50,Patna,0,0,0,0,0
51,Pune,1,0,1,0,0
52,Surat,0,0,0,0,0
53,Vadodara,2,0,0,0,0
54,Varanasi,0,0,0,0,0
55,Vishakhapatnam,0,0,0,0,0
