SL. No.,State/UT,Total No. of Persons Under Trial Including those from Previous Year,No. of Persons Whose Cases Compounded or Withdrawn,No. of Persons Whose Trial Completed,No. of Persons Whose Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total
1,Andhra Pradesh,450964,15378,173497,262089,66652,58.1,3.1
2,Arunachal Pradesh,9037,129,493,8415,391,93.1,0.1
3,Assam,168196,6309,31918,129969,4947,77.3,1.5
4,Bihar,1301926,25341,149056,1127529,33575,86.6,13.3
5,Goa,30807,884,2991,26932,801,87.4,0.3
6,Gujarat,641056,18996,84207,537853,30589,83.9,6.3
7,Haryana,173933,1626,34203,138104,14249,79.4,1.6
8,Himachal Pradesh,50349,3748,7559,39042,1249,77.5,0.5
9,Jammu & Kashmir,124323,5038,9818,109467,2158,88.1,1.3
10,Karnataka,531363,39399,85432,406532,15199,76.5,4.8
11,Kerala,345521,20218,75952,249351,12411,72.2,2.9
12,Madhya Pradesh,1410552,49533,142891,1218128,67575,86.4,14.3
13,Maharashtra,1627534,40009,137680,1449845,36806,89.1,17.1
14,Manipur,5374,0,37,5337,4,99.3,0.1
15,Meghalaya,8462,162,464,7836,324,92.6,0.1
16,Mizoram,3216,0,2163,1053,1744,32.7,0
17,Nagaland,4080,91,725,3264,594,80,0
18,Orissa,434578,275,58703,375600,7947,86.4,4.4
19,Punjab,41598,610,13152,27836,5186,66.9,0.3
20,Rajasthan,950160,42589,112297,795274,60498,83.7,9.4
21,Sikkim,1174,184,456,534,293,45.5,0
22,Tamil Nadu,462468,10211,165697,286560,83342,62,3.4
23,Tripura,11613,578,2016,9019,267,77.7,0.1
24,Uttar Pradesh,1064299,40798,222944,800557,113094,75.2,9.4
25,West Bengal,351557,3340,31450,316767,6961,90.1,3.7
Total (States),Total (States),10204140,325446,1545801,8332893,566856,81.7,98.1
26,A & N Islands,3556,145,248,3163,173,88.9,0
27,Chandigarh,6608,24,1201,5383,556,81.5,0.1
28,D & N Haveli,2037,0,299,1738,63,85.3,0
29,Daman & Diu,988,72,381,535,63,54.1,0
30,Delhi,170569,0,24967,145602,11409,85.4,1.7
31,Lakshadweep,57,25,10,22,2,38.6,0
32,Pondicherry,5907,182,3300,2425,1405,41.1,0
Total (UTs),Total (UTs),189722,448,30406,158868,13671,83.7,1.9
Total (All -India),Total (All -India),10393862,325894,1576207,8491761,580527,81.7,100
