SL. No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,Andhra Pradesh,476,107.1,310,67.9,0,0,11,0.7,1,0.3,17,2.3,164,25.4,979,203.7
2,Arunachal Pradesh,24,2,5,0.3,1,0,0,0,0,0,4,0.1,18,2.1,52,4.5
3,Assam,303,90.3,244,37.9,0,0,8,0.7,2,3.3,131,29.7,366,339.9,1054,501.8
4,Bihar,993,94,1139,99.2,0,0,93,16.8,21,27.1,72,8.3,684,389.7,3002,635.1
5,Goa,8,2.5,2,0,0,0,0,0,0,0,3,0.4,6,0.7,19,3.6
6,Gujarat,205,33.8,79,42.5,2,0,16,1.7,2,1.9,41,22.8,808,130.6,1153,233.3
7,Haryana,46,9.4,54,51.9,0,0,1,0.2,0,0,9,0.3,147,91.6,257,153.4
8,Himachal Pradesh,0,0,4,0.3,0,0,0,0,1,0,0,0,19,8.7,24,9
9,Jammu & Kashmir,35,20.9,8,20.7,0,0,0,0,2,10,13,15.9,53,24,111,91.4
10,Karnataka,246,36.1,63,13.7,0,0,31,2.3,0,0,59,7.8,716,125,1115,184.9
11,Kerala,46,16,26,31.3,3,0.2,0,0,0,0,7,1.6,135,75.8,217,124.9
12,Madhya Pradesh,332,20,277,85.6,2,2,32,0.5,3,0.1,66,8.9,1434,126.9,2146,244
13,Maharashtra,575,164.5,286,179.7,2,0.2,98,6.9,1,0,191,98.5,2027,646.2,3180,1095.9
14,Manipur,19,1.8,11,4.6,0,0,0,0,1,0.7,2,0,16,5.9,49,13
15,Meghalaya,15,1.5,22,10.4,0,0,0,0,0,0,19,1.1,45,0.7,101,13.7
16,Mizoram,0,0,5,0.1,0,0,0,0,0,0,0,0,5,0,10,0.2
17,Nagaland,27,12.7,19,8.2,0,0,0,0,2,5.1,21,4.1,48,42.6,117,72.6
18,Orissa,503,115.1,77,13.9,0,0,5,0.4,0,0,0,0,298,41.9,883,171.2
19,Punjab,18,11.5,6,5.8,0,0,0,0,1,0.5,1,0,20,6.4,46,24.2
20,Rajasthan,22,22.7,34,18.8,0,0,8,0,1,0,7,1.1,1065,139.7,1137,182.3
21,Sikkim,3,0.4,0,0,0,0,0,0,0,0,2,0.2,4,0.1,9,0.7
22,Tamil Nadu,174,41,56,19.7,3,0.1,5,0.7,0,0,15,9.5,148,33.8,401,104.9
23,Tripura,67,2.3,33,0.5,0,0,0,0,1,1.2,21,0.7,55,0.8,177,5.4
24,Uttar Pradesh,1673,202,2757,664.1,0,0,131,14.5,19,18.9,29,5.3,1897,202.2,6506,1107
25,West Bengal,309,22.7,113,34.2,0,0,58,5.2,1,0.4,68,20.7,242,38,791,121.2
Total (States),Total (States),6119,1030.3,5630,1411.3,13,2.5,497,50.7,59,69.5,798,239.3,10420,2498.4,23536,5302
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
27,Chandigarh,1,0.1,1,0.6,0,0,0,0,0,0,0,0,6,0.8,8,1.5
28,D & N Haveli,1,0,0,0,0,0,0,0,0,0,0,0,3,5.5,4,5.5
29,Daman & Diu,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.1
