SL. No.,State/UT,Estimated Mid-Year Population,Murder - I,Murder - R,Murder - P,Hurt - I,Hurt - R,Hurt - P,Rape - I,Rape - R,Rape - P,Kidnapping & Abduction - I,Kidnapping & Abduction - R,Kidnapping & Abduction - P,Dacoity - I,Dacoity - R,Dacoity - P,Robbery - I,Robbery - R,Robbery - P,Arson - I,Arson - R,Arson - P,Protection of Civil Rights Act - I,Protection of Civil Rights Act - R,Protection of Civil Rights Act - P,SC/ST (Prev. of Atrocities) Act - I,SC/ST (Prev. of Atrocities) Act - R,SC/ST (Prev. of Atrocities) Act - P,Others Offence - I,Others Offence - R,Others Offence - P,Total - I,Total - R,Total - P
1,Andhra Pradesh,705.3,3,0,2.9,33,0,4.7,22,0,5.7,4,0,6.3,0,0,0,0,0,0,0,0,0,10,0,15.9,42,0.1,3.2,79,0.1,3.4,193,0.3,3.8
2,Arunachal Pradesh,9.4,0,0,0,2,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0
3,Assam,241.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bihar,929.3,2,0,1.9,41,0,5.9,11,0,2.9,1,0,1.6,3,0,0,2,0,25,1,0,2.8,1,0,1.6,6,0,0.5,35,0,1.5,103,0.1,2.1
5,Goa,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Gujarat,438.5,35,0.1,33.3,88,0.2,12.6,29,0.1,7.5,6,0,9.4,0,0,0,1,0,12.5,3,0,8.3,4,0,6.3,67,0.2,5.1,197,0.4,8.4,430,1,8.6
7,Haryana,177.1,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,Himachal Pradesh,55.1,0,0,0,0,0,0,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,Jammu & Kashmir,83.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Karnataka,473.7,5,0,4.8,9,0,1.3,2,0,0.5,0,0,0,1,0,12.5,0,0,0,0,0,0,14,0,22.2,16,0,1.2,20,0,0.9,67,0.1,1.3
11,Kerala,304.9,1,0,1,40,0.1,5.7,12,0,3.1,0,0,0,0,0,0,0,0,0,1,0,2.8,2,0,3.2,55,0.2,4.2,37,0.1,1.6,148,0.5,2.9
12,Madhya Pradesh,707.8,25,0,23.8,212,0.3,30.3,221,0.3,57.4,38,0.1,59.4,0,0,0,1,0,12.5,17,0,47.2,1,0,1.6,237,0.3,18,1022,1.4,43.8,1774,2.5,35.3
13,Maharashtra,842.7,12,0,11.4,67,0.1,9.6,39,0,10.1,12,0,18.8,2,0,25,0,0,0,1,0,2.8,14,0,22.2,105,0.1,8,194,0.2,8.3,446,0.5,8.9
14,Manipur,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,19.2,0,0,0,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0
16,Mizoram,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Nagaland,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,336.6,2,0,1.9,15,0,2.1,9,0,2.3,1,0,1.6,1,0,12.5,2,0,25,2,0,5.6,4,0,6.3,93,0.3,7.1,54,0.2,2.3,183,0.5,3.6
19,Punjab,213.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
20,Rajasthan,472.5,16,0,15.2,51,0.1,7.3,36,0.1,9.4,2,0,3.1,0,0,0,2,0,25,10,0,27.8,0,0,0,652,1.3,47.5,654,1.4,28,1396,3,27.8
21,Sikkim,4.5,2,0,1.9,1,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4.2,0.8,22,4.9,0
22,Tamil Nadu,577.4,0,0,0,120,0.2,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,20.6,6,0,0.5,5,0,0.2,144,0.2,2.9
23,Tripura,29.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,1476,2,0,1.9,18,0,2.6,1,0,0.3,0,0,0,1,0,12.5,0,0,0,1,0,2.8,0,0,0,58,0,4.4,16,0,0.7,97,0.1,1.9
25,West Bengal,720.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (States),Total (States),8871.4,105,0,100,699,0.1,100,383,0,99.5,64,0,100,8,0,100,8,0,100,36,0,100,63,0,100,1310,0.1,99.5,2333,0.3,99.9,5009,0.6,99.8
26,A & N - Islands,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,D & N Haveli,1.5,0,0,0,0,0,0,1,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0.5,2,1.3,0.1,9,6,0.2
29,Daman & Diu,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,105.9,0,0,0,0,0,0,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,Lakshadweep,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Total (UTs),128.3,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.5,2,0,0.1,10,0.1,0.2
Total (All -India),Total (All -India),8999.7,150,0,100,699,0.1,100,385,0,100,64,0,100,8,0,100,8,0,100,36,0,100,63,0,100,1316,0.1,100,2335,0.3,100,5019,0.6,100
