SL. No.,Year,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1,1984,23825,6818,28.6
2,1985,22642,6712,29.6
3,1986,21925,7615,34.7
4,1987,34444,8100,23.5
5,1988,33084,9057,27.4
6,1989,33487,11287,33.7
7,1990,41817,11855,28.3
8,1991,59537,17012,28.6
9,1992,67210,17759,26.4
10,1993,136775,21334,15.6
11,1994,86505,20963,24.2
12,Percentage Change in 1994 Over 1984,236.1,207.4,-15.3
