SL. No.,State/UT/City,Murder - 1993,Murder - 1994,Murder - Percentage Variation,Attempt to Commit Murder - 1993,Attempt to Commit Murder - 1994,Attempt to Commit Murder - Percentage Variation,C.H. not Amounting to Murder - 1993,C.H. not Amounting to Murder - 1994,C.H. not Amounting to Murder - Percentage Variation,Rape - 1993,Rape - 1994,Rape - Percentage Variation,Kidnapping & Abduction - Total - 1993,Kidnapping & Abduction - Total - 1994,Kidnapping & Abduction - Total - Percentage Variation,Kidnapping & Abduction - of Women & Girls - 1993,Kidnapping & Abduction - of Women & Girls - 1994,Kidnapping & Abduction - of Women & Girls - Percentage Variation,Kidnapping & Abduction - of Others - 1993,Kidnapping & Abduction - of Others - 1994,Kidnapping & Abduction - of Others - Percentage Variation,Dacoity - 1993,Dacoity - 1994,Dacoity - Percentage Variation,Preparation and Assembly for Dacoity - 1993,Preparation and Assembly for Dacoity - 1994,Preparation and Assembly for Dacoity - Percentage Variation,Robber - 1993,Robber - 1994,Robber - Percentage Variation,Burglary - 1993,Burglary - 1994,Burglary - Percentage Variation,Theft - 1993,Theft - 1994,Theft - Percentage Variation,Riots - 1993,Riots - 1994,Riots - Percentage Variation,Criminal Breach of Trust - 1993,Criminal Breach of Trust - 1994,Criminal Breach of Trust - Percentage Variation,Cheating - 1993,Cheating - 1994,Cheating - Percentage Variation,Counterfeiting - 1993,Counterfeiting - 1994,Counterfeiting - Percentage Variation,Other IPC Crimes - `1993,Other IPC Crimes - 1994,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1993,Total Cognizable Crimes Under IPC - 1994,Total Cognizable Crimes Under IPC - Percentage Variation
1,Andhra Pradesh,2514,2419,-3.8,1385,1302,-6,79,83,5.1,840,873,3.9,796,993,24.7,472,646,37.3,324,345,6.5,680,529,-22.2,6,5,-16.7,1136,979,-13.8,6816,6954,2,19032,17396,-8.6,3255,3354,3,621,637,2.6,2207,2384,8,236,252,6.8,59022,62629,6.1,98625,100789,2.2
2,Arunachal Pradesh,55,64,16.4,35,32,-8.6,5,3,-40,29,28,-3.4,19,41,115.8,19,30,57.9,0,11,NA,18,45,150,1,0,-100,61,52,14.8,157,165,5.1,278,317,14,19,11,-42.1,32,31,-3.1,20,22,10,7,6,-14.3,824,1056,28.2,1560,1873,20.1
3,Assam,1105,1198,8.4,336,367,9.2,48,49,2.1,560,530,-5.4,1158,1140,-1.6,1034,1003,-3,124,137,10.5,725,807,11.3,23,24,4.3,1010,1054,4.4,3599,3275,-9,7859,7325,-6.8,4462,3876,-13.1,487,456,-6.4,554,509,-8.1,102,95,-6.9,15327,14756,-3.7,37355,35461,-5.1
4,Bihar,4983,5098,2.3,4902,4542,-7.3,624,630,1,1118,1130,1.1,2635,2419,-8.2,1335,541,-59.5,1300,1878,44.5,2754,2677,-2.8,242,248,2.5,3030,3002,-0.9,7914,7156,-9.6,20098,18399,-8.5,13819,13593,-1.6,1523,1775,16.5,1595,1362,-14.6,30,74,146.7,60375,53517,-11.4,125642,115622,-8
5,Goa,36,38,5.6,14,8,-42.9,9,2,-77.8,14,8,-42.9,26,16,-38.5,19,11,-42.1,7,5,-28.6,13,5,-61.5,0,0,NA,30,19,-36.7,579,488,-15.7,1083,875,-19.2,241,163,-32.4,49,46,-6.1,65,57,-12.3,16,18,12.5,1936,1387,-28.4,4111,3130,-23.9
6,Gujarat,1514,1340,-11.5,854,714,-16.4,13,6,-53.8,355,356,0.3,1071,1091,1.9,923,951,3,148,140,-5.4,338,318,-5.9,0,0,NA,1053,1153,9.5,6361,6238,-1.9,20728,20265,-2.2,2682,2259,-15.8,2742,2394,-12.7,3619,3298,-8.9,178,160,-10.1,78301,72660,-7.2,119809,112252,-6.3
7,Haryana,611,677,10.8,310,370,19.4,98,109,11.2,235,258,9.8,313,347,10.9,208,236,13.5,105,111,5.7,78,48,-38.5,22,36,63.6,202,257,27.2,2558,2749,7.5,4218,4333,2.7,435,420,-3.4,287,332,15.7,679,779,14.7,37,41,10.8,21671,21836,0.8,31754,32592,2.6
8,Himachal Pradesh,126,104,-17.5,72,77,6.9,10,16,60,100,110,10,193,208,7.8,167,165,-1.2,26,43,65.4,12,3,-75,0,0,NA,34,24,-29.4,1084,1089,0.5,1148,1019,-11.2,678,696,2.7,138,109,-21,185,196,5.9,7,11,57.1,7077,7123,0.6,10864,10785,-0.7
9,Jammu & Kashmir,691,758,9.7,585,657,12.3,15,8,-46.7,115,109,-5.2,354,339,-4.2,304,279,-8.2,50,60,20,45,49,8.9,0,0,NA,96,111,15.6,1601,1827,14.1,2264,2348,3.7,681,647,-5,100,93,-7,141,172,22,0,3,NA,8043,7799,-3,14731,14920,1.3
10,Karnataka,1494,1552,3.9,951,1094,15,47,61,29.8,232,281,21.1,498,621,24.7,306,390,27.5,192,231,20.3,306,377,23.2,2,4,NA,985,1115,13.2,10141,9980,-1.6,18680,19538,4.6,7856,9130,16.2,724,600,-17.1,1936,1905,-1.6,1055,425,-59.7,60956,66266,8.7,105863,112949,6.7
11,Kerala,506,509,0.6,362,385,6.4,28,33,17.9,211,197,-6.6,135,180,33.3,85,120,41.2,50,60,20,53,102,92.5,18,19,100,221,217,-1.8,4592,4545,-1,379,3706,-2.3,6126,7324,19.6,324,325,0.3,1372,1415,3.1,67,71,6,59042,64832,9.8,76852,83860,9.1
12,Madhya Pradesh,3250,3331,2.5,3091,3188,3.1,192,325,69.3,2658,2929,10.2,1092,1264,15.8,996,1155,16,96,109,13.5,260,265,1.9,135,112,5.6,2198,2146,-2.4,18834,19856,5.4,32184,31934,-0.8,3772,3961,5,669,873,30.5,1407,1527,8.5,61,60,-1.6,109955,116254,5.7,179758,188025,4.6
13,Maharashtra,3133,2787,-11,1586,1325,-16.5,150,136,-9.3,1145,1304,13.9,1158,1171,1.1,740,799,8,418,372,-11,794,693,-12.7,89,84,-17,3388,3180,-6.1,16791,15900,-5.3,52247,47668,-8.8,4892,4422,-9.6,1974,1844,-6.6,3145,3179,1.1,367,239,-34.9,93730,97711,4.2,184589,181643,-1.6
14,Manipur,319,241,-24.5,144,144,0,3,7,133.3,8,5,-37.5,123,115,-6.5,77,78,1.3,46,37,-19.6,48,26,-45.8,0,0,-5.6,50,49,-2,97,94,-3.1,267,273,2.2,112,58,-48.2,10,13,30,83,92,10.8,24,11,-54.2,1336,1284,-3.9,2624,2412,-8.1
15,Meghalaya,106,119,12.3,25,22,-12,2,6,200,19,34,78.9,27,26,-3.7,8,17,112.5,19,9,52.6,77,70,-9.1,0,1,NA,70,101,44.3,219,195,-11,521,514,-1.3,56,44,-21.4,7,22,214.3,31,30,-3.2,13,7,-46.2,690,774,12.2,2863,1965,5.5
16,Mizoram,39,35,-10.3,11,25,127.3,2,0,-100,40,44,10,7,7,0,0,0,NA,7,7,0,4,153,3725,0,0,NA,11,10,-9.1,239,212,-11.3,544,563,3.5,3,2,-33.3,21,23,9.5,61,53,-13.1,6,4,-33.3,477,588,23.3,1465,1719,17.3
17,Nagaland,104,137,31.7,30,57,90,0,4,NA,8,12,50,43,40,-7,13,15,15.4,30,25,-16.7,49,35,-28.6,0,0,NA,162,117,-27.8,223,221,-0.9,327,274,-16.2,25,9,-64,30,38,26.7,29,50,72.4,28,6,-78.6,488,499,2.3,1546,1499,-3
18,Orissa,821,821,0,963,1117,16,101,94,-6.9,405,436,7.7,432,455,5.3,432,455,5.3,0,0,NA,307,373,21.5,0,0,NA,957,883,-7.7,4699,4537,-3.4,10172,8640,-15.1,1941,1863,-4,470,402,-14.5,444,413,-7,12,27,125,29885,28228,-5.5,51609,48289,-6.4
19,Punjab,702,662,-5.7,867,390,-55,112,99,-11.6,90,108,20,189,220,16.4,102,135,32.4,87,85,-2.3,13,10,-23.1,18,15,NA,44,46,4.5,939,989,5.3,1069,1275,19.3,12,7,-41.7,135,147,8.9,328,532,62.2,18,11,-38.9,4909,6120,24.7,9445,10631,12.6
20,Rajasthan,1406,1499,6.6,1515,1761,16.2,102,124,21.6,893,1002,12.2,2372,2531,6.7,2151,2110,-1.9,221,421,90.5,90,88,-2.2,16,8,-16.7,1038,1137,9.5,7551,8327,10.3,14262,15517,8.8,17668,18741,6.1,951,846,-11,4552,5549,21.9,274,287,4.7,68410,75602,10.5,121100,133019,9.8
21,Sikkim,12,6,-50,3,4,33.3,3,0,-100,7,9,28.6,4,14,250,4,2,-50,0,12,NA,3,5,66.7,0,0,-50,9,9,0,97,123,26.8,124,160,29,42,55,31,6,5,-16.7,10,7,-30,0,2,NA,342,428,25.1,662,827,24.9
22,Tamil Nadu,1630,1742,6.9,1571,1754,11.6,28,44,57.1,244,237,-2.9,774,576,-25.6,757,550,-27.3,17,26,52.9,155,124,-20,0,0,NA,416,401,-3.6,6945,6348,-8.6,22975,19986,-13,8339,7343,-11.9,621,650,4.7,1107,1178,6.4,554,567,2.3,80295,78121,-2.7,125654,119071,-5.2
23,Tripura,255,284,11.4,94,61,-35.1,0,1,NA,69,61,-11.6,101,114,12.9,61,33,-45.9,40,81,102.5,206,154,-25.2,4,0,NA,292,177,-39.4,520,408,-21.5,913,607,-33.5,440,283,-35.7,20,13,-35,14,19,35.7,1,11,1000,2246,1604,-28.6,5175,3797,-26.6
24,Uttar Pradesh,10589,10776,1.8,9054,9541,5.4,1543,1371,-11.1,1787,2078,16.3,4423,4798,8.5,2522,2796,10.9,1901,2002,5.3,1778,1740,-2.1,362,238,-100,6683,6506,-2.6,17541,16822,-4.1,45491,43143,-5.2,9273,9594,3.5,3792,3615,-4.7,3886,3722,-4.2,403,284,-29.5,86883,90475,4.1,203488,204703,0.6
25,West Bengal,1685,1817,7.8,453,560,23.6,584,646,10.6,712,743,4.4,1022,1128,10.4,708,783,10.6,314,345,9.9,518,553,6.8,142,138,-34.3,830,791,-4.7,1038,945,-9,24847,22068,-11.2,6642,6147,-7.5,623,610,-2.1,1162,1249,7.5,116,67,-42.2,30344,31480,3.7,70718,68942,-2.5
Total (States),Total (States),37686,38014,0.9,29213,29497,1,3798,3857,1.6,11894,12882,8.3,18965,19854,4.7,13443,13302,-1,5522,6552,18.7,9324,9249,-0.8,1080,932,-2.8,24006,23536,-2,121135,119443,-1.4,305126,288143,-5.6,93471,94002,0.6,16356,15899,-2.8,28632,29699,3.7,3612,2739,-24.2,882564,903029,2.3,1586862,1590775,0.2
26,A & N Islands,10,14,40,10,4,-60,0,0,NA,4,4,0,3,4,33.3,3,3,0,0,1,NA,0,0,NA,0,0,-13.7,5,1,-80,88,68,-22.7,84,61,-27.4,15,21,40,6,8,33.3,7,6,-14.3,2,0,-100,430,356,-17.2,664,547,-17.6
27,Chandigarh,14,22,57.1,15,15,0,7,5,-28.6,6,6,0,31,55,77.4,24,45,87.5,7,10,42.9,0,0,NA,0,0,NA,9,8,-11.1,177,178,0.6,906,967,6.7,31,46,48.4,22,27,22.7,95,99,4.2,1,0,-100,629,671,6.7,1943,2099,8
28,D & N Haveli,4,7,75,1,3,200,0,0,NA,0,2,NA,4,6,50,3,5,66.7,1,1,0,1,1,0,0,0,NA,1,4,300,20,24,20,27,61,125.9,14,30,114.3,3,5,66.7,0,0,NA,0,0,NA,246,345,40.2,321,488,52
29,Daman & Diu,4,3,-25,1,2,100,0,0,NA,1,1,0,2,1,-50,0,0,NA,2,1,-50,5,2,-60,0,0,NA,0,3,NA,22,37,68.2,33,33,0,28,24,-14.3,5,4,-20,4,4,0,1,2,-100,116,107,-7.8,222,223,0.5
30,Delhi,487,492,1,472,479,1.5,83,84,1.2,306,309,1,817,1055,291,580,713,22.9,237,342,44.3,27,19,-29.6,22,14,NA,326,377,15.6,1465,1660,13.3,13161,13490,2.5,219,172,-21.5,634,578,-8.8,1318,1383,4.9,99,99,0,17161,18012,5,36597,38223,4.4
31,Lakshadweep,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,-36.4,0,0,NA,8,3,-62.5,17,20,17.6,1,8,700,0,1,NA,0,0,NA,0,0,NA,22,20,-9.1,48,52,8.3
32,Pondicherry,35,25,-28.6,13,20,53.8,2,0,-100,7,4,-42.9,8,8,0,5,7,40,3,1,-66.7,0,0,NA,0,0,NA,7,4,-42.9,105,123,17.1,1080,789,-26.9,59,41,-30.5,13,1,-92.3,23,16,-30.4,13,11,-15.4,1914,1802,-5.9,3279,2844,-13.3
Total (UTs),Total (UTs),554,563,1.6,512,523,2.1,92,89,-3.3,324,326,0.6,865,1129,30.5,615,773,25.7,250,356,42.4,33,22,-33.3,22,14,NA,348,397,14.1,1885,2093,11,15308,15421,0.7,367,342,-6.8,683,624,-8.6,1447,1508,4.2,116,112,-3.4,20518,21323,3.9,43079,44476,3.3
Total (All -India),Total (All -India),38240,38577,0.9,29725,30020,1,3890,3946,1.4,12218,13208,8.1,19830,20983,5.8,14058,14075,0.1,5772,6908,19.7,9357,9271,-0.9,1102,946,-36.4,24354,23933,-1.7,123020,121536,-1.2,320434,303564,-5.3,93838,94344,0.5,17039,16523,-3,30079,31207,3.8,3728,2851,-23.5,903082,924342,2.4,1629936,1635251,0.3
33,Ahmedabad,154,101,-34.4,119,65,-45.4,3,1,-66.7,20,20,0,174,113,-35.1,128,85,-33.6,46,28,-39.1,29,17,-41.4,0,0,-14.2,118,134,13.6,879,868,-1.3,4353,4554,4.6,279,143,-48.7,488,110,-77.5,536,160,-70.1,25,19,-24,10322,4896,-52.6,17499,11201,-36
34,Bangalore,163,213,30.7,310,275,-11.3,3,7,133.3,48,61,27.1,111,152,36.9,40,68,70,71,84,18.3,27,90,233.3,2,1,NA,486,576,18.5,2510,2547,1.5,7239,8965,23.8,342,1041,204.4,294,245,-16.7,936,1013,8.2,1010,367,-63.7,12998,14387,10.7,26479,29940,13.1
