SL. No. (Col. 1),State/UT/City (Col. 2),Total Number of Persons Arrested (Col. 3),New Offenders - Number (Col. 4),New Offenders - Percentage to Total (Col. 5),Old Offenders Convicted in the past - Once - Number (Col. 6),Old Offenders Convicted in the past - Once - Percentage to Total (Col. 7),Old Offenders Convicted in the past - Twice - Number (Col. 8),Old Offenders Convicted in the past - Twice - Percentage to Total (Col. 9),Old Offenders Convicted in the past - Thrice or More - Number (Col. 10),Old Offenders Convicted in the past - Thrice or More - Percentage to Total (Col. 11),Percentage of Recidivists (Col. 7+9+11) (Col. 12)
1,Andhra Pradesh,150279,135137,89.9,11359,7.6,3123,2.1,660,0.4,10.1
2,Arunachal Pradesh,2384,2375,99.6,8,0.3,0,0,1,0,0.4
3,Assam,51014,50431,98.9,418,0.8,135,0.3,30,0.1,1.1
4,Bihar,228294,180879,79.2,37843,16.6,7730,3.4,1842,0.8,20.8
5,Goa,3948,3892,98.6,35,0.9,17,0.4,4,0.1,1.4
6,Gujarat,157165,137722,87.6,17413,11.1,1469,0.9,561,0.4,12.4
7,Haryana,50265,44627,88.8,4108,8.2,1086,2.2,444,0.9,11.2
8,Himachal Pradesh,16273,15582,95.8,571,3.5,102,0.6,18,0.1,4.2
9,Jammu & Kashmir,15843,13685,86.4,2158,13.6,0,0,0,0,13.6
10,Karnataka,159302,152085,95.5,6804,4.3,350,0.2,63,0,4.5
11,Kerala,130812,119664,91.5,9645,7.4,1216,0.9,287,0.2,8.5
12,Madhya Pradesh,274023,241190,88,28824,10.5,3022,1.1,987,0.4,12
13,Maharashtra,260048,244856,94.2,10127,3.9,2719,1,2346,0.9,5.8
14,Manipur,2056,2056,100,0,0,0,0,0,0,0
15,Meghalaya,1883,1591,84.5,154,8.2,86,4.6,52,2.8,15.5
16,Mizoram,2154,1571,72.9,576,26.7,5,0.2,2,0.1,27.1
17,Nagaland,1408,1246,88.5,77,5.5,65,4.6,20,1.4,11.5
18,Orissa,81566,80993,99.3,353,0.4,184,0.2,36,0,0.7
19,Punjab,15227,11770,77.3,2709,17.8,584,3.8,164,1.1,22.7
20,Rajasthan,185720,174385,93.9,9014,4.9,1701,0.9,620,0.3,6.1
21,Sikkim,998,993,99.5,5,0.5,0,0,0,0,0.5
22,Tamil Nadu,211485,169662,80.2,26836,12.7,10295,4.9,4692,2.2,19.8
23,Tripura,5531,5164,93.4,354,6.4,13,0.2,0,0,6.6
24,Uttar Pradesh,317693,291281,91.7,20225,6.4,4844,1.5,1343,0.4,8.3
25,West Bengal,134255,132261,98.5,1542,1.1,313,0.2,139,0.1,1.5
Total (States),Total (States),2459626,2215098,90.1,191158,7.8,39059,1.6,14311,0.6,9.9
26,A & N Islands,732,720,98.4,8,1.1,4,0.5,0,0,1.6
27,Chandigarh,2215,1734,78.3,457,20.6,17,0.8,7,0.3,21.7
28,D & N Haveli,646,646,100,0,0,0,0,0,0,0
29,Daman & Diu,301,301,100,0,0,0,0,0,0,0
30,Delhi,34849,32562,93.4,2018,5.8,202,0.6,67,0.2,6.6
31,Lakshadweep,12,12,100,0,0,0,0,0,0,0
32,Pondicherry,3603,3123,86.7,373,10.4,76,2.1,31,0.9,13.3
Total (UTs),Total (UTs),42358,39098,92.3,2856,6.7,299,0.7,105,0.2,7.7
Total (All -India),Total (All -India),2501984,2254196,90.1,194014,7.8,39358,1.6,14416,0.6,9.9
33,Ahmedabad,16885,15528,92,1276,7.6,45,0.3,36,0.2,8
34,Bangalore,14298,14177,99.2,91,0.6,23,0.2,7,0,0.8
35,Bhopal,9972,7212,72.3,1206,12.1,1054,10.6,500,5,27.7
36,Bombay,31606,21004,66.5,6782,21.5,2019,6.4,1801,5.7,33.5
37,Calcutta,9091,8613,94.7,401,4.4,63,0.7,14,0.2,5.3
38,Coimbatore,4369,4211,96.4,109,2.5,35,0.8,14,0.3,3.6
39,Delhi,31221,29124,93.3,1854,5.9,182,0.6,61,0.2,6.7
40,Hyderabad,7004,6399,91.4,424,6.1,108,1.5,73,1,8.6
41,Indore,10105,8108,80.2,1822,18,156,1.5,19,0.2,19.8
42,Jaipur,8996,8700,96.7,115,1.3,107,1.2,74,0.8,3.3
43,Kanpur,8523,7971,93.5,346,4.1,156,1.8,50,0.6,6.5
44,Kochi,4851,4778,98.5,73,1.5,0,0,0,0,1.5
45,Lucknow,6944,6509,93.7,293,4.2,131,1.9,11,0.2,6.3
46,Ludhiana,1225,1225,100,0,0,0,0,0,0,0
47,Madras,7727,6756,87.4,814,10.5,126,1.6,31,0.4,12.6
48,Madurai,5828,4958,85.1,690,11.8,118,2,62,1.1,14.9
49,Nagpur,7267,7176,98.7,70,1,15,0.2,6,0.1,1.3
50,Patna,10329,9334,90.4,984,9.5,9,0.1,2,0,9.6
51,Pune,12209,12149,99.5,46,0.4,9,0.1,5,0,0.5
52,Surat,5495,4633,84.3,453,8.2,134,2.4,275,5,15.7
53,Vadodara,5456,4315,79.1,1104,20.2,21,0.4,16,0.3,20.9
54,Varanasi,2771,2771,100,0,0,0,0,0,0,0
55,Vishakhapatnam,3135,2856,91.1,209,6.7,53,1.7,17,0.5,8.9
