SL. No.,State/UT/City,Killed - in Dacoity Operation or Other Raids,Killed - by Riotous Mobs,Killed - by Other criminals,Killed - on Border Duties,Killed - in Accidents,Killed - Total,Injured - in Dacoity Operation or Other Raids,Injured - by Riotous Mobs,Injured - by Other criminals,Injured - on Border Duties,Injured - in Accidents,Injured - Total
1,Constables,16,13,95,11,242,377,100,1464,374,25,451,2414
2,Head Constables,1,0,29,2,72,104,8,306,73,6,98,491
3,Asstt. Sub-Inspectors,1,0,11,2,21,35,5,101,21,1,31,159
4,Sub-Inspectors,3,3,15,1,23,45,16,172,57,2,57,304
5,Inspectors,2,0,3,0,3,8,4,100,16,1,10,131
6,Others(Gazetted Officers),1,0,8,1,6,16,3,76,18,0,34,131
Total,Total,24,16,161,17,367,585,136,2219,559,35,681,3630
