SL. No.,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I - Sanctioned","Inspector, SI & A.S.I - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,Andhra Pradesh,0,0,0,0,37,27,1214,1045,1251,1072
2,Arunachal Pradesh,0,1,0,0,13,13,52,111,65,125
3,Assam,0,0,0,0,22,22,201,201,223,223
4,Bihar,5,5,3,3,51,51,274,272,333,331
5,Goa,0,0,0,0,4,9,163,146,167,155
6,Gujarat,0,0,1,1,47,47,809,809,857,857
7,Haryana,0,0,0,2,19,17,169,163,188,182
8,Himachal Pradesh,0,0,0,1,3,14,35,176,38,191
9,Jammu & Kashmir,0,0,0,0,13,10,162,145,175,155
10,Karnataka,0,0,0,0,62,41,1107,490,1169,531
11,Kerala,1,1,0,0,25,24,468,464,494,489
12,Madhya Pradesh,0,0,0,1,133,133,926,926,1060,1060
13,Maharashtra,0,0,1,3,179,149,2762,2651,2944,2803
14,Manipur,0,0,3,5,1,5,243,239,244,249
15,Meghalaya,0,0,0,0,4,36,40,96,44,132
16,Mizoram,0,0,0,0,0,5,0,79,0,84
17,Nagaland,0,0,0,0,15,12,22,22,37,34
18,Orissa,0,0,1,1,96,70,230,210,327,281
19,Punjab,0,0,0,3,26,43,181,676,207,722
20,Rajasthan,0,2,1,0,28,28,511,511,540,541
21,Sikkim,0,0,1,1,21,21,40,40,62,62
22,Tamil Nadu,0,0,26,0,149,145,2702,1067,2877,1212
23,Tripura,0,0,1,0,41,29,175,155,217,184
24,Uttar Pradesh,0,10,0,1,194,72,1728,1169,1922,1252
25,West Bengal,0,2,1,8,234,179,507,429,742,618
Total (States),Total (States),6,21,39,30,1417,1202,14721,12292,16183,13545
26,A & N Islands,0,0,0,0,4,4,50,50,54,54
27,Chandigarh,0,0,0,0,2,44,33,130,35,152
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0
30,Delhi,0,0,1,1,407,273,996,848,1404,1122
31,Lakshadweep,0,0,0,0,1,0,17,17,18,17
32,Pondicherry,0,0,0,0,2,3,12,61,14,64
Total (UTs),Total (UTs),0,0,1,1,416,302,1108,1106,1525,1409
Total (All -India),Total (All -India),6,21,40,31,1833,1504,15829,13398,17708,14954
33,Ahmedabad,0,0,1,0,13,13,159,159,173,172
34,Bangalore,0,0,0,0,21,19,148,131,169,150
35,Bhopal,0,0,0,0,10,10,57,57,67,67
36,Bombay,0,0,3,3,123,116,776,668,902,787
37,Calcutta,0,0,1,1,84,79,80,77,165,157
38,Coimbatore,0,0,0,0,12,11,57,57,69,68
39,Delhi,0,0,1,1,407,273,996,848,1404,1122
40,Hyderabad,0,0,0,0,9,8,199,157,208,165
41,Indore,0,0,0,0,6,6,53,53,59,59
42,Jaipur,0,0,2,0,10,2,77,57,89,59
43,Kanpur,0,0,0,0,6,5,71,76,77,81
44,Kochi,0,0,0,0,3,3,37,36,40,39
45,Lucknow,0,0,0,0,4,4,43,43,47,47
46,Ludhiana,0,0,0,0,0,1,18,41,18,42
47,Madras,0,0,0,0,15,15,166,166,181,181
48,Madurai,0,0,0,0,6,6,52,52,58,58
49,Nagpur,0,0,0,0,8,5,146,146,154,151
50,Patna,0,0,0,0,16,16,82,82,98,98
51,Pune,0,0,0,0,11,11,164,164,175,175
52,Surat,0,0,0,0,3,3,115,81,118,84
53,Vadodara,0,0,0,0,2,0,99,82,101,82
54,Varanasi,0,0,0,0,8,5,58,51,66,56
55,Vishakhapatnam,0,0,0,0,2,4,100,82,102,86
