SL. No.,State/City,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C.H. Not Amounting to Murder - Male,C.H. Not Amounting to Murder - Female,C.H. Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abduction Total - Male,Kidnapping & Abduction Total - Female,Kidnapping & Abduction Total - Total,Kidnapping & Abduction Of Women & Girls - Male,Kidnapping & Abduction Of Women & Girls - Female,Kidnapping & Abduction Of Women & Girls - Total,Kidnapping & Abduction Of Others - Male,Kidnapping & Abduction Of Others - Female,Kidnapping & Abduction Of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly for Dacoity - Male,Preparation & Assembly for Dacoity - Female,Preparation & Assembly for Dacoity - Total,Robber - Male,Robber - Female,Robber - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riot - Male,Riot - Female,Riot - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total
1,Andhra Pradesh,5582,271,5853,3257,112,3369,140,2,142,1035,18,1053,1180,81,1261,584,71,655,596,10,606,2070,6,2076,34,2,36,1823,6,1829,6531,409,6940,12843,686,13529,24972,575,25547,456,2,458,1629,32,1661,65,0,65,81977,4483,86460,143594,6685,150279
2,Arunachal Pradesh,98,1,99,46,1,47,3,0,3,52,0,52,55,0,55,44,0,44,11,0,11,123,1,124,0,0,0,66,0,66,105,2,107,257,2,259,185,48,233,28,0,28,29,0,29,7,0,7,1193,82,1275,2247,137,2384
3,Assam,1850,43,1893,427,8,435,66,2,68,629,2,631,1227,15,1242,1030,15,1045,197,0,197,2117,6,2123,110,0,110,1547,0,1547,3156,19,3175,6582,67,6649,14236,280,14516,430,1,431,525,6,531,140,0,140,17155,368,17523,50179,817,51014
4,Bihar,10420,233,10653,11394,118,11512,865,34,899,1844,19,1863,4412,159,4571,639,105,744,3773,54,3827,7162,14,7176,1020,12,1032,4216,14,4230,5700,23,5723,23885,206,24091,57925,440,58365,2443,8,2451,2767,33,2800,171,18,189,91084,1655,92739,225308,2986,228294
5,Goa,53,1,54,13,0,13,7,1,8,10,0,10,29,2,31,15,0,15,14,2,16,35,0,35,0,0,0,32,0,32,327,7,334,501,21,522,900,82,982,54,1,55,64,4,68,3,0,3,1694,107,1801,3722,226,3948
6,Gujarat,2606,204,2810,2459,160,2619,10,1,11,474,13,487,1486,69,1555,1173,61,1234,313,8,321,894,22,916,0,0,0,1342,14,1356,4397,146,4543,11128,363,11491,12810,865,13675,23486,80,2566,3090,118,3208,58,1,59,105337,6532,111869,148577,8588,157165
7,Haryana,1475,67,1542,1390,21,1411,306,5,311,356,7,363,484,16,500,277,10,287,207,6,213,245,0,245,170,0,170,395,1,396,2296,0,2296,4640,18,4658,2533,73,2606,328,6,334,936,19,955,6,0,6,33843,629,34472,49403,862,50265
8,Himachal Pradesh,215,41,256,162,14,176,31,1,32,188,7,195,185,14,199,148,31,161,37,1,38,10,0,10,0,0,0,36,0,36,541,15,556,642,10,652,2845,440,3285,83,2,85,143,15,158,2,0,2,9397,1234,10631,14480,1793,16273
9,Jammu & Kashmir,302,4,306,819,26,845,6,0,6,126,0,126,233,3,236,216,3,219,17,0,17,59,0,59,0,0,0,69,0,69,449,0,449,1635,18,1653,2219,142,2361,80,0,80,117,0,117,0,0,0,8966,570,9536,15080,763,15843
10,Karnataka,3289,164,3453,3164,61,3225,77,2,79,411,7,418,780,31,811,460,29,489,320,2,322,727,7,734,26,0,26,941,3,944,3436,23,3459,7068,180,7248,48582,2240,50822,614,4,618,1249,37,1284,59,0,59,81290,4832,86122,151711,7591,159302
11,Kerala,1076,64,1140,2492,45,2537,90,0,90,242,0,242,226,12,238,124,12,136,102,0,102,523,0,523,94,0,94,338,7,345,2598,25,2623,2935,36,2971,44312,684,44996,269,4,273,1283,12,1295,90,0,90,73107,248,73355,129675,1137,130812
12,Madhya Pradesh,7612,223,7835,8293,277,8570,549,83,632,4068,72,4140,1853,55,1908,1665,55,1720,188,31,188,1270,5,1275,711,0,711,2891,15,2906,10708,189,10897,16908,429,17337,26466,394,26860,857,4,861,1762,26,1788,21,0,21,182696,5586,188282,266665,7358,274023
13,Maharashtra,5419,583,6002,3800,188,3988,264,84,348,1860,80,1940,1551,106,1657,1029,75,1104,522,0,553,2981,55,3036,417,7,424,3720,30,3750,11480,324,11804,23919,1325,25244,38214,4302,42516,2125,28,2153,3812,142,3954,132,2,134,137768,15330,153098,237462,22586,260048
14,Manipur,166,9,175,71,0,71,4,0,4,3,0,3,97,21,118,82,21,103,15,0,15,67,2,69,0,0,0,22,0,22,96,0,96,197,8,205,64,103,167,9,1,10,94,5,99,13,3,16,972,29,1001,1875,181,2056
15,Meghalaya,122,1,123,18,0,18,3,0,3,30,0,30,24,1,25,16,1,17,8,0,8,189,0,189,3,0,3,87,0,87,133,2,135,443,7,450,167,0,167,9,0,9,15,0,15,13,0,13,604,12,616,1860,23,1883
16,Mizoram,35,0,35,23,0,23,0,0,0,36,2,38,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,6,0,6,150,1,151,354,25,379,10,0,10,17,0,17,43,0,43,9,2,11,1269,168,1437,1956,198,2154
17,Nagaland,77,4,81,56,2,58,3,0,3,25,0,25,42,0,42,25,0,25,17,0,17,63,0,63,0,0,0,106,4,110,187,4,191,204,7,211,39,0,39,42,0,42,64,0,64,5,1,6,441,32,473,1354,54,1408
18,Orissa,1563,152,1715,2415,68,2483,159,9,168,499,0,499,486,15,501,486,15,501,0,0,0,1547,41,1588,0,0,0,1427,0,1427,4507,42,4549,8462,106,8568,11461,237,11698,405,0,405,410,11,421,22,0,22,47059,463,47522,80422,1144,81566
19,Punjab,1207,93,1300,867,27,894,215,10,225,200,3,203,268,15,283,138,11,149,130,4,134,15,0,15,84,0,84,83,0,83,595,7,602,881,33,914,79,0,79,164,3,167,690,88,778,1,0,1,9327,272,9599,14676,551,15227
20,Rajasthan,2919,184,3103,4329,202,4531,114,10,124,1098,12,1110,1776,66,1842,1472,57,1529,304,9,313,442,1,443,48,0,48,1273,11,1284,4665,51,4716,4693,252,4945,54700,2998,57698,530,10,540,3057,42,3099,2,0,2,96577,5658,102235,176223,9497,185720
21,Sikkim,9,0,9,3,0,3,0,0,0,12,0,12,15,0,15,0,0,0,15,0,15,20,0,20,0,0,0,22,0,22,80,3,83,58,9,67,282,12,294,3,0,3,5,0,5,4,0,4,417,44,461,930,68,998
22,Tamil Nadu,4349,287,4636,6972,262,7234,87,4,91,453,6,459,1234,93,1327,1202,91,1293,32,2,34,523,0,523,0,0,0,646,5,651,4536,33,4569,14681,312,14993,51439,4163,55602,246,7,253,711,15,726,55,0,55,111533,8833,120366,197465,14020,211485
23,Tripura,390,6,396,121,0,121,1,0,1,126,0,126,166,4,170,102,3,105,64,1,65,318,0,318,0,0,0,337,0,337,418,0,418,461,8,469,1107,25,1132,21,0,21,32,0,32,14,0,14,1897,79,1973,5409,122,5531
24,Uttar Pradesh,25598,684,26282,19135,98,19233,3550,28,3578,3193,12,3205,7752,244,7996,4425,178,4603,3327,66,3393,5726,5,5731,1027,0,1027,6709,3,6712,10314,36,10350,21824,240,22064,51770,823,52593,2590,20,2610,3728,30,3758,200,2,202,150013,2339,152352,313129,4564,317693
25,West Bengal,5063,129,5192,1142,51,1193,1240,44,1284,1187,0,1187,1306,40,1346,935,35,970,371,5,376,2309,0,2309,878,0,878,1344,11,1355,1381,5,1386,20567,152,20719,41570,598,42168,709,0,709,1081,10,1091,80,3,83,51937,1418,53355,131794,2461,134255
Total (States),Total (States),81495,3448,84943,72868,1741,74609,7790,320,8110,18157,260,18417,26871,1062,27933,16287,861,17148,10584,201,10785,29435,165,29600,4622,21,4643,29478,124,29602,78786,1366,80152,185768,4520,190288,488887,19524,508411,14998,181,15179,27334,645,27979,1172,32,1204,1297553,61003,1358556,2365214,94412,2459626
26,A & N Islands,21,0,21,4,0,4,0,0,0,10,0,10,3,1,4,3,0,3,0,1,1,0,0,0,0,0,0,2,0,2,23,0,23,39,3,42,77,0,77,7,0,7,7,0,7,0,0,0,491,44,535,684,48,732
27,Chandigarh,28,3,31,31,0,31,7,0,7,16,0,16,54,0,54,24,0,24,30,0,30,8,0,8,0,0,0,10,0,10,150,1,151,491,15,506,230,35,265,21,3,24,163,10,173,0,0,0,858,81,939,2067,148,2215
28,D & N Haveli,8,0,8,8,0,8,0,0,0,2,0,2,5,1,6,5,1,6,0,0,0,0,0,0,0,0,0,1,0,1,29,0,29,55,1,56,105,1,106,1,0,1,0,0,0,0,0,0,390,39,429,604,42,646
29,Daman & Diu,3,0,3,3,2,5,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,6,0,6,16,0,16,12,0,12,119,23,142,3,1,4,4,0,4,0,0,0,101,7,108,268,33,301
30,Delhi,709,34,743,841,13,854,285,7,292,428,1,429,533,39,572,332,29,361,201,10,211,76,0,76,53,0,53,615,0,615,1247,1,1248,5989,246,6235,1560,7,1567,276,77,353,1275,3,1278,27,0,27,19725,782,20507,33639,1210,34849
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,4,0,4,0,0,0,0,0,0,0,0,0,5,0,5,12,0,12
