SL.No. (Col. 1),Crime Head (Col. 2),Below 16 Years - Male (Col. 3),Below 16 Years - Female (Col. 4),16-18 Years - Male (Col. 5),16-18 Years - Female (Col. 6),18-30 Years - Male (Col. 7),18-30 Years - Female (Col. 8),30-50 years - Male (Col. 9),30-50 years - Female (Col. 10),50 years & Above - Male (Col. 11),50 years & Above - Female (Col. 12),All Age Groups Juveniles - Male (Col. 13) = (Col. 3),All Age Groups Juveniles - Female (Col. 14) (Col. 4+6),All Age Groups Others - Male (Col. 15),All Age Groups Others - Female (Col. 16),All Age Groups Total - Male (Col. 17),All Age Groups Total - Female (Col. 18),Total Male+Female (Col. 19) (Col. 17+18)
1,Murder,279,35,1509,57,42082,1527,32917,1529,5542,339,279,92,82050,3395,82329,3487,85816
2,Attempt to Commit Murder,171,6,1270,34,39606,749,27477,718,5328,255,171,40,73681,1722,73852,1762,75614
3,C.H. Not Amounting to Murder,16,0,110,1,4129,134,3268,139,559,53,16,1,8066,326,8082,327,8409
4,Rape,160,4,744,17,11465,109,5744,112,506,19,160,21,18459,240,18619,261,18880
5,Kidnapping & Abduction,92,7,896,17,16189,585,9122,406,1175,91,92,24,27382,1082,27474,116,28580
5,I) Of Womens & Girls,41,4,554,14,10020,479,5314,345,729,52,41,18,16617,876,16658,894,17552
5,II) Of Others,51,3,342,3,6169,106,3808,61,446,39,51,6,10765,206,10816,212,11028
6,Dacoity,41,0,829,0,16844,84,10775,78,1030,3,41,0,29478,165,29519,165,29684
7,Preparation & Assembly for Dacoity,13,0,84,10,2851,7,1621,4,106,0,13,10,4662,11,4675,21,4696
8,Robbery,66,2,760,3,18126,50,10344,59,822,10,66,5,30052,119,30118,124,30242
9,Burglary,1559,33,2575,31,44885,833,27789,387,3516,84,1559,64,78765,1304,80324,1368,81692
10,Theft,2547,135,7727,137,105693,2446,66021,1757,10571,312,2547,272,190012,4515,192559,4787,197346
11,Riots,661,41,10763,224,262519,9199,184506,8817,32919,1314,661,265,490707,19330,491368,19595,510963
12,Criminal Breach of Trust,15,3,247,0,6990,106,6849,121,1206,32,15,3,15292,259,15307,262,15569
13,Cheating,26,2,297,6,12778,283,12997,305,2697,65,26,8,28769,653,28795,661,29456
14,Counterfeiting,3,0,9,0,598,16,523,15,67,1,3,0,1197,32,1200,32,1232
15,Other IPC Crimes,3012,448,22940,920,676565,27258,512941,26803,106223,6695,3012,1368,1318669,60756,1321681,62124,1383805
A,Total Cognizable Crimes Under IPC,8661,716,50760,1457,1261320,43386,912894,41250,172267,9273,8661,2173,2397241,93909,2405902,96082,2501984
1,Arms Act,39,14,1201,61,38326,35,20306,29,2827,1,39,75,62660,65,62699,140,62839
2,Narcotic Drugs & Psychotropic Substances Act,16,1,177,12,11941,526,8644,557,1429,62,16,13,22191,1145,22207,1158,23365
3,Gambling Act,438,0,8020,4,170581,61,122635,75,19176,10,438,4,320412,146,320850,150,321000
4,Excise Act,68,18,1426,46,48796,1743,40377,131,6362,495,68,64,96961,5369,97029,5433,102462
5,Prohibition Act,229,35,2381,474,121313,64414,221508,63414,45693,17889,229,509,500895,145717,501124,146226,647350
6,Explosive & Explosive Substances Act,1,0,173,2,2822,93,2085,72,249,1,1,2,5329,166,5330,168,5498
7,Immoral Traffic (P) Act,0,0,102,77,1546,7667,1197,3114,38,123,0,77,2883,10904,2883,10981,13864
8,Indian Railways Act,5,0,465,7,19525,162,12495,107,1822,473,5,7,34307,742,34312,749,35061
9,Registration of Foreigners Act,1,0,108,0,1114,189,982,126,194,45,1,0,2398,360,2399,360,2759
10,Protection Of Civil Rights Act,2,0,167,1,3809,144,4479,109,914,18,2,1,9369,271,9371,272,9643
11,Indian Passport Act,36,11,29,15,477,16,464,13,30,3,36,26,1000,32,1036,58,1094
12,Essential Commodities Act,5,0,74,0,2314,5,2766,10,572,6,5,0,5726,21,5731,21,5752
13,Terrorist & Disruptive Actvites Act,0,0,22,0,1657,43,1023,7,71,3,0,0,2773,53,2773,53,2826
14,Antiquity & Art Treasure Act,0,0,0,0,36,0,30,0,0,0,0,0,66,0,66,0,66
15,Dowry Prohibition Act,2,1,221,8,2323,395,2243,589,586,243,2,9,5373,1227,5375,1236,6611
16,Other SLL Crimes,4349,99,13063,292,1623263,36194,1379798,30127,215872,5537,4349,391,3231996,72158,3236345,72549,3308894
B,Total Cognizable Crimes Under SLL,5191,179,27629,999,2159843,111687,1821032,101480,295835,25209,5191,1178,4304339,238376,4309530,239554,4549084
Grand Total (A+B),Grand Total (A+B),13852,895,72929,2456,3421163,155073,2733926,142730,468102,34482,13852,3351,6701580,332285,6715432,335636,7051068
