SL.No.,Category,State/UT/City,Arms Act - Incidence (I),Arms Act - Rate (R ),Narcotic Drugs and Psychotropic Substances Act - Incidence (I),Narcotic Drugs and Psychotropic Substances Act - Rate (R ),Gambling Act - Incidence (I),Gambling Act - Rate (R ),Excise Act - Incidence (I),Excise Act - Rate (R ),Prohibition Act - Incidence (I),Prohibition Act - Rate (R ),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Rate (R ),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Rate (R ),Indian Railways Act - Incidence (I),Indian Railways Act - Rate (R ),Registration of Foreigners Act - Incidence (I),Registration of Foreigners Act - Rate (R ),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Rate (R ),Indian Passport Act - Incidence (I),Indian Passport Act - Rate (R ),Essential Commodities Act - Incidence (I),Essential Commodities Act - Rate (R ),Terrorist & Disruptive Activities Act - Incidence (I),Terrorist & Disruptive Activities Act - Rate (R ),Anquity & Art Treasure Act - Incidence (I),Anquity & Art Treasure Act - Rate (R ),Dowry Prohibition Act - Incidence (I),Dowry Prohibition Act - Rate (R ),Other SLL Crimes - Incidence (I),Other SLL Crimes - Rate (R ),Total Cognizable Crime Under SLL - Incidence (I),Total Cognizable Crime Under SLL - Rate (R )
Total (States),State,Total (States),56837,6.4,19592,2.2,154099,17.4,96559,10.9,638538,72,4623,0.5,9976,1.1,29520,3.3,1404,0.2,4544,0,756,0.1,4026,0.5,3168,0.4,65,0,2694,0.3,2829508,318.9,3855909,434.6
26,UT,A & N - Incidence (I)slands,0,0,3,0.9,16,5,958,299.4,12,22.5,0,0,0,0,0,0,4,1.3,0,0,0,0,1,0.3,0,0,0,0,0,0,469,146.6,1523,475.9
27,UT,Chandigarh,8,1.1,7,0.9,3,0.4,12,1.6,0,0,0,0,0,0,0,0,2,0.3,0,0,0,0,3,0.4,0,0,0,0,0,0,30,4.1,65,8.8
28,UT,D & N Haveli,2,1.3,0,0,1,0.7,4,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,26,17.3,34,22.7
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.8,3,2.7
30,UT,Delhi,3437,32.5,701,6.6,2750,26,4563,43.1,0,0,17,0.2,110,1,50,0.5,67,0.6,1,0,0,0,74,0.7,15,0.1,0,0,12,0.1,686,6.5,12483,117.9
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.7,2,3.3
32,UT,Pondicherry,5,0.6,1,0.1,57,6.6,0,0,0,0,1,0.1,45,5.2,0,0,0,0,15,1.7,0,0,27,3.1,0,0,1,0.1,3,0.3,6820,793,6975,811
Total (UTs),UT,Total (UTs),3452,26.9,712,5.5,2827,22,5537,43.2,73,0.6,18,0.1,156,1.2,50,0.4,73,0.6,16,0.1,0,0,106,0.8,15,0.1,1,0,1,0.1,8034,62.6,21085,164.3
Total (All -India),Total (All -India),Total (All -India),60289,6.7,20304,2.3,156926,17.4,102096,11.3,638611,71,4641,0.5,10132,1.1,29570,3.3,1477,0.2,4560,0.5,756,0.1,4132,0.5,3183,0.4,66,0,2709,0.3,2837542,315.3,3876994,430.8
33,City,Ahmedabad,96,2.7,34,0.9,1987,54.9,0,0,11715,323.6,5,0.1,0,0,0,0,0,0,7,0.2,0,0,113,3.1,0,0,0,0,0,0,26098,720.9,40055,1106.5
34,City,Bangalore,7,0.2,87,1.9,417,9,203,4.4,9,0.2,44,0.9,459,9.9,0,0,25,0.5,27,0.6,2,0,18,0.4,0,0,0,0,169,3.6,587802,12668.1,589269,12699.8
35,City,Bhopal,407,32,53,4.2,558,43.9,254,20,1,0.1,21,1.7,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,1445,113.8,2741,215.8
36,City,Bombay,224,1.5,137,0.9,4850,33.4,0,0,7019,48.4,6,0,896,6.2,0,0,479,3.3,13,0.1,8,0.1,65,0.4,15,0.1,0,0,0,0,217127,1496.4,230839,1590.9
37,City,Calcutta,129,1.1,147,1.3,725,6.2,1785,15.2,0,0,27,0.2,34,0.3,14,0.1,0,0,0,0,0,0,47,0.4,0,0,0,0,0,0,402794,34397.7,405702,3464.6
38,City,Coimbatore,0,0,208,17.8,232,19.8,0,0,NA,NA,1,0.1,451,38.5,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,23869,2040.1,24763,2116.5
39,City,Delhi,3137,32.8,678,7.1,2575,26.9,3993,41.7,0,0,16,0.2,110,1.1,50,0.5,67,0.7,1,0,0,0,61,0.6,15,0.2,0,0,10,0.1,639,6.7,11352,118.6
40,City,Hyderabad,107,2.1,40,0.8,630,12.1,475,9.2,0,0,9,0.2,11,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1,336469,6483,337745,657.6
41,City,Indore,288,23.6,39,3.2,538,44.1,474,38.9,0,0,15,1.2,1,0.1,0,0,3,0.2,0,0,0,0,15,1.2,0,0,0,0,0,0,25,2,1398,114.6
42,City,Jaipur,232,13.3,33,1.9,340,19.5,128,7.4,0,0,0,0,7,0.4,0,0,0,0,49,2.8,1,0.1,9,0.5,0,0,0,0,0,0,294,16.9,1093,62.8
43,City,Kanpur,2116,97.1,676,31,170,7.8,718,32.9,0,0,80,3.7,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,8,0.4,9492,435.4,13264,608.4
44,City,Kochi,5,0.4,36,2.7,8,0.6,0,0,32,2.4,2,0.1,4,0.3,0,0,0,0,0,0,15,1.1,0,0,0,0,0,0,1,0.1,126,9.3,229,17
45,City,Lucknow,1148,58,183,9.2,90,4.5,268,13.5,0,0,19,1,3,0.2,2,0.1,0,0,2,0.1,1,0.1,0,0,1,0.1,0,0,9,0.5,2962,149.6,4688,236.8
46,City,Ludhiana,376,30.1,106,8.5,257,20.6,423,33.8,0,0,3,0.2,0,0,31,2.5,0,0,0,0,0,0,41,3.3,0,0,0,0,0,0,8,0.6,1245,99.6
47,City,Madras,3,0.1,402,6.9,2740,46.8,0,0,NA,NA,2,0,640,10.9,0,0,2,0,3,0.1,2,0,0,0,0,0,0,0,56,1,55596,948.7,59446,1014.4
48,City,Madurai,100,8.7,156,13.6,289,25.1,0,0,NA,NA,2,0.2,396,34.4,0,0,12,1,13,1.1,9,0.8,1,0.1,0,0,0,0,16,1.4,53803,4678.5,54797,4765
49,City,Nagpur,495,27.3,84,4.6,2140,118.2,0,0,4595,253.9,2,0.1,2,0.1,0,0,0,0,14,0.8,0,0,33,1.8,0,0,0,0,0,0,2742,151.5,10107,558.4
50,City,Patna,177,15.1,1,0.1,59,5,105,9,0,0,15,1.3,3,0.3,0,0,3,0.3,0,0,0,0,0,0,0,0,0,0,89,7.6,22,1.9,474,4.5
51,City,Pune,44,1.5,43,1.5,345,12.1,0,0,5812,204.6,11,0.4,0,0,0,0,95,3.3,5,0.2,0,0,8,0.3,0,0,0,0,0,0,3076,108.3,9439,332.4
52,City,Surat,69,3.8,15,0.8,561,31.2,0,0,24394,1355.2,23,1.3,4,0.2,0,0,1,0.1,0,0,0,0,3,0.2,0,0,0,0,0,0,5437,302.1,30507,1694.8
53,City,Vadodara,10,0.8,35,2.7,406,31.5,0,0,5311,411.7,2,0.2,0,0,0,0,0,0,1,0.1,0,0,8,0.6,0,0,0,0,0,0,2471,191.6,8244,639.1
54,City,Varanasi,618,55.2,482,43,68,6.1,156,13.9,0,0,59,5.3,0,0,0,0,0,0,6,0.5,0,0,0,0,0,0,0,0,7,0.6,605,54,2001,178.7
55,City,Vishakhapatnam,2,0.2,1,0.1,1284,101.1,63,5,0,0,8,0.6,66,5.2,0,0,1,0.1,4,0.3,0,0,0,0,0,0,0,0,0,0,34190,2692.1,35619,2804.6
