SL. No. (Col. 1),Crime Head (Col. 2),Total No. of Cases for Investigation Including Pending Cases (Col. 3),No. of Cases in which - Investigation was Refused (Col. 4),No. of Cases in which - Investigation was Completed - Charge Found False/ Mistake of fact or of Law etc. (Col. 5),No. of Cases in which - Investigation was Completed - Final Report True Submitted (Col. 6),No. of Cases in which - Investigation was Completed - Chargesheets were Laid (Col. 7),No. of Cases in which - Investigation was Completed - Total (Col. 5+6+7) (Col. 8),No. of Cases Pending Investigation (Col. 9)
1,Arms Act,71886,6,582,2024,58062,60668,11212
2,Narcotic Drugs & Psychotropic Substances Act,33457,25,65,878,20605,21548,11884
3,Gambling Act,162836,3,16,304,157565,157885,4948
4,Excise Act,117151,2227,624,1388,96664,98676,16248
5,Prohibition Act,736771,4028,1721,9664,622065,633450,99293
6,Explosive & Explosive Subs. Act,9114,16,105,739,4033,4877,4221
7,Immoral Traffic (Prevention) Act,10831,0,6,20,10084,10110,721
8,Indian Railways Act,30867,88,161,654,27808,28623,2156
9,Registration of Foreigners Act,1732,0,6,18,1458,1509,223
10,Protection Of Civil Rights Act,5653,48,740,188,3778,4706,899
11,Indian Passport Act,967,1,18,63,669,750,216
12,Essential Commodities Act,8771,9,263,874,4094,5231,3531
13,Terrorist & Disruptive Actvites Act,7506,24,54,2198,413,2665,4817
14,Antiquity & Art Treasure Act,78,1,3,7,28,38,39
15,Dowry Prohibition Act,3965,41,303,226,2223,2752,1172
16,Other SLL Crimes,2916151,10811,72903,42926,2713817,2829646,75694
17,Total Cognizable Crimes Under SLL,4117736,17328,77570,62171,3723393,3863134,237274
