SL.No.,State/UT,Number of Cases in which Property was - Stolen,Number of Cases in which Property was - Recovered,Value of Property (Rs. In Lakh) - Stolen,Value of Property (Rs. In Lakh) - Recovered
1,Andhra Pradesh,281,146,12.4,3.4
2,Arunachal Pradesh,2,2,1,0.8
3,Assam,43,15,4.4,1.9
4,Bihar,32,2,9.5,0.3
5,Goa,12,0,0.8,0
6,Gujarat,14,2,0.3,0
7,Haryana,0,0,0,0
8,Himachal Pradesh,37,5,10.7,0.3
9,Jammu & Kashmir,2,0,0,0
10,Karnataka,30,6,3.6,0.7
11,Kerala,287,90,95.1,49.7
12,Madhya Pradesh,126,26,4.4,1.3
13,Maharashtra,95,22,1.8,0.2
14,Manipur,0,0,0,0
15,Meghalaya,28,10,0.9,0.3
16,Mizoram,0,0,0,0
17,Nagaland,0,0,0,0
18,Orissa,0,0,0,0
19,Punjab,0,0,0,0
20,Rajasthan,59,7,40.4,37
21,Sikkim,1,0,0,0
22,Tamil Nadu,305,155,11.6,8.9
23,Tripura,0,0,0,0
24,Uttar Pradesh,96,14,24.8,8.7
25,West Bengal,33,11,17.9,11.1
Total (States),Total (States),1483,513,239.6,124.6
26,A & N Islands,0,0,0,0
27,Chandigarh,0,0,0,0
28,D & N Haveli,0,0,0,0
29,Daman & Diu,0,0,0,0
30,Delhi,0,0,0,0
31,Lakshadweep,0,0,0,0
32,Pondicherry,1,0,0.1,0
Total (UTs),Total (UTs),1,0,0.1,0
Total (All -India),Total (All -India),1484,513,239.7,124.6
