SL. No.,Category,States/U.Ts/Cities,Cases Pending Investigation from the Previous Year,Cases Pending Disposal in Courts,Cases Reported during the Year,Cases not Investigated Declared False and Mistake of Fact or Law and Non-Cognizable,Cases Pending Investigation at the End of the Year,Cases Pending Trial at the End of the Year,Total True Cases,Cases not Detected,Cases in which Chargesheets were laid,Cases Compounded or Withdrawn,Cases in which Trails were Completed,Cases Convicted,Cases Acquitted or Discharged,Percentage of Cases Convicted to True Cases Investigated,Percentage of Cases Convicted to Cases in which Trials were Completed,"Volume of Crime Per 100,000 of Population"
1,State,Andhra Pradesh,594,1673,3388,1135,612,2016,1892,264,1628,89,1539,377,1162,19.93,24.5,7.82
2,State,Assam,1296,2434,3111,785,1733,2455,1868,834,1034,NA,1034,169,865,9.05,16.34,19.85
3,State,Bihar,3082,14784,10239,1896,4150,17679,4380,1060,3320,610,2710,783,1927,17.88,28.89,17.71
4,State,Gujarat,340,446,484,43,63,348,816,268,548,122,426,78,348,9.56,18.3,1.82
5,State,Haryana,46,128,107,10,54,137,80,7,73,5,68,15,53,18.75,22.06,1.06
6,State,Himachal Pradesh,14,34,49,11,10,49,27,1,26,10,16,4,12,14.81,25,1.35
7,State,Jammu & Kashmir,176,1008,736,156,171,992,601,14,587,153,434,249,185,41.43,57.37,18.17
8,State,Kerala,885,1402,4269,907,922,2315,2412,357,2055,705,1350,218,1132,9.04,16.15,20
9,State,Madhya Pradesh,334,3086,2170,22,345,3523,1700,335,1365,161,1204,619,585,36.41,51.41,5.32
10,State,Maharashtra,422,1356,2043,114,539,1649,1519,229,1290,161,1077,589,488,38.78,54.69,4.07
11,State,Manipur,280,151,311,33,427,155,127,111,16,NA,16,8,8,6.3,50,27.77
12,State,Mysore,343,1402,1953,426,413,1585,1274,144,1130,285,845,212,633,16.64,25.09,6.65
13,State,Nagaland,13,16,14,NA,16,16,11,2,9,NA,4,3,1,27.27,75,3.23
14,State,Orissa,572,2761,1992,472,575,3349,929,190,739,45,694,160,534,17.22,23.05,9.2
15,State,Punjab,13,28,44,NA,6,41,38,6,32,4,28,4,24,10.53,14.29,0.3
16,State,Rajasthan,452,4417,3381,1098,478,5071,1603,216,1387,592,795,366,429,22.83,46.03,12.84
17,State,Tamil Nadu,147,437,3057,1291,339,656,1355,226,1129,76,1002,377,625,27.82,37.62,7.73
18,State,Tripura,167,275,336,243,180,257,98,5,93,12,63,10,53,10.2,15.87,22.21
19,State,Uttar Pradesh,586,6884,14015,6609,1208,8969,4699,1908,2791,519,2272,1029,1243,21.89,45.29,15.4
20,State,West Bengal,6973,8684,16337,2638,8708,1260,8040,5979,2061,379,1682,197,1485,2.45,11.71,36.32
Total (States),State,Total (States),16735,51406,68036,17889,20949,63870,33469,12156,21313,3928,17259,5467,11792,16.33,31.68,12.5
21,UT,A & N Islands,NA,17,16,2,2,17,12,NA,12,NA,NA,NA,NA,NA,17.2,17.2
22,UT,Chandigarh,3,NA,9,2,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,5.66
23,UT,D & N Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,UT,Delhi,46,79,201,17,73,161,75,44,31,1,30,7,23,9.33,23.33,4.74
25,UT,"Goa, Daman & Diu",NA,42,21,14,4,42,17,2,15,NA,15,12,3,70.59,80,3.05
26,UT,Lakshadweep,1,4,NA,NA,1,3,1,NA,1,NA,1,NA,1,NA,NA,NA
27,UT,Pondicherry,2,37,48,9,2,39,37,NA,37,NA,37,29,8,78.38,78.38,10.69
Total (UTs),UT,Total (UTs),52,179,295,30,86,264,146,50,96,1,83,48,35,32.88,57.83,5.15
Total (All-India),Total (All-India),Total (All-India),16787,51585,68331,17919,21035,64134,33615,12206,21409,3929,17342,5515,11827,16.41,31.8,12.42
1,City,Ahmedabad,221,106,58,4,12,31,338,197,141,10,131,15,116,4.44,11.45,3.56
2,City,Bangalore,13,65,118,6,45,79,66,27,39,2,37,6,31,9.09,16.22,6.52
3,City,Bombay,175,137,338,16,159,143,332,96,236,28,208,99,109,29.82,47.6,5.93
4,City,Calcutta,55,27,1217,47,138,110,1004,963,41,NA,41,17,24,1.69,41.46,38.52
5,City,Delhi,42,71,178,14,68,142,67,41,26,1,25,6,19,8.96,24,4.56
6,City,Hyderabad,158,42,93,NA,94,6,193,126,67,NA,67,22,45,11.4,32.84,6.75
7,City,Kanpur,9,105,242,138,12,129,77,35,42,2,40,16,24,20.78,40,18.45
8,City,Madras,5,23,75,35,25,34,9,3,6,1,6,4,2,44.44,66.67,3.6
Total (Cities),City,Total (Cities),678,576,2319,260,553,674,2086,1488,598,44,555,185,370,8.87,33.33,11.06
