SL. No.,Nature of Property Stolen and Recovered,Number of Cases in which Property was stolen,Value of Property Stolen (in Lakhs),Value of Property Recovered (in Lakhs),Percentage of Value of Property Recovered to Value of Property Stolen
1,Copper Wire,20797,130.23,14.98,11.5
2,Cattle,25183,138.29,52.52,38
3,Cycle,39938,69.6,14.17,20.4
4,Motor Vehicles and Acceddories,8495,437.18,264.72,60.6
5,Firm-Arms,750,7.02,2.04,29.1
6,Explosives,36,0.3,0.17,56.7
