SL. No.,Category,States/U.Ts/Cities,Cases Reported in which Property was Stolen,Cases in which Property was Recovered,Value of Property Stolen in Lakhs,Value of Property Recovered in Lakhs,Percentage of Property Recovered to Value of Property Stolen
1,State,Andhra Pradesh,151,83,1.14,0.59,51.75
2,State,Assam,240,34,1.38,0.05,3.62
3,State,Bihar,879,65,6.18,0.37,5.99
4,State,Gujarat,329,183,2.04,1.09,53.43
5,State,Haryana,22,14,0.74,0.21,28.38
6,State,Himachal Pradesh,18,10,0.24,0.17,70.83
7,State,Jammu & Kashmir,10,2,0.03,0.01,33.33
8,State,Kerala,106,49,1.45,0.35,24.14
9,State,Madhya Pradesh,929,342,5.05,1.33,26.34
10,State,Maharashtra,1247,510,14.55,2.16,14.85
11,State,Manipur,25,8,0.17,0.03,17.65
12,State,Mysore,104,49,0.68,0.26,38.24
13,State,Nagaland,23,22,1.33,0.08,6.02
14,State,Orissa,154,75,1.5,0.61,40.67
15,State,Punjab,13,10,1,0.11,11
16,State,Rajasthan,488,304,3.76,1.99,52.93
17,State,Tamil Nadu,93,69,1,0.5,50
18,State,Tripura,38,4,0.11,0.01,9.09
19,State,Uttar Pradesh,6359,1073,45.33,7.19,15.86
20,State,West Bengal,950,120,9.06,1,11.04
Total (States),State,Total (States),12178,3026,96.74,18.11,18.72
21,UT,A & N Islands,2,1,NA,NA,NA
22,UT,Chandigarh,1,1,NA,NA,NA
23,UT,D & N Haveli,5,NA,NA,NA,NA
24,UT,Delhi,355,106,2.83,1.93,68.2
25,UT,"Goa, Daman & Diu",13,8,0.08,0.02,25
26,UT,Lakshadweep,NA,NA,NA,NA,NA
27,UT,Pondicherry,2,NA,NA,NA,NA
Total (UTs),UT,Total (UTs),378,116,2.91,1.95,67.01
Total (All-India),Total (All-India),Total (All-India),12556,3142,99.65,20.06,20.13
1,City,Ahmedabad,14,5,0.13,0.09,69.23
2,City,Bangalore,26,12,0.16,0.07,43.75
3,City,Bombay,124,47,1.57,0.94,59.87
4,City,Calcutta,72,16,1.41,0.44,31.21
5,City,Delhi,290,94,1.9,1.28,67.37
6,City,Hyderabad,36,8,0.33,0.27,81.82
7,City,Kanpur,216,26,1.21,0.34,28.1
8,City,Madras,NA,NA,NA,NA,NA
Total (Cities),City,Total (Cities),778,208,6.71,3.43,51.12
