SL. No.,Years,7-12 Years,7-12 Year - Percentage to Total,12-16 Years,12-16 Year - Percentage to Total,16-21 Years,16-21 Year - Percentage to Total,Overall Age Groups
1,1960,6612,13.4,14315,29.1,28349,57.5,49276
2,1965,10542,15.4,15908,23.3,41824,61.3,68274
3,1966,9104,13.5,17072,25.4,41081,61.1,67257
4,1967,10195,14.1,17680,24.5,44234,61.4,72109
5,1968,8262,11.3,16548,22.5,48648,66.2,73458
6,1969,8349,10.6,17200,21.8,53319,67.6,78868
7,1970,11405,11.5,18690,18.9,68750,69.6,98845
Percentage Change Over 1960,Percentage Change Over 1960,72.5,NA,30.6,NA,142.5,NA,100.6
Percentage Change Over 1969,Percentage Change Over 1969,36.6,NA,8.7,NA,28.9,NA,25.3
