SL. No.,Category,States/U.Ts,"Number of I.G., D.I.G.& S.P.",Number of A.Ss.P./ Dy.S.P.,Number of Inspector & Sub-Inspectors,Number of Policemen Below Rank of Sub-Inspectors,Total
1,State,Andhra Pradesh,67,128,2166,34029,36390
2,State,Assam,42,71,1573,10852,12538
3,State,Bihar,63,196,2174,30336,32769
4,State,Gujarat,40,77,1359,31508,32984
5,State,Haryana,18,29,736,6941,7724
6,State,Himachal Pradesh,15,26,227,4063,4331
7,State,Jammu and Kashmir,32,80,533,7893,8538
8,State,Kerala,23,53,589,14029,14694
9,State,Madhya Pradesh,175,128,2447,32358,35108
10,State,Maharashtra,76,184,3697,65356,69313
11,State,Manipur,6,28,186,2050,2270
12,State,Mysore,40,79,1247,24021,25387
13,State,Nagaland,6,9,74,726,815
14,State,Orissa,82,138,1694,15219,17133
15,State,Punjab,34,80,783,15230,16127
16,State,Rajasthan,45,158,1628,27931,29762
17,State,Tamil Nadu,54,135,2260,34854,37303
18,State,Tripura,7,16,207,2392,2622
19,State,Uttar Pradesh*,106,378,8020,78611,87115
20,State,West Bengal,91,175,5420,42450,48136
21,UT,A & N Islands,1,8,182,844,1035
22,UT,Chandigarh,1,4,180,1502,1687
23,UT,D & N Haveli,NA,1,3,58,62
24,UT,Delhi*,28,79,1424,15156,16687
25,UT,"Goa, Daman & Diu",2,7,48,1264,1321
26,UT,Lakshadweep,NA,1,11,152,164
27,UT,Pondicherry,4,NA,45,502,551
Total (All-India),Total (All-India),Total (All-India),1058,2268,38913,500327,542566
