SL. No.,Category,States/U.Ts/Cities,Cases Pending Investigation from the Previous Year,Cases Pending Disposal in Courts,Cases Reported during the Year,Cases not Investigated Declared False and Mistake of Fact or Law and Non-Cognizable,Cases Pending Investigation at the End of the Year,Cases Pending Trial at the End of the Year,Total True Cases,Cases not Detected,Cases in which Chargesheets were laid,Cases Compounded or Withdrawn,Cases in which Trails were Completed,Cases Convicted,Cases Acquitted or Discharged,Percentage of Cases Convicted to True Cases Investigated,Percentage of Cases Convicted to Cases in which Trials were Completed,"Volume of Crime Per 100,000 of Population"
1,State,Andhra Pradesh,819,680,4919,375,862,693,4488,1426,3062,8,3054,2698,356,60.12,88.34,11.36
2,State,Assam,1171,2358,4382,295,1574,2366,3676,2576,1100,NA,1100,410,690,11.15,37.27,27.95
3,State,Bihar,2715,7290,20635,683,3721,7813,18423,16437,1986,191,1795,1023,772,5.55,56.99,35.68
4,State,Gujarat,483,985,4188,149,436,1009,4062,2443,1619,394,1225,581,644,14.3,47.43,15.74
5,State,Haryana,541,599,1715,79,678,650,1448,935,513,NA,513,393,120,27.14,76.61,16.98
6,State,Himachal Pradesh,155,103,366,45,134,117,328,195,133,5,128,97,31,29.57,75.78,10.09
7,State,Jammu & Kashmir,478,969,840,549,483,742,513,52,461,117,344,175,169,34.11,50.87,20.74
8,State,Kerala,882,712,3414,175,926,782,3125,1787,1338,54,1284,799,485,25.57,62.23,16
9,State,Madhya Pradesh,1071,8381,16430,110,1221,8919,15632,10389,5243,373,4870,3476,1394,22.24,71.38,40.26
10,State,Maharashtra,2157,5187,14497,358,3090,5759,12634,8410,4224,559,3654,2534,1120,20.06,69.35,28.91
11,State,Manipur,273,169,175,4,376,175,62,49,13,NA,13,8,5,12.9,61.54,15.62
12,State,Mysore,1080,1946,6193,316,1067,2138,5698,3184,2514,108,2406,1761,645,30.91,73.19,21.09
13,State,Nagaland,34,24,148,NA,63,23,120,45,75,1,47,37,10,30.83,78.72,34.18
14,State,Orissa,922,3175,6832,431,878,3780,5840,4084,1756,8,1746,989,757,16.93,56.64,31.55
15,State,Punjab,680,410,1524,NA,43,1073,1498,1114,384,NA,384,298,86,19.89,77.6,10.29
16,State,Rajasthan,634,4626,6827,650,650,5041,5746,3745,2001,450,1551,887,664,15.44,57.19,25.93
17,State,Tamil Nadu,433,551,6658,500,466,560,6116,1494,4622,2,4620,4307,313,70.42,93.23,16.83
18,State,Tripura,82,157,336,196,110,124,145,104,41,NA,39,23,16,15.86,58.97,22.21
19,State,Uttar Pradesh,2307,9564,52006,8496,4969,11436,38976,34038,4938,185,4753,2706,2047,6.94,56.93,57.16
20,State,West Bengal,2192,4598,9979,213,2847,4814,8895,7750,1145,169,976,556,420,6.25,56.97,22.18
Total (States),State,Total (States),19109,52484,162064,13624,24594,58014,137425,100257,37168,2624,34502,23758,10744,17.29,68.86,29.78
21,UT,A & N Islands,NA,9,30,4,14,9,12,NA,12,NA,6,6,NA,50,100,32.26
22,UT,Chandigarh,40,12,133,3,26,43,113,91,22,NA,22,22,NA,1947,100,83.65
23,UT,D & N Haveli,1,10,26,NA,1,9,27,20,7,NA,7,3,4,11.11,42.86,35.62
24,UT,Delhi,373,303,3601,75,667,541,2994,2645,349,19,330,265,65,8.85,80.3,84.91
25,UT,"Goa, Daman & Diu",27,81,342,5,50,62,333,227,106,2,104,87,17,26.13,83.65,49.71
26,UT,Lakshadweep,NA,2,6,NA,NA,3,5,1,4,NA,2,2,NA,40,100,21.43
27,UT,Pondicherry,3,14,137,19,11,16,108,48,60,NA,60,57,3,52.78,95,30.51
Total (UTs),UT,Total (UTs),444,431,4275,106,769,683,3592,3032,560,21,531,442,89,12.31,83.84,74.59
Total (All-India),Total (All-India),Total (All-India),19553,52915,166339,13730,25363,58697,141017,103289,37728,2645,35033,24200,10833,17.16,69.08,30.24
1,City,Ahmedabad,25,41,343,9,36,62,302,194,108,22,86,39,47,12.91,45.35,21.07
2,City,Bangalore,172,179,1409,64,189,185,1322,751,571,NA,571,417,154,31.54,73.03,77.89
3,City,Bombay,346,208,1903,53,390,212,1802,1222,580,27,554,428,126,23.75,77.26,33.39
4,City,Calcutta,107,54,819,NA,109,47,824,746,78,NA,78,66,12,8.01,84.62,25.93
5,City,Delhi,286,274,3074,66,531,477,2560,2244,316,17,299,244,55,9.53,81.61,78.78
6,City,Hyderabad,222,74,662,NA,231,59,668,266,402,NA,402,381,21,57.04,94.78,48.08
7,City,Kanpur,67,248,1370,153,96,286,1150,1028,122,NA,122,87,35,7.57,71.31,104.42
8,City,Madras,13,15,162,2,15,34,139,7,132,NA,132,131,1,94.24,99.24,7.77
Total (Cities),City,Total (Cities),1238,1093,9742,347,1597,1362,8767,6458,2309,66,2244,1793,451,20.45,79.9,46.45
