SL. No.,Category,States/U.Ts/Cities,Cases Pending Investigation from the Previous Year,Cases Pending Disposal in Courts,Cases Reported during the Year,Cases not Investigated Declared False and Mistake of Fact or Law and Non-Cognizable,Cases Pending Investigation at the End of the Year,Cases Pending Trial at the End of the Year,Total True Cases,Cases not Detected,Cases in which Chargesheets were laid,Cases Compounded or Withdrawn,Cases in which Trails were Completed,Cases Convicted,Cases Acquitted or Discharged,Percentage of Cases Convicted to True Cases Investigated,Percentage of Cases Convicted to Cases in which Trials were Completed,"Volume of Crime Per 100,000 of Population"
1,State,Andhra Pradesh,1228,1281,10714,1396,1502,1485,8840,1765,7075,71,7004,6355,649,71.89,90.73,24.73
2,State,Assam,2033,3458,6670,736,2378,3480,5567,3452,2115,399,1716,756,960,13.58,44.06,42.55
3,State,Bihar,4963,12329,25597,4258,6131,14353,18147,14774,3373,650,2723,1328,1395,7.32,48.77,44.27
4,State,Gujarat,1018,2564,9956,447,914,2400,9777,5357,4420,1522,2898,1769,1129,18.09,61.04,37.42
5,State,Haryana,690,1134,2233,118,858,1078,2003,1088,915,58,857,660,197,32.95,77.01,22.11
6,State,Himachal Pradesh,138,153,401,77,125,208,282,119,163,34,129,109,20,38.65,84.49,11.06
7,State,Jammu & Kashmir,368,781,1038,157,383,826,821,300,521,65,456,301,155,36.66,66.01,25.63
8,State,Kerala,837,1261,5259,653,787,1651,4266,1244,3022,1047,1975,1265,710,29.65,64.05,24.64
9,State,Madhya Pradesh,1641,15176,30209,1496,1781,15942,27807,17153,10654,2173,8481,6447,2034,23.18,76.02,74.02
10,State,Maharashtra,5382,13570,41053,1226,6941,15381,36457,24199,12258,1558,10567,8162,2405,22.39,77.24,81.86
11,State,Manipur,626,361,408,24,857,376,138,118,20,4,16,5,11,3.62,31.25,36.43
12,State,Mysore,1692,2883,10089,1011,1705,3261,8687,3982,4705,355,4350,3162,1188,36.4,72.69,34.36
13,State,Nagaland,88,95,300,NA,120,100,263,101,162,13,148,127,21,48.29,85.81,69.28
14,State,Orissa,2175,6368,11768,1596,1837,7346,9532,6234,3298,433,2865,1556,1309,16.32,54.31,54.34
15,State,Punjab,1241,734,2696,NA,135,2020,2516,1638,878,12,866,677,189,26.91,78.18,18.2
16,State,Rajasthan,711,4615,7399,1636,818,5076,5195,3010,2185,723,1462,874,588,16.82,59.78,28.11
17,State,Tamil Nadu,954,1407,17730,1630,946,1526,15989,2858,13131,139,12990,12057,933,75.41,92.82,44.82
18,State,Tripura,205,408,980,842,190,329,232,130,102,NA,79,50,29,21.55,63.29,64.77
19,State,Uttar Pradesh,3810,13619,82394,25062,5549,16461,52751,45027,7724,828,6896,4667,2229,8.84,67.67,90.56
20,State,West Bengal,7046,9916,28497,1545,7849,10462,25603,22328,3275,1065,2210,1410,800,5.51,63.8,63.35
Total (States),State,Total (States),36846,92113,295391,43910,41806,103761,234873,154877,79996,11149,68688,51737,16951,22.03,75.32,54.27
21,UT,A & N Islands,1,25,73,5,2,25,67,41,26,NA,11,9,2,13.43,81.82,78.49
22,UT,Chandigarh,349,41,871,37,277,127,820,745,75,4,71,67,4,8.17,94.37,547.8
23,UT,D & N Haveli,1,10,29,NA,1,10,29,13,16,5,11,9,2,31.03,81.82,39.73
24,UT,Delhi,1870,1044,17804,445,2760,1519,15994,14914,1080,116,964,783,181,4.9,81.22,419.81
25,UT,"Goa, Daman & Diu",13,99,367,7,44,113,315,156,159,3,156,137,19,43.4,87.83,53.34
26,UT,Lakshadweep,2,16,10,3,2,19,4,1,3,2,2,NA,2,NA,NA,35.71
27,UT,Pondicherry,7,10,618,91,11,70,463,92,371,5,375,364,11,78.62,97.07,137.64
Total (UTs),UT,Total (UTs),2243,1245,19772,588,3097,1883,17692,15962,1730,135,1590,1369,221,7.74,86.1,345
Total (All-India),Total (All-India),Total (All-India),39089,93358,315163,44498,44903,105644,252565,170839,81726,11284,70278,53106,17172,21.03,75.57,57.3
1,City,Ahmedabad,103,130,1243,19,100,199,1158,725,433,41,392,250,142,21.59,63.77,76.35
2,City,Bangalore,510,520,3591,189,426,625,3381,1931,1450,29,1421,1176,245,34.78,82.76,198.51
3,City,Bombay,1877,1035,13573,306,1806,1086,13287,9784,3503,129,3374,2700,674,20.32,80.02,238.12
4,City,Calcutta,105,173,5147,42,590,298,4495,3980,515,NA,515,377,138,8.39,73.2,162.93
5,City,Delhi,1700,985,17026,412,2569,1422,15308,14284,1024,111,913,745,168,4.87,81.6,436.34
6,City,Hyderabad,407,155,1900,16,719,166,1561,495,1066,8,1058,1021,37,65.41,96.5,137.98
7,City,Kanpur,215,801,3656,1102,185,887,2498,2107,391,20,371,303,68,12.13,81.67,278.66
8,City,Madras,324,240,4550,280,383,457,3994,736,3258,9,3258,3217,41,80.55,98.74,218.12
Total (Cities),City,Total (Cities),5241,4039,50686,2366,6778,5140,45682,34042,11640,347,11302,9789,1513,21.43,86.61,241.67
