SL. No.,Heads of Crime,Percentage of Cases Disposed of,Percentage of Conviction to Trials Completed
1,Total Cognizable Crime,32.9,63.1
2,Murder,42.9,48
3,Kidnapping & Abduction,27.8,37.6
4,Dacoity,24.8,38.7
5,Robbery,26.4,45.1
6,House-breaking,36.3,69.1
7,Cattle Thefts,NA,NA
8,Ordinary Thefts,37,74.8
9,Riots,20.3,31.8
10,Criminal Breach of Trust,27.5,61.6
11,Cheating,26.5,60.3
12,Counterfeiting,31.2,43.6
