SL. No.,Category,States/U.Ts/Cities,Number of Cases in which Property was Stolen,Value of Property Stolen in Lakhs,Value of Property Recovered in Lakhs,Percentage of Value of Property Recovered to Value of Property Stolen
1,State,Andhra Pradesh,617,1.96,1.63,83.16
2,State,Assam,540,1.81,0.62,34.25
3,State,Bihar,639,1.85,0.8,43.24
4,State,Gujarat,737,2.24,1.26,56.25
5,State,Haryana,344,3.43,1.73,50.44
6,State,Himachal Pradesh,20,0.05,0.03,60
7,State,Jammu & Kashmir,199,1.05,0.51,48.57
8,State,Kerala,136,0.31,0.24,77.42
9,State,Madhya Pradesh,4481,18.59,7.76,41.74
10,State,Maharashtra,1602,7.19,3.84,53.41
11,State,Manipur,59,0.36,0.17,47.22
12,State,Mysore,557,2.22,1.58,71.17
13,State,Nagaland,1,NA,NA,NA
14,State,Orissa,740,1.34,0.76,56.72
15,State,Punjab,118,1.09,0.45,37.82
16,State,Rajasthan,1606,13.03,10.23,78.51
17,State,Tamil Nadu,1348,2.63,2.39,90.87
18,State,Tripura,249,0.56,0.07,12.5
19,State,Uttar Pradesh,10198,73.8,16.58,22.47
20,State,West Bengal,761,2.07,0.76,36.71
Total (States),State,Total (States),24952,135.58,51.41,37.92
21,UT,A & N Islands,1,NA,NA,NA
22,UT,Chandigarh,9,0.04,0.02,50
23,UT,D & N Haveli,2,0.01,0.01,100
24,UT,Delhi,193,2.58,1,38.76
25,UT,"Goa, Daman & Diu",4,0.02,0.02,100
26,UT,Lakshadweep,NA,NA,NA,NA
27,UT,Pondicherry,22,0.06,0.06,100
Total (UTs),UT,Total (UTs),231,2.71,1.11,40.98
Total (All-India),Total (All-India),Total (All-India),25183,138.29,52.52,37.98
1,City,Ahmedabad,26,0.07,0.05,71.43
2,City,Bangalore,28,0.21,0.12,57.14
3,City,Bombay,69,0.56,0.41,73.21
4,City,Calcutta,22,0.25,0.15,60
5,City,Delhi,135,1.63,0.82,50.31
6,City,Hyderabad,8,0.01,0.01,100
7,City,Kanpur,49,0.26,0.1,38.46
8,City,Madras,45,0.1,0.1,100
Total (Cities),City,Total (Cities),382,3.09,1.76,56.96
