SL. No.,Category,States/U.Ts/Cities,Persons in Custody Pending Investigation or on Bail during the Stage of Investigation,Persons in Custody Pending Trial or on Bail during the Stage of Trial,Persons Arrested during the Year,Persons Released by the Police or Magistrate before Trial,Persons in whose Case Chargesheets were Laid,Number of Persons in whose Cases Trials were Completed,Persons Convicted,Persons Acquitted or Discharged,Persons against whom Cases were Compounded,Number of Persons in Custody Pending Investigationor on Bail during the Stage of Investigation at the End of the Year,Number of Persons in Custody Pending Trial or on Bail during the Stage of Trial at the End of the Year,Percentage of Conviction to Total Persons in whose Cases Chargesheets were Laid,Percentage of Conviction to Total Persons in whose Cases Trials were Completed
1,State,Andhra Pradesh,256,508,474,98,410,408,261,147,2,234,496,63.66,63.97
2,State,Assam,75,729,357,112,285,273,73,200,12,85,679,25.61,26.74
3,State,Bihar,291,2460,1001,183,503,421,151,270,82,287,2779,30.02,35.87
4,State,Gujarat,434,865,1007,13,972,823,472,351,149,244,1077,48.56,57.35
5,State,Haryana,120,426,280,20,194,181,92,89,13,161,451,47.42,50.83
6,State,Himachal Pradesh,55,176,106,12,69,66,38,28,3,59,197,55.07,57.57
7,State,Jammu & Kashmir,6,176,106,NA,84,74,30,44,10,1,203,35.71,40.54
8,State,Kerala,190,434,418,44,382,339,144,195,43,200,416,37.7,42.48
9,State,Madhya Pradesh,189,1712,950,22,835,617,371,246,218,231,1763,44.43,60.13
10,State,Maharashtra,560,2438,2222,109,1995,1747,1209,538,248,506,2610,60.6,69.2
11,State,Manipur,12,111,54,47,3,3,1,2,NA,12,115,33.33,33.33
12,State,Mysore,77,775,611,66,521,479,253,226,42,127,749,48.56,52.82
13,State,Nagaland,13,32,7,18,7,7,5,2,NA,15,12,71.43,71.43
14,State,Orissa,18,1023,436,3,333,313,143,170,20,11,1130,42.94,45.69
15,State,Punjab,477,504,310,99,257,254,126,128,3,429,506,49.03,49.61
16,State,Rajasthan,103,1219,432,13,459,363,158,205,96,78,1204,34.42,43.53
17,State,Tamil Nadu,123,296,938,72,801,785,597,188,16,223,261,74.53,76.05
18,State,Tripura,NA,27,52,7,33,33,3,30,NA,8,31,9.09,9.09
19,State,Uttar Pradesh,642,2362,1169,229,801,725,385,340,76,590,2553,48.06,53.1
20,State,West Bengal,791,2108,1082,564,346,246,122,124,100,760,2311,35.26,49.59
Total (States),State,Total (States),4432,18381,12012,1731,9290,8157,4634,3523,1133,4261,19543,49.88,56.81
21,UT,A & N Islands,1,1,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA
22,UT,Chandigarh,79,48,31,11,23,23,8,15,NA,26,98,34.78,34.78
23,UT,D & N Haveli,NA,15,7,NA,4,4,NA,4,NA,NA,18,NA,NA
24,UT,Delhi,NA,376,234,NA,115,100,54,46,15,NA,495,46.96,54
25,UT,"Goa, Daman & Diu",2,70,49,4,21,20,17,3,1,4,92,80.95,85
26,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,UT,Pondicherry,10,16,13,1,34,34,29,5,NA,NA,4,85.29,85.29
Total (UTs),UT,Total (UTs),92,526,338,16,197,181,108,73,16,33,710,54.82,59.67
Total (All-India),Total (All-India),Total (All-India),4524,18907,12350,1747,9487,8338,4742,3596,1149,4294,20253,49.98,56.87
1,City,Ahmedabad,19,46,79,2,77,63,26,37,14,5,60,33.77,41.27
2,City,Bangalore,NA,78,152,16,96,92,53,39,4,3,115,55.21,57.61
3,City,Bombay,139,208,576,65,532,470,300,170,62,152,174,56.39,63.83
4,City,Calcutta,175,83,143,236,20,20,12,8,NA,81,64,60,60
5,City,Delhi,NA,358,211,NA,112,99,54,45,13,NA,457,48.21,54.55
6,City,Hyderabad,NA,9,25,NA,23,23,23,NA,NA,NA,11,100,100
7,City,Kanpur,7,112,44,2,43,43,31,12,NA,8,110,72.09,72.09
8,City,Madras,1,106,293,9,170,165,147,18,5,111,110,86.47,89.09
Total (Cities),City,Total (Cities),341,1000,1523,330,1073,975,646,329,98,360,1101,60.21,66.26
