SL. No.,Category,States/U.Ts/Cities,Cases Pending Investigation from the Previous Year,Cases Pending Disposal in Courts,Cases Reported during the Year,Cases not Investigated Declared False and Mistake of Fact or Law and Non-Cognizable,Cases Pending Investigation at the End of the Year,Cases Pending Trial at the End of the Year,Total True Cases,Cases not Detected,Cases in which Chargesheets were laid,Cases Compounded or Withdrawn,Cases in which Trails were Completed,Cases Convicted,Cases Acquitted or Discharged,Percentage of Cases Convicted to True Cases Investigated,Percentage of Cases Convicted to Cases in which Trials were Completed,"Volume of Crime Per 100,000 of Population"
1,State,Andhra Pradesh,36,71,190,32,60,78,127,35,92,NA,92,55,37,43.33,59.78,0.44
2,State,Assam,106,196,240,60,124,201,157,83,74,NA,74,21,53,13.38,28.38,1.53
3,State,Bihar,393,920,1045,130,478,1003,747,501,246,35,211,104,107,13.92,49.29,1.81
4,State,Gujarat,60,196,354,56,39,157,358,104,254,34,220,41,179,11.45,18.64,1.33
5,State,Haryana,8,16,23,2,14,23,8,2,6,NA,6,2,4,25,33.33,0.23
6,State,Himachal Pradesh,9,10,28,13,6,19,9,1,8,NA,8,5,3,55.55,62.5,0.77
7,State,Jammu & Kashmir,20,23,12,11,4,25,15,8,7,2,5,4,1,26.67,80,0.3
8,State,Kerala,23,58,154,56,35,66,78,17,61,2,59,19,40,24.36,32.2,0.72
9,State,Madhya Pradesh,141,746,881,43,133,797,795,375,420,6,414,212,202,26.67,51.21,2.16
10,State,Maharashtra,344,899,1532,255,412,1016,1092,460,632,39,583,277,306,25.37,47.51,3.05
11,State,Manipur,53,36,33,2,73,34,13,9,4,NA,4,1,3,7.69,25,2.95
12,State,Mysore,32,109,136,39,29,128,81,36,45,NA,45,17,28,20.99,37.78,0.46
13,State,Nagaland,25,18,23,NA,21,20,25,3,22,NA,14,11,3,44,78.57,5.31
14,State,Orissa,84,232,227,57,64,259,163,74,89,NA,89,33,56,20.25,37.08,1.05
15,State,Punjab,6,19,28,NA,4,35,14,3,11,NA,11,6,5,42.86,54.55,0.19
16,State,Rajasthan,148,808,863,416,95,921,387,116,271,38,233,101,132,26.09,43.34,3.27
17,State,Tamil Nadu,18,33,107,21,22,22,93,13,80,NA,80,58,22,62.37,72.5,0.27
18,State,Tripura,7,32,38,13,12,27,25,11,14,NA,8,NA,8,NA,NA,2.51
19,State,Uttar Pradesh,451,2188,9710,3980,1296,3351,3722,2736,986,18,968,425,543,11.41,43.9,10.67
20,State,West Bengal,266,582,947,43,418,670,664,504,160,21,139,73,66,10.99,52.52,2.11
Total (States),State,Total (States),2230,7192,16571,5229,3339,8852,8573,5091,3482,195,3263,1465,1798,17.09,44.9,3.04
21,UT,A & N Islands,NA,1,2,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,2.15
22,UT,Chandigarh,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26
23,UT,D & N Haveli,NA,2,5,NA,1,3,3,2,1,1,NA,NA,NA,NA,NA,6.85
24,UT,Delhi,16,25,363,61,116,69,158,132,26,NA,26,18,8,11.39,69.23,8.56
25,UT,"Goa, Daman & Diu",NA,16,13,2,4,14,9,4,5,NA,5,3,2,33.33,60,1.89
26,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,UT,Pondicherry,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45
Total (UTs),UT,Total (UTs),17,45,387,67,122,89,171,138,33,1,31,21,10,12.28,67.74,6.75
Total (All-India),Total (All-India),Total (All-India),2247,7237,16958,5296,3461,8941,8744,5229,3515,196,3294,1486,1808,16.99,45.11,3.08
1,City,Ahmedabad,7,2,14,3,1,7,12,8,4,NA,4,1,3,8.33,25,0.86
2,City,Bangalore,10,13,26,9,5,24,11,8,3,NA,3,2,1,18.18,66.66,1.44
3,City,Bombay,67,73,225,33,67,85,180,65,115,6,109,48,61,26.67,44.04,3.95
4,City,Calcutta,12,15,72,1,27,7,64,45,19,NA,19,14,5,21.88,73.68,2.28
5,City,Delhi,13,20,298,55,97,52,127,109,18,NA,18,11,7,8.66,61.11,7.64
6,City,Hyderabad,14,7,36,4,23,5,25,7,18,NA,18,8,10,32,44.44,2.61
7,City,Kanpur,14,72,262,114,36,106,92,62,30,NA,30,14,16,15.22,46.67,19.97
8,City,Madras,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,1,NA,100,100,0.05
Total (Cities),City,Total (Cities),137,202,934,219,256,286,512,304,208,6,202,99,103,19.34,49.01,4.45
