SL. No.,Category,States/U.Ts,"Number of I.G., D.I.G.& S.P.",Number of ASP/ Dy.S.P.,Number of Inspector & Sub-Inspectors,Number of Policemen Below Rank of Sub-Inspectors,Total
1,State,Andhra Pradesh,6,23,153,5972,6154
2,State,Assam,18,61,367,16138,16584
3,State,Bihar,11,48,269,8782,9110
4,State,Gujarat,12,36,150,7546,7744
5,State,Haryana,4,10,228,2872,3114
6,State,Himachal Pradesh,2,3,39,1550,1594
7,State,Jammu and Kashmir,7,15,94,2574,2690
8,State,Kerala,2,10,87,1919,2018
9,State,Madhya Pradesh,24,62,671,17669,18426
10,State,Maharashtra,9,17,216,7424,7666
11,State,Manipur,2,14,71,2046,2133
12,State,Mysore,4,7,96,3399,3506
13,State,Nagaland,7,30,137,5290,5464
14,State,Orissa,NA,NA,116,5820,5936
15,State,Punjab,6,15,147,3924,4092
16,State,Rajasthan,3,29,208,5490,5730
17,State,Tamil Nadu,5,25,144,4249,4423
18,State,Tripura,1,9,27,780,817
19,State,Uttar Pradesh,Combined with Civil Police,Combined with Civil Police,Combined with Civil Police,Combined with Civil Police,Combined with Civil Police
20,State,West Bengal,13,26,419,15029,15487
21,UT,A & N Islands,NA,2,8,236,246
22,UT,Chandigarh,NA,NA,NA,NA,NA
23,UT,D & N Haveli,NA,NA,NA,35,35
24,UT,Delhi,Combined with Civil Police,Combined with Civil Police,Combined with Civil Police,Combined with Civil Police,Combined with Civil Police
25,UT,"Goa, Daman & Diu",NA,NA,9,547,556
26,UT,Lakshadweep,NA,NA,NA,NA,NA
27,UT,Pondicherry,1,NA,20,344,365
Total (All-India),Total (All-India),Total (All-India),137,442,3676,119635,123890
