SL. No.,Category,States/U.Ts/Cities,Number of Cases in which Property was Stolen,Value of Property Stolen in Lakhs,Value of Property Recovered in Lakhs,Percentage of Value of Property Recovered to Value of Property Stolen
1,State,Andhra Pradesh,111,1.46,1.15,78.77
2,State,Assam,136,2.84,1.48,52.11
3,State,Bihar,118,7.7,0.42,5.45
4,State,Gujarat,157,7.48,6.12,81.82
5,State,Haryana,40,18.3,4.81,26.28
6,State,Himachal Pradesh,4,NA,NA,NA
7,State,Jammu & Kashmir,61,4.2,3.46,82.38
8,State,Kerala,18,1.63,1.34,82.21
9,State,Madhya Pradesh,251,10.44,9.2,88.32
10,State,Maharashtra,2642,122.53,91.21,74.44
11,State,Manipur,2,NA,NA,NA
12,State,Mysore,414,8.41,5.85,69.56
13,State,Nagaland,9,0.05,0.04,80
14,State,Orissa,103,1.05,0.17,16.19
15,State,Punjab,87,11.14,7.55,67.77
16,State,Rajasthan,259,19.24,18.18,94.49
17,State,Tamil Nadu,139,2.97,2.87,96.63
18,State,Tripura,10,0.19,0.16,84.21
19,State,Uttar Pradesh,440,42.4,36.14,85.24
20,State,West Bengal,684,85.1,12.73,14.96
Total (States),State,Total (States),5685,347.13,202.88,58.44
21,UT,A & N Islands,2,NA,NA,NA
22,UT,Chandigarh,76,6.71,5.76,85.84
23,UT,D & N Haveli,1,NA,NA,NA
24,UT,Delhi,2696,82.48,55.42,67.19
25,UT,"Goa, Daman & Diu",31,0.75,0.56,74.67
26,UT,Lakshadweep,NA,NA,NA,NA
27,UT,Pondicherry,4,0.11,0.1,90.9
Total (UTs),UT,Total (UTs),2810,90.05,61.84,68.67
Total (All-India),Total (All-India),Total (All-India),8495,437.18,264.72,60.55
1,City,Ahmedabad,97,4.33,3.54,81.76
2,City,Bangalore,310,6.28,4.45,70.86
3,City,Bombay,2307,110.37,81.68,74.01
4,City,Calcutta,638,33.95,11.94,35.17
5,City,Delhi,2680,81.51,54.57,66.94
6,City,Hyderabad,81,0.25,0.15,60
7,City,Kanpur,57,14.83,13.24,89.28
8,City,Madras,96,1.32,1.29,97.73
Total (Cities),City,Total (Cities),6266,252.84,170.86,67.58
