SL. No.,Category,States/U.Ts/Cities,Cases Pending Investigation from the Previous Year,Cases Pending Disposal in Courts,Cases Reported during the Year,Cases not Investigated Declared False and Mistake of Fact or Law and Non-Cognizable,Cases Pending Investigation at the End of the Year,Cases Pending Trial at the End of the Year,Total True Cases,Cases not Detected,Cases in which Chargesheets were laid,Cases Compounded or Withdrawn,Cases in which Trails were Completed,Cases Convicted,Cases Acquitted or Discharged,Percentage of Cases Convicted to True Cases Investigated,Percentage of Cases Convicted to Cases in which Trials were Completed,"Volume of Crime Per 100,000 of Population"
1,State,Andhra Pradesh,32,192,680,81,49,170,604,56,548,19,529,432,97,71.52,81.66,1.57
2,State,Assam,90,595,540,66,124,536,499,165,334,32,302,132,170,26.45,43.71,3.44
3,State,Bihar,98,982,657,72,163,1082,420,137,283,20,263,170,93,40.48,64.64,1.14
4,State,Gujarat,64,277,762,30,67,271,735,215,520,259,261,122,139,16.6,46.74,2.86
5,State,Haryana,133,241,346,14,134,233,339,186,153,4,149,93,56,27.43,62.42,3.43
6,State,Himachal Pradesh,8,17,35,NA,7,11,42,5,37,2,35,18,17,42.85,51.42,0.96
7,State,Jammu & Kashmir,63,182,199,136,43,161,104,29,75,9,66,37,29,35.58,56.06,4.91
8,State,Kerala,11,47,136,NA,72,113,9,6,3,2,1,1,NA,11.11,100,0.64
9,State,Madhya Pradesh,Combined with Ordinary Thefts,Combined with Ordinary Thefts,Combined with Ordinary Thefts,Combined with Ordinary Thefts,Combined with Ordinary Thefts,Combined with Ordinary Thefts,Combined with Ordinary Thefts,Combined with Ordinary Thefts,Combined with Ordinary Thefts,Combined with Ordinary Thefts,Combined with Ordinary Thefts,Combined with Ordinary Thefts,Combined with Ordinary Thefts,Combined with Ordinary Thefts,Combined with Ordinary Thefts,Combined with Ordinary Thefts
10,State,Maharashtra,250,790,1625,93,315,880,1377,593,784,140,640,468,172,33.99,73.12,3.24
11,State,Manipur,45,122,58,4,84,122,15,10,5,1,4,2,2,13.33,50,5.18
12,State,Mysore,75,314,599,103,71,309,505,78,427,72,355,203,152,40.2,57.18,2.04
13,State,Nagaland,1,1,1,NA,1,1,1,NA,1,NA,1,1,NA,100,100,0.23
14,State,Orissa,77,899,717,65,65,930,633,110,523,80,443,278,165,43.92,62.75,3.31
15,State,Punjab,90,86,188,NA,10,170,184,123,61,1,60,44,16,23.91,73.33,1.27
16,State,Rajasthan,282,1878,1830,260,223,2176,1331,449,882,288,594,330,264,24.79,55.55,6.95
17,State,Tamil Nadu,34,113,1627,93,143,126,1412,89,1323,115,1208,1090,118,77.2,90.23,4.11
18,State,Tripura,32,50,261,171,58,52,62,44,18,NA,16,6,10,9.68,37.5,17.25
19,State,Uttar Pradesh,448,2855,10280,954,1040,3312,8277,6987,1290,83,1207,687,520,8.3,56.91,11.29
20,State,West Bengal,294,1138,1268,43,354,1305,998,534,464,179,285,172,113,17.23,60.35,2.82
Total (States),State,Total (States),2127,10779,21809,2185,3023,11960,17547,9816,7731,1306,6419,4286,2133,24.43,66.77,4.01
21,UT,A & N Islands,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08
22,UT,Chandigarh,4,2,9,NA,3,2,10,6,4,1,3,3,NA,30,100,5.66
23,UT,D & N Haveli,NA,1,2,NA,NA,1,2,NA,2,NA,2,2,NA,100,100,2.74
24,UT,Delhi,34,23,203,22,37,33,168,140,28,4,24,18,6,10.71,75,4.79
25,UT,"Goa, Daman & Diu",NA,NA,4,NA,NA,NA,4,NA,4,NA,4,4,NA,100,100,0.58
26,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,UT,Pondicherry,NA,NA,20,NA,NA,NA,20,NA,20,NA,20,20,NA,100,100,4.45
Total (UTs),UT,Total (UTs),38,26,239,23,40,36,204,146,58,5,53,47,6,23.04,88.68,4.17
Total (All-India),Total (All-India),Total (All-India),2165,10805,22048,2208,3063,11996,17751,9962,7789,1311,6472,4333,2139,24.41,66.95,4.01
1,City,Ahmedabad,2,5,26,NA,2,5,26,3,23,8,15,9,6,34.62,60,1.6
2,City,Bangalore,7,10,28,3,8,7,27,5,22,NA,22,13,9,48.15,59.09,1.55
3,City,Bombay,14,14,67,3,10,20,62,33,29,2,27,13,14,20.97,48.15,1.18
4,City,Calcutta,2,2,22,1,3,6,16,7,9,NA,9,7,2,43.75,77.78,0.7
5,City,Delhi,26,20,142,16,24,30,118,93,25,3,22,17,5,14.41,77.27,3.64
6,City,Hyderabad,NA,NA,8,NA,NA,NA,8,NA,8,NA,8,8,NA,100,100,0.58
7,City,Kanpur,1,30,49,7,3,26,44,30,14,NA,14,9,5,20.45,64.29,3.73
8,City,Madras,NA,2,48,1,6,4,39,1,38,NA,38,38,NA,97.44,100,2.3
Total (Cities),City,Total (Cities),52,83,390,31,56,98,340,172,168,13,155,114,41,33.53,73.55,1.86
