SL. No.,Category,States/U.Ts./Cities,Boys - 7 to 12,Boys - Over 12 to 16,Boys - Over 16 to 21,Boys - Total,Girls - 7 to 12,Girls - Over 12 to 16,Girls - Over 16 to 21,Girls - Total,Grand Total
1,State,Andhra Pradesh,72,281,1801,2154,9,31,48,88,2242
2,State,Assam,32,229,1015,1276,NA,2,NA,2,1278
3,State,Bihar,38,327,2049,2414,NA,1,35,36,2450
4,State,Gujarat,568,1433,20515,22516,31,99,388,518,23034
5,State,Haryana,5,138,1135,1278,NA,1,7,8,1286
6,State,Himachal Pradesh,12,62,346,420,2,9,26,37,457
7,State,Jammu and Kashmir,NA,12,88,100,NA,NA,NA,NA,100
8,State,Kerala,5,77,123,205,NA,3,NA,3,208
9,State,Madhya Pradesh,497,1851,10035,12383,19,43,106,168,12551
10,State,Maharashtra,1220,4264,17620,23104,258,368,525,1151,24255
11,State,Manipur,7,89,177,273,NA,NA,NA,NA,273
12,State,Mysore,111,331,2025,2467,3,33,692,728,3195
13,State,Nagaland,5,205,73,283,NA,9,NA,9,292
14,State,Orissa,32,150,404,586,1,3,5,9,595
15,State,Punjab,5,157,711,873,NA,NA,3,3,876
16,State,Rajasthan,57,333,1161,1551,2,14,32,48,1599
17,State,Tamil Nadu,6751,3918,3445,14114,280,191,248,719,14833
18,State,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,State,Uttar Pradesh,130,464,981,1575,8,10,2,20,1595
20,State,West Bengal,281,2421,768,3470,256,175,23,454,3924
Total (States),State,Total (States),9828,16742,64472,91042,869,992,2140,4001,95043
21,UT,A & N Islands,3,3,52,58,2,NA,NA,2,60
22,UT,Chandigarh,1,27,129,157,3,NA,2,5,162
23,UT,D & N Haveli,NA,1,15,16,NA,NA,1,1,17
24,UT,Delhi,569,848,1765,3182,118,42,30,190,3372
25,UT,"Goa, Daman & Diu",1,9,69,79,NA,2,5,7,86
26,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,UT,Pondicherry,6,23,54,83,5,1,16,22,105
Total (UTs),UT,Total (UTs),580,911,2084,3575,128,45,54,227,3802
Total (All-India),Total (All-India),Total (All-India),10408,17653,66556,94617,997,1037,2194,4228,98845
1,City,Ahmedabad,94,63,2430,2587,NA,9,82,91,2678
2,City,Bangalore,26,161,2078,2265,NA,13,540,553,2818
3,City,Bombay,542,521,502,1565,174,206,18,398,1963
4,City,Calcutta,68,81,26,175,39,61,2,102,277
5,City,Delhi,569,848,1765,3182,118,42,30,190,3372
6,City,Hyderabad,7,126,1728,1861,1,13,18,32,1893
7,City,Kanpur,5,42,164,211,NA,2,NA,2,213
8,City,Madras,156,245,897,1298,6,11,8,25,1323
Total (Cities),City,Total (Cities),1467,2087,9590,13144,338,357,698,1393,14537
