SL. No.,Year,Estimated Mid-Year Population in Millions,Total Cognizable Crime Under the Indian Penal Code,Rate of Crime Per One Lakh of Population
1,1960,431.7,606367,140.5
2,1965,486.9,751615,154.4
3,1966,498.7,794733,159.4
4,1967,511.3,881981,172.5
5,1968,523.5,862016,164.7
6,1969,536.6,845167,157.5
7,1970,550,955422,173.7
Percentage Growth from 1960-1970,Percentage Growth from 1960-1970,27.4,57.6,23.6
