SL. No.,Category,States/U.Ts/Cities,Persons in Custody Pending Investigation or on Bail during the Stage of Investigation,Persons in Custody Pending Trial or on Bail during the Stage of Trial,Persons Arrested during the Year,Persons Released by the Police or Magistrate before Trial,Persons in whose Case Chargesheets were Laid,Number of Persons in whose Cases Trials were Completed,Persons Convicted,Persons Acquitted or Discharged,Persons against whom Cases were Compounded,Number of Persons in Custody Pending Investigationor on Bail during the Stage of Investigation at the End of the Year,Number of Persons in Custody Pending Trial or on Bail during the Stage of Trial at the End of the Year,Percentage of Conviction to Total Persons in whose Cases Chargesheets were Laid,Percentage of Conviction to Total Persons in whose Cases Trials were Completed
1,State,Andhra Pradesh,85,129,228,30,179,174,112,62,5,107,126,62.57,64.37
2,State,Assam,32,372,299,95,158,150,45,105,8,57,393,28.48,30
3,State,Bihar,220,1706,663,85,340,272,123,149,68,324,1840,36.18,45.22
4,State,Gujarat,166,530,704,18,630,407,183,224,223,140,612,29.05,44.96
5,State,Haryana,84,282,325,26,131,107,51,56,24,205,329,38.93,47.66
6,State,Himachal Pradesh,15,85,49,2,52,39,15,24,13,17,78,28.84,38.46
7,State,Jammu & Kashmir,4,92,50,NA,32,29,18,11,3,NA,114,56.25,62.07
8,State,Kerala,83,152,218,11,181,141,66,75,40,98,163,36.46,46.81
9,State,Madhya Pradesh,184,1604,1080,33,832,662,388,274,170,212,1791,46.63,58.61
10,State,Maharashtra,340,1173,1285,94,1094,855,554,301,239,347,1263,50.64,64.8
11,State,Manipur,15,132,75,69,14,10,1,9,4,15,124,7.14,10
12,State,Mysore,56,451,424,37,372,308,117,191,64,124,398,31.45,37.99
13,State,Nagaland,6,3,6,3,7,6,6,NA,1,3,2,85.71,100
14,State,Orissa,9,865,400,13,286,269,94,175,17,10,965,32.87,34.94
15,State,Punjab,255,439,215,126,195,176,89,87,19,230,358,45.64,50.57
16,State,Rajasthan,87,1051,640,13,422,292,141,151,130,114,1229,33.41,48.28
17,State,Tamil Nadu,73,213,614,44,530,508,394,114,22,183,143,74.34,77.56
18,State,Tripura,2,33,53,11,41,39,4,35,2,2,34,9.76,10.26
19,State,Uttar Pradesh,385,1972,1264,174,761,693,450,243,68,485,2201,59.13,64.93
20,State,West Bengal,517,1639,1147,577,531,392,150,242,139,515,1680,28.25,38.27
Total (States),State,Total (States),2618,12923,9739,1461,6788,5529,3001,2528,1259,3188,13843,44.21,54.28
21,UT,A & N Islands,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
22,UT,Chandigarh,21,15,37,2,6,6,5,1,NA,43,22,83.33,83.33
23,UT,D & N Haveli,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
24,UT,Delhi,NA,528,363,NA,207,156,77,79,51,NA,684,37.2,49.36
25,UT,"Goa, Daman & Diu",1,33,21,6,11,10,6,4,1,2,36,54.55,60
26,UT,Lakshadweep,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
27,UT,Pondicherry,1,7,9,NA,11,11,11,NA,NA,2,4,100,100
Total (UTs),UT,Total (UTs),23,584,432,8,236,184,99,85,52,47,748,41.95,53.8
Total (All-India),Total (All-India),Total (All-India),2641,13507,10171,1469,7024,5713,3100,2613,1311,3235,14591,44.13,54.26
1,City,Ahmedabad,51,63,92,4,94,69,32,37,25,29,79,34.04,46.38
2,City,Bangalore,1,116,146,20,82,73,31,42,9,31,130,37.8,42.47
3,City,Bombay,158,215,529,63,476,357,181,176,119,149,214,38.03,50.7
4,City,Calcutta,152,61,164,179,77,71,52,19,6,84,37,67.53,73.24
5,City,Delhi,NA,509,329,NA,191,148,75,73,43,NA,647,39.27,50.68
6,City,Hyderabad,NA,10,21,NA,20,20,18,2,NA,NA,11,90,90
7,City,Kanpur,21,134,95,9,43,39,21,18,4,19,179,48.84,53.85
8,City,Madras,12,95,395,6,283,276,273,3,7,107,106,96.47,98.91
Total (Cities),City,Total (Cities),395,1203,1771,281,1266,1053,683,370,213,419,1403,53.95,64.86
