SL. No.,Year,Total Cognizable Crimes,Murder,Kidnapping & Abduction,Dacoity,Robbery,House-breaking,Cattle Thefts,Ordinary Thefts,Riots,Criminal Breach of Trust,Cheating,Counterfeiting
1,1966,1.11,2.32,1.46,4.94,1.1,0.57,0.93,0.6,5.48,0.64,0.92,0.53
2,1967,1.09,2.15,1.48,4.3,1.11,0.56,0.9,0.57,5.15,0.59,0.82,0.3
3,1968,1.21,2.4,1.43,4.73,1.19,0.58,0.85,0.62,5.84,0.66,0.87,0.42
4,1969,1.22,2.32,1.39,4.6,1.1,0.58,0.87,0.59,6.92,0.66,0.84,0.59
5,1970,1.17,2.38,1.25,3.51,0.83,0.49,0.69,0.53,5.14,0.54,0.82,0.47
