SL. No.,Years,Boys,Girls,Total,Percentage of Girls
1,1960,46893,2383,49276,4.8
2,1965,63111,5163,68274,7.6
3,1966,62823,4434,67257,6.6
4,1967,66719,5390,72109,7.5
5,1968,68657,4801,73458,6.5
6,1969,74092,4776,78868,6.1
7,1970,94617,4228,98845,4.3
Percentage Change Over 1960,Percentage Change Over 1960,101.8,77.4,100.6,NA
Percentage Change Over 1969,Percentage Change Over 1969,27.7,-11.5,25.3,NA
