SL. No.,Category,States/U.Ts/Cities,Cases Pending Investigation from the Previous Year,Cases Pending Disposal in Courts,Cases Reported during the Year,Cases not Investigated Declared False and Mistake of Fact or Law and Non-Cognizable,Cases Pending Investigation at the End of the Year,Cases Pending Trial at the End of the Year,Total True Cases,Cases not Detected,Cases in which Chargesheets were laid,Cases Compounded or Withdrawn,Cases in which Trials were Completed,Cases Convicted,Cases Acquitted or Discharged,Percentage of Cases Convicted to True Cases Investigated,Percentage of Cases Convicted to Cases in which Trials were Completed,"Volume of Crime Per 100,000 of Population"
1,State,Andhra Pradesh,4783,9392,43942,7059,5424,10441,35193,4583,30610,940,29670,23982,5688,68.14,80.83,101.44
2,State,Assam,8782,18655,25908,4542,10960,18960,18883,9535,9348,1398,7950,2777,5173,14.71,34.93,165.28
3,State,Bihar,19995,68660,84091,11486,24754,79604,56902,39080,17822,3672,14150,6191,7959,10.88,43.75,145.42
4,State,Gujarat,4503,12413,32225,1437,3690,12559,31455,10158,21297,7296,14001,7291,6710,23.15,52.07,121.11
5,State,Haryana,2928,6106,8902,715,3521,6301,7399,2616,4783,521,4262,2568,1694,34.71,60.25,88.16
6,State,Himachal Pradesh,727,1426,2381,397,742,1750,1645,398,1247,296,951,573,378,34.83,60.25,65.68
7,State,Jammu & Kashmir,2188,7523,6421,2234,2245,6761,4892,644,4248,788,3460,1819,1641,37.18,52.57,158.54
8,State,Kerala,6341,11189,31617,5663,6713,14204,22567,4565,18002,5907,12095,4858,7237,21.53,40.17,148.14
9,State,Madhya Pradesh,7018,59758,83537,1871,7865,65568,75009,33322,41687,8297,33390,22435,10955,29.91,67.19,204.69
10,State,Maharashtra,17142,44317,96552,4003,21639,50176,82193,39556,42637,8608,33652,22480,11172,27.35,66.8,192.52
11,State,Manipur,2860,1936,2122,255,4035,1981,647,504,143,10,133,58,75,8.96,43.61,189.46
12,State,Mysore,5942,15819,35566,5115,6496,17669,28047,8554,19493,2685,16808,9900,6908,35.3,58.9,121.13
13,State,Nagaland,268,337,744,3,418,466,462,102,360,23,262,251,11,54.33,95.8,171.82
14,State,Orissa,6731,24891,31514,5337,6151,28776,22872,12151,10721,1315,9400,4436,4964,19.39,47.19,145.51
15,State,Punjab,5752,7317,12478,NA,1269,13134,11144,4028,7116,853,6263,3787,2476,33.98,60.47,84.24
16,State,Rajasthan,4726,34483,36230,7706,4779,38314,24640,9115,15525,5095,10430,5481,4949,22.24,52.55,137.63
17,State,Tamil Nadu,5288,7113,63619,11565,5252,8796,49407,6943,42464,2056,40281,33466,6815,67.74,83.08,160.82
18,State,Tripura,8277,1683,2704,2111,763,1610,730,328,402,24,366,180,186,24.66,49.18,178.72
19,State,Uttar Pradesh,14709,67395,233754,67501,25120,82473,140764,106779,33985,3254,30731,17283,13448,12.28,56.24,256.93
20,State,West Bengal,26679,45465,84528,7592,32884,52543,63653,48976,14677,4251,10426,5223,5203,8.21,50.1,187.91
Total (States),State,Total (States),147189,445878,918835,146592,174720,512086,678504,341937,336567,57289,278681,175039,103642,25.8,62.81,168.83
21,UT,A & N Islands,9,248,308,50,27,248,240,70,170,3,34,26,8,10.83,76.47,331.18
22,UT,Chandigarh,638,194,1484,141,549,436,1190,941,249,36,213,181,32,15.21,84.98,933.33
23,UT,D & N Haveli,9,68,106,5,4,57,117,39,78,32,46,29,17,24.78,63.04,145.21
24,UT,Delhi,4677,5506,31241,1554,6710,7986,25174,20113,5061,1392,3669,2505,1164,9.95,68.27,736.64
25,UT,"Goa, Daman & Diu",94,893,1195,43,191,895,1053,438,615,26,589,475,114,45.11,80.65,173.69
26,UT,Lakshadweep,4,34,28,9,4,35,18,4,14,2,14,8,6,44.44,57.14,100
27,UT,Pondicherry,39,235,2225,225,61,265,1948,206,1742,99,1619,1566,53,80.39,96.73,495.54
Total (UTs),UT,Total (UTs),5470,7178,36587,2027,7546,9922,29740,21811,7929,1590,6184,4790,1394,16.11,77.46,638.4
Total (All-India),Total (All-India),Total (All-India),152659,453056,955422,148619,182266,522008,708244,363748,344496,58879,284865,179829,105036,25.39,63.12,173.72
1,City,Ahmedabad,738,824,3269,76,374,875,3506,1379,2127,347,1780,910,870,25.96,51.12,200.8
2,City,Bangalore,1262,1629,7778,755,1264,1763,6887,3067,3820,95,3725,2882,843,41.85,77.37,429.96
3,City,Bombay,4855,4445,25763,1189,5104,4835,23935,13360,10575,2206,8377,5544,2833,23.16,66.18,451.98
4,City,Calcutta,897,737,10588,257,1706,912,9347,7419,1928,6,1922,1543,379,16.51,80.28,335.17
5,City,Delhi,4136,4935,28890,1397,6043,7088,23433,18824,4609,1266,3343,2319,1024,9.9,69.37,740.39
6,City,Hyderabad,912,386,3470,190,1240,326,3012,1115,1897,45,1852,1696,156,56.31,91.58,251.99
7,City,Kanpur,601,2519,8656,2750,742,3012,5272,3998,1274,71,1203,849,354,16.1,70.57,659.76
8,City,Madras,1771,1552,10794,2624,1711,2182,7600,1521,6079,147,5932,5667,265,74.57,95.53,517.45
Total (Cities),City,Total (Cities),15172,17027,99208,9238,18184,20993,82992,50683,32309,4183,28134,21410,6724,25.8,76.1,473.03
