SL. No.,Category,States/U.Ts/Cities,Total Cognizable Crime,Murder,Kidnapping & Abduction,Dacoity,Robbery,House-breaking,Cattle Thefts,Ordinary Thefts,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Miscellaneous
1,State,Andhra Pradesh,326,3,NA,NA,NA,71,NA,222,2,NA,NA,NA,28
2,State,Assam,887,30,18,8,11,156,5,331,81,4,8,NA,235
3,State,Bihar,1620,35,6,24,7,214,5,336,847,25,5,NA,116
4,State,Gujarat,2931,100,31,4,34,302,45,967,68,45,20,NA,1315
5,State,Haryana,557,15,4,NA,3,84,8,169,10,5,2,NA,257
6,State,Himachal Pradesh,267,3,9,NA,10,57,NA,54,18,5,2,NA,109
7,State,Jammu & Kashmir,105,1,4,NA,3,18,12,16,NA,NA,4,NA,47
8,State,Kerala,187,1,NA,NA,1,49,NA,81,NA,1,1,NA,53
9,State,Madhya Pradesh,5836,163,58,28,42,1011,51,1555,338,22,32,NA,2536
10,State,Maharashtra,5398,109,39,43,61,836,8,2371,284,57,33,NA,1557
11,State,Manipur,174,7,7,6,7,22,NA,44,21,NA,1,NA,59
12,State,Mysore,781,13,2,2,NA,142,22,392,32,14,15,NA,147
13,State,Nagaland,342,NA,NA,NA,3,9,NA,5,NA,NA,NA,NA,325
14,State,Orissa,560,1,NA,NA,3,187,40,302,NA,5,1,NA,21
15,State,Punjab,148,11,3,NA,NA,10,1,50,NA,NA,2,NA,71
16,State,Rajasthan,1124,15,12,1,7,263,70,312,66,1,8,NA,369
17,State,Tamil Nadu,2444,16,3,NA,3,466,*,1511,4,10,3,NA,428
18,State,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,State,Uttar Pradesh,1403,13,9,8,21,6,157,287,8,1,9,NA,884
20,State,West Bengal,710,7,12,2,4,26,3,418,86,2,6,NA,144
Total (States),State,Total (States),25800,543,217,126,220,3929,427,9423,1865,197,152,NA,8701
21,UT,A & N Islands,8,NA,NA,NA,2,6,NA,NA,NA,NA,NA,NA,NA
22,UT,Chandigarh,100,2,2,NA,NA,10,3,47,NA,2,4,NA,30
23,UT,D & N Haveli,17,1,NA,3,NA,NA,2,6,NA,NA,NA,NA,5
24,UT,Delhi,1139,11,33,NA,22,113,NA,495,20,19,17,NA,409
25,UT,"Goa, Daman & Diu",70,1,3,NA,NA,26,NA,28,3,2,1,NA,6
26,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,UT,Pondicherry,92,NA,NA,NA,NA,9,21,10,NA,NA,NA,NA,52
Total (UTs),UT,Total (UTs),1426,15,38,3,24,164,26,586,23,23,22,NA,502
Total (All-India),Total (All-India),Total (All-India),27226,558,255,129,244,4093,453,10009,1888,220,174,NA,9203
1,City,Ahmedabad,463,5,8,NA,4,24,9,189,12,8,7,NA,197
2,City,Bangalore,348,NA,NA,NA,NA,48,6,175,8,12,15,NA,84
3,City,Bombay,331,1,11,2,NA,48,NA,215,1,5,NA,NA,48
4,City,Calcutta,64,3,NA,NA,NA,8,NA,35,NA,NA,NA,NA,18
5,City,Delhi,1139,11,33,NA,22,113,NA,495,20,19,17,NA,409
6,City,Hyderabad,55,NA,NA,NA,NA,11,NA,43,NA,NA,NA,NA,1
7,City,Kanpur,216,1,9,NA,10,14,18,62,NA,NA,3,NA,99
8,City,Madras,698,5,1,NA,NA,5,NA,557,2,8,3,NA,117
Total (Cities),City,Total (Cities),3314,26,62,2,36,271,33,1771,43,52,45,NA,973
