SL. No.,Category,States/U.Ts/Cities,Cases Pending Investigation from the Previous Year,Cases Pending Disposal in Courts,Cases Reported during the Year,Cases not Investigated Declared False and Mistake of Fact or Law and Non-Cognizable,Cases Pending Investigation at the End of the Year,Cases Pending Trial at the End of the Year,Total True Cases,Cases not Detected,Cases in which Chargesheets were laid,Cases Compounded or Withdrawn,Cases in which Trails were Completed,Cases Convicted,Cases Acquitted or Discharged,Percentage of Cases Convicted to True Cases Investigated,Percentage of Cases Convicted to Cases in which Trials were Completed,"Volume of Crime Per 100,000 of Population"
1,State,Andhra Pradesh,92,142,137,16,73,130,152,42,110,NA,110,43,67,28.29,39.09,0.32
2,State,Assam,156,206,195,13,206,184,154,71,83,NA,83,17,66,11.04,20.48,1.24
3,State,Bihar,1148,1496,1626,55,1441,1811,963,700,263,35,228,119,109,12.36,52.19,2.81
4,State,Gujarat,32,46,56,6,4,52,72,29,43,3,40,3,37,4.17,7.5,0.21
5,State,Haryana,6,7,12,NA,6,11,8,2,6,NA,6,5,1,62.5,83.33,0.13
6,State,Himachal Pradesh,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
7,State,Jammu & Kashmir,14,48,12,18,13,28,15,4,11,NA,11,1,10,6.67,9.09,0.3
8,State,Kerala,13,12,42,13,13,21,20,NA,20,NA,20,5,15,25,25,0.2
9,State,Madhya Pradesh,109,240,416,7,127,234,397,189,208,NA,208,64,144,16.12,30.77,1.02
10,State,Maharashtra,119,211,391,30,145,269,277,125,152,5,147,64,83,23.1,43.54,0.78
11,State,Manipur,67,50,10,NA,76,47,4,NA,4,NA,4,3,1,75,75,0.89
12,State,Mysore,16,77,81,27,14,68,65,16,49,8,41,6,35,9.23,14.63,0.28
13,State,Nagaland,6,7,13,NA,14,7,5,NA,5,NA,1,1,NA,20,100,3
14,State,Orissa,61,94,104,5,51,121,82,41,41,NA,41,21,20,25.61,51.22,0.48
15,State,Punjab,4,1,NA,NA,NA,4,1,NA,1,NA,1,1,NA,100,100,NA
16,State,Rajasthan,49,182,111,49,28,175,90,23,67,NA,67,38,29,42.22,56.71,0.42
17,State,Tamil Nadu,7,17,94,78,7,13,20,1,19,1,18,14,4,70,77.78,0.24
18,State,Tripura,20,74,21,7,20,44,44,3,41,NA,18,9,9,20.45,50,1.39
19,State,Uttar Pradesh,550,2274,5202,1503,1437,3217,1869,842,1027,11,1016,386,63,20.65,37.99,5.71
20,State,West Bengal,553,368,1271,6,952,479,755,492,263,2,261,98,163,12.98,37.55,2.83
Total (States),State,Total (States),3023,5552,9795,1834,4627,6916,4993,2580,2413,65,2321,898,1423,17.99,38.69,1.8
21,UT,A & N Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,UT,Chandigarh,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63
23,UT,D & N Haveli,NA,NA,3,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,4.11
24,UT,Delhi,2,2,29,4,19,5,5,4,1,NA,1,NA,1,NA,NA,0.68
25,UT,"Goa, Daman & Diu",NA,6,4,1,NA,7,2,1,1,NA,1,NA,1,NA,NA,0.58
26,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,UT,Pondicherry,NA,NA,5,NA,NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,1.11
Total (UTs),UT,Total (UTs),2,8,42,5,21,13,13,6,7,5,2,NA,2,NA,NA,0.73
Total (All-India),Total (All-India),Total (All-India),3025,5560,9837,1839,4648,6929,5006,2586,2420,70,2323,898,1425,17.94,38.66,1.79
1,City,Ahmedabad,17,8,1,1,NA,4,21,14,7,NA,7,NA,7,NA,NA,0.06
2,City,Bangalore,1,1,1,1,NA,NA,2,1,1,NA,1,1,NA,50,100,0.06
3,City,Bombay,8,24,30,2,13,15,32,3,29,3,26,10,16,31.25,38.46,0.53
4,City,Calcutta,4,4,18,NA,6,10,10,7,3,NA,3,3,NA,30,100,0.57
5,City,Delhi,1,NA,17,3,12,1,2,2,NA,NA,NA,NA,NA,NA,NA,0.44
6,City,Hyderabad,4,1,2,2,NA,NA,5,2,3,NA,3,1,2,20,33.33,0.15
7,City,Kanpur,1,15,40,26,2,12,16,5,11,NA,11,3,8,18.75,27.27,3.05
8,City,Madras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Total (Cities),City,Total (Cities),36,53,109,35,33,42,88,34,54,3,51,18,33,20.45,35.29,0.52
