SL. No.,Category,States/U.Ts/Cities,Persons in Custody Pending Investigation or on Bail during the Stage of Investigation,Persons in Custody Pending Trial or on Bail during the Stage of Trial,Persons Arrested during the Year,Persons Released by the Police or Magistrate before Trial,Persons in whose Case Chargesheets were Laid,Number of Persons in whose Cases Trials were Completed,Persons Convicted,Persons Acquitted or Discharged,Persons against whom Cases were Compounded or Withdrawn,Number of Persons in Custody Pending Investigationor on Bail during the Stage of Investigation at the End of the Year,Number of Persons in Custody Pending Trial or on Bail during the Stage of Trial at the End of the Year,Percentage of Conviction to Total Persons in whose Cases Chargesheets were Laid,Percentage of Convictionto Total Persons in whose Cases Trials were Completed
1,State,Andhra Pradesh,4894,32285,65225,4332,55588,52327,31050,21277,3261,6412,36072,55.86,59.34
2,State,Assam,5856,46170,41269,18898,23092,20426,6693,13733,2666,6025,45280,28.98,32.77
3,State,Bihar,15949,254932,124579,12412,60350,48491,17445,31046,11859,21093,301605,28.91,35.98
4,State,Gujarat,3979,27115,43900,725,45019,28854,12062,16792,16165,3147,26103,26.79,41.8
5,State,Haryana,2537,12844,12438,606,9948,8499,4154,4345,1449,3301,13964,41.76,48.88
6,State,Himachal Pradesh,640,3326,3575,271,2482,1788,777,1011,694,745,4043,31.3,43.45
7,State,Jammu & Kashmir,269,19916,9352,10,10422,8548,4503,4045,1874,518,18587,43.21,52.68
8,State,Kerala,10973,23721,56556,3638,41085,25757,7357,18400,15328,11381,35146,17.91,28.56
9,State,Madhya Pradesh,7933,121423,101456,2348,83351,67361,41184,26177,15990,9105,136008,49.41,61.14
10,State,Maharashtra,13086,74613,106461,6427,86348,66434,42741,23693,19914,14742,86643,49.5,64.34
11,State,Manipur,359,3721,4290,3896,303,280,76,204,23,320,3851,25.08,27.14
12,State,Mysore,4428,36941,52199,4008,43186,34667,13074,21593,8519,5665,40709,30.27,37.71
13,State,Nagaland,327,745,1002,266,631,603,526,77,28,465,712,83.36,87.23
14,State,Orissa,550,76348,44668,635,28847,25549,8570,16979,3298,385,91699,29.71,33.54
15,State,Punjab,7235,17089,20293,2950,16612,13955,6108,7847,2657,8081,16974,36.77,43.77
16,State,Rajasthan,6324,93290,48171,1540,32840,23435,10764,12671,9405,4195,109210,32.77,45.93
17,State,Tamil Nadu,2664,11106,65202,6800,54114,51215,36041,15174,2899,5247,12811,66.6,70.37
18,State,Tripura,194,3599,6158,2080,3443,3071,349,2722,372,810,3618,10.14,11.36
19,State,Uttar Pradesh,14546,204921,164706,15056,96189,84462,40342,44120,11727,22371,250557,41.94,47.76
20,State,West Bengal,12584,125781,125723,45700,37278,24121,8256,15865,13157,20088,160022,22.15,34.23
Total (States),State,Total (States),115327,1188886,1097223,132598,731128,589843,292072,297771,141285,144096,1393614,39.95,49.52
21,UT,A & N Islands,17,234,419,29,63,62,51,11,1,73,505,80.95,82.26
22,UT,Chandigarh,319,341,808,135,360,311,234,77,49,353,620,65,75.24
23,UT,D & N Haveli,NA,125,134,11,149,84,48,36,65,NA,99,32.21,57.14
24,UT,Delhi,45,11234,12670,7,8425,6381,4177,2204,2044,97,15420,49.58,65.46
25,UT,"Goa, Daman & Diu",29,1861,1420,309,965,926,707,219,39,31,2005,72.26,76.35
26,UT,Lakshadweep,19,88,18,NA,40,21,8,13,19,4,81,20,38.1
27,UT,Pondicherry,90,530,2389,245,2260,2068,1899,169,192,41,463,84.03,91.83
Total (UTs),UT,Total (UTs),519,14413,17858,736,12262,9853,7124,2729,2409,599,19193,58.1,72.3
Total (All-India),Total (All-India),Total (All-India),115846,1203299,1115081,133334,743390,599696,299196,300500,143694,144695,1412807,40.25,49.89
1,City,Ahmedabad,788,2509,3538,40,4434,3777,1291,2486,657,480,1881,29.12,34.18
2,City,Bangalore,281,2585,5426,294,4650,4524,3303,1221,126,567,2781,71.03,71.01
3,City,Bombay,5236,7710,20597,2377,17482,13945,7802,6143,3537,5559,8125,44.64,55.95
4,City,Calcutta,1948,1055,14546,11996,2232,2226,1739,487,6,1999,1322,77.91,78.12
5,City,Delhi,45,10212,11242,5,7638,5840,3900,1940,1798,97,13759,51.06,66.78
6,City,Hyderabad,63,435,2213,NA,2177,2132,1858,274,45,151,383,85.35,87.15
7,City,Kanpur,314,3120,3149,199,2133,1975,1226,749,158,343,3908,57.48,62.08
8,City,Madras,1023,1814,6851,813,5072,4946,4681,265,126,1487,2316,92.29,94.64
Total (Cities),City,Total (Cities),9698,29440,67562,15724,45818,39365,25800,13565,6543,10683,34475,56.31,65.54
