SL. No.,Crime Heads,Cases Pending Investigation from the Previous Year,Cases Pending Disposal in Courts,Cases Reported during the Year,"Cases Not Investigated, Declared False and Mistake of Fact or Law or Non-Cognizable",Cases Pending Investigation or Trial at the End of the Year,Total True Cases,Cases not Detected,Cases in which Chargesheet was laid,Cases in which Trials were Completed,Cases Convicted,Cases Acquitted or Discharged,Percentage of Cases Convicted to True Cases Investigated,Percentage of Cases Convicted to Cases in which Trials were Completed,Total Number of Persons Challenged,Total Number of Persons Convicted
1,Arms Act,2691,19400,19701,386,23952,17454,606,16848,16717,12514,4203,71.7,74.86,20347,12665
2,Opium Act,2757,5837,10462,NA,99930,10027,204,9823,9830,7963,1867,79.42,81.01,11686,8049
3,Gambling Act,4286,34200,163815,360,38762,163179,215,162964,156826,140272,16554,85.96,89.44,343146,261572
4,Excise/ Prohibition Act,130408,130989,278695,17026,272617,250449,29797,220652,214528,131754,82774,52.61,61.42,299412,109197
5,Explosives & Explosive Substances Act,500,601,3182,91,2094,2098,543,1555,1360,1228,132,58.53,90.29,2349,1292
6,Suppression of Immoral Traffic in Women and Girls Act,115,606,6738,54,746,6659,2,6657,6540,6292,248,94.49,96.21,6917,6174
7,Motor Vehicles Act,50412,164327,1112694,659,223190,1103584,6353,1097231,1066399,1045342,21057,94.72,98.02,1199138,1064972
8,Offences under Other Special and Local Laws Declared to be Cognizable but not Included Above,19081,120980,1289230,21005,182938,1225348,5979,1219369,,1178753,44639,96.2,96.35,1460902,1313702
9,Total,210250,476940,2884517,39680,753229,2778798,43699,2735099,2695592,2524118,171474,90.83,93.64,3343897,2777625
