SL. No.,Category,State/U.Ts,Area in Square Kilometers,Estimated Mid-Year Population (in 000),Total Cognizable Crime Reported during the Year,Actual Strength of Police Force - Civil,Actual Strength of Police Force - Armed,Actual Strength of Police Force - Total,Number of Policemen Per 100 Squre Kilometer of Area,"Number of Policemen Per 10,000 of Population",Number of Cases Per Civil Policeman,Percentage of civil police to total police
1,State,Andhra Pradesh,275244,43317,43942,36390,6154,42544,15.5,9.8,1.2,85.5
2,State,Assam,121973,15675,25908,12538,16584,29122,23.9,18.6,2.1,43.1
3,State,Bihar,174008,57826,84091,32769,9110,41879,24.1,7.2,2.6,78.2
4,State,Gujarat,187091,26608,32225,32984,7744,40728,21.8,15.3,1,81
5,State,Haryana,44056,10098,8902,7724,3114,10838,24.6,10.7,1.2,71.3
6,State,Himachal Pradesh,55658,3625,2381,4331,1594,5925*,10.6,16.3,0.5,73.1
7,State,Jammu and Kashmir,222870,4050,6421,8538,2690,11228*,5,27.7,0.8,76
8,State,Kerala,38869,21343,31617,14694,2018,16712,43,7.8,2.2,87.9
9,State,Madhya Pradesh,443459,40811,83537,35108,18426,53534,12.1,13.1,2.4,65.6
10,State,Maharashtra,307269,50152,96552,69313,7666,76979,25.1,15.3,1.4,90
11,State,Manipur,22346,1120,2122,2270,2133,4403,19.7,39.3,0.9,51.6
12,State,Mysore,191757,29362,35566,25387,3506,28893,15.1,9.8,1.4,87.9
13,State,Nagaland,16488,433,744,815,5464,6279*,38.1,145,0.9,13
14,State,Orissa,155860,21657,31514,17133,5936,23069,14.8,10.7,1.8,74.3
15,State,Punjab,50376,14812,12478,16127,4092,20219*,40.1,13.7,0.8,79.8
16,State,Rajasthan,342267,26324,36230,29762,5730,35492,10.4,13.5,1.2,83.9
17,State,Tamil Nadu,129966,39560,63619,37303,4423,41726,32.1,10.5,1.7,89.4
18,State,Tripura,10451,1513,2704,2622,817,3439,32.9,22.7,1,76.2
19,State,Uttar Pradesh,294366,90980,233754,NA,NA,87115**,29.6,9.6,NA,NA
20,State,West Bengal,87676,44983,84528,48136,15487,63623,72.6,14.1,1.8,75.7
Total (States),State,Total (States),3172050,544249,918835,433944,122688,643747,20.3,11.8,NA,NA
21,UT,A & N Islands,8293,93,308,1035,246,1281*,15.4,137.7,0.3,80.8
22,UT,Chandigarh,115,159,1484,1687,NA,1687*,1467,106.1,0.9,100
23,UT,D & N Haveli,489,73,106,62,35,97,19.8,13.3,1.7,63.9
24,UT,Delhi,1483,4241,31241,NA,NA,16687**,1125.2,39.3,NA,NA
25,UT,"Goa, Daman & Diu",3733,688,1195,1321,556,1877,50.3,27.3,0.9,70.4
26,UT,Lakshadweep,28,28,28,164,NA,164,585.7,58.6,0.2,100
27,UT,Pondicherry,473,449,2225,551,365,916,193.7,20.4,4,60.2
Total (UTs),UT,Total (UTs),14614,5731,36587,4820,1202,22709,155.4,39.6,NA,NA
Total (All-India),Total (All-India),Total (All-India),3186664,549980,955422,438764,123890,666456,20.9,12.1,NA,NA
