Sr. No.,Category,States/ UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Running Train - Number,Railways Running Train - Value,Railways Others in Railways - Number,Railways Others in Railways - Value,Railways Total - Number,Railways Total - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,6191,1972.8,50,4.2,0,0,0,0,0,0,0,0,24,12.1,1124,957,915,160.1,8304,3106.2
2,State,Arunachal Pradesh,113,34.4,0,0,0,0,0,0,0,0,0,0,1,0.1,54,36.8,89,55.4,257,126.7
3,State,Assam,1690,100.3,42,16.8,0,0,0,0,57,5.2,57,5.2,0,0,415,161.9,707,73.7,2911,357.8
4,State,Bihar,2759,194.5,147,10.9,0,0,13,1.8,0,0,13,1.8,2,3.7,153,20.4,457,137.2,3531,368.4
5,State,Chhattisgarh,2828,366.7,20,1.2,0,0,0,0,0,0,0,0,10,1.4,254,25.8,395,348.6,3507,743.9
6,State,Goa,121,79,0,0,0,0,0,0,0,0,0,0,7,0,75,90.1,49,15.5,252,184.6
7,State,Gujarat,3241,1942.2,26,6.9,0,0,0,0,0,0,0,0,29,26.6,1109,595.1,1125,423.5,5530,2994.3
8,State,Haryana,2906,751.2,5,0.3,0,0,0,0,0,0,0,0,20,0.2,799,235.9,271,90.7,4001,1078.3
9,State,Himachal Pradesh,370,181.6,0,0,0,0,0,0,0,0,0,0,12,0,180,108.6,192,28.5,754,318.7
10,State,Jammu & Kashmir,583,174.9,0,0,0,0,0,0,0,0,0,0,2,0,265,49.6,501,102.3,1351,326.8
11,State,Jharkhand,1208,127.8,24,1.1,0,0,0,0,0,0,0,0,1,2.6,90,16.5,105,64.7,1428,212.7
12,State,Karnataka,4126,1527.8,14,3.6,0,0,0,0,2,0.3,2,0.3,37,15.4,1221,604.8,567,191.9,5967,2343.6
13,State,Kerala,2281,995.3,0,0,0,0,0,0,3,0.1,3,0.1,53,341.9,782,428.8,1126,610.6,4245,2376.8
14,State,Madhya Pradesh,8299,1375.4,25,3.4,6,0.9,0,0,2,0.4,2,0.4,17,0.7,1166,208.9,1445,167.3,10960,1757
