Sr. No.,Category,States/UTs,"Murder (Sec. 302, 303 IPC)",Attempt to Commit Murder (Sec. 307 IPC),"C.H. not Amounting to Murder (Sec. 304,308 IPC)",Rape (Sec. 376 IPC),"Kidnapping & Abduction (Sec. 363- 369,371-373 IPC)",Dacoity (Sec. 395-398 IPC),Preparation and Assembly for Dacoity (Sec. 399-402 IPC),"Robbery (Sec. 392-394, 397,398 IPC)","Riots (Sec. 143- 145,147- 151,153,153A, 153B,157,158, 160 IPC)","Arson (Sec. 435,436,438 IPC)",Dowry Death (Sec. 304B IPC),Total Violent Crimes,Percentage Share to All-India Crimes,Rate of Violent Crimes,Percentage to Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,2766,1860,123,1049,2030,178,3,679,2916,1012,519,13135,6.4,16.3,7.6
2,State,Arunachal Pradesh,60,33,3,37,75,28,0,74,6,20,1,337,0.2,28.7,14.7
3,State,Assam,1207,414,32,1244,1825,319,12,544,2684,488,105,8874,4.3,30.4,20.3
4,State,Bihar,3249,3303,326,1232,2619,1001,140,2169,8259,785,1188,24271,11.8,26.6,24.1
5,State,Chhattisgarh,1098,825,15,995,239,160,24,439,905,262,103,5065,2.5,22,11.2
6,State,Goa,39,17,1,21,16,7,0,17,63,38,0,219,0.1,14.1,9.9
7,State,Gujarat,1165,471,24,354,1128,290,12,970,1534,321,50,6319,3.1,11.5,5.2
8,State,Haryana,873,585,59,608,635,104,224,410,1142,156,255,5051,2.5,21.8,10
9,State,Himachal Pradesh,111,78,20,113,130,7,0,29,566,115,3,1172,0.6,18.2,9
10,State,Jammu & Kashmir,487,854,40,250,789,10,0,112,1197,203,10,3952,1.9,33.7,19
11,State,Jharkhand,1492,1078,97,799,635,536,45,779,2650,178,281,8570,4.2,29.2,23.6
12,State,Karnataka,1627,1484,68,400,563,202,247,1349,6183,268,244,12635,6.1,22.4,10.7
13,State,Kerala,393,347,87,601,294,129,125,691,6365,435,25,9492,4.6,28.2,9
14,State,Madhya Pradesh,2309,2370,138,2900,808,151,121,1770,2308,815,764,14454,7,21.5,7.4
15,State,Maharashtra,2656,1680,100,1500,1261,663,323,2574,7453,1188,387,19785,9.6,18.9,10.3
16,State,Manipur,205,265,4,40,130,2,27,8,60,109,0,850,0.4,33,29.5
17,State,Meghalaya,157,42,8,74,57,57,4,65,7,28,6,505,0.2,20.3,26.1
18,State,Mizoram,25,19,7,72,6,7,0,10,0,25,0,171,0.1,17.8,8.2
19,State,Nagaland,123,46,8,23,31,16,0,84,7,16,0,354,0.2,16.5,32.1
20,State,Orissa,1159,752,36,985,704,239,76,1184,1535,371,457,7498,3.6,19.1,14.2
21,State,Punjab,817,898,165,442,591,35,90,142,3,68,130,3381,1.6,13,10.5
22,State,Rajasthan,1209,1694,79,1085,1970,37,97,631,1767,551,394,9514,4.6,15.1,6.7
23,State,Sikkim,21,16,2,20,8,0,0,9,12,1,0,89,0,15.3,12.7
24,State,Tamil Nadu,1363,1599,20,457,906,95,4,450,1838,460,187,7379,3.6,11.3,5
25,State,Tripura,154,52,1,189,105,18,1,71,154,35,35,815,0.4,23.7,20.7
26,State,Uttar Pradesh,5480,4997,1543,1314,3318,218,86,2024,3774,299,1798,24851,12.1,13.4,19.6
27,State,Uttaranchal,274,215,40,147,212,31,2,157,489,39,80,1686,0.8,18.2,20
28,State,West Bengal,1425,672,401,1731,1355,177,1263,426,2385,111,445,10391,5.1,12.1,15.3
State,State,Total (States),31944,26666,3447,18682,22440,4717,2926,17867,56262,8397,7467,200815,97.6,18.2,11.1
29,Union Territory,A & N Islands,4,4,1,6,5,0,0,5,10,9,0,44,0,11.1,6.5
30,Union Territory,Chandigarh,12,21,8,19,65,1,3,34,44,5,10,222,0.1,21.7,7.1
31,Union Territory,D & N Haveli,9,0,1,6,18,5,0,5,8,5,1,58,0,23.2,13.3
32,Union Territory,Daman & Diu,6,3,0,3,3,8,0,1,24,5,0,53,0,29.4,18.4
33,Union Territory,Delhi,476,510,75,623,1442,14,200,541,87,33,137,4138,2,25.5,7.1
34,Union Territory,Lakshadweep,0,2,0,0,0,0,0,0,12,4,0,18,0,26.9,22.5
35,Union Territory,Pondicherry,30,24,3,9,18,2,0,3,194,22,3,308,0.1,29.4,6.6
Union Territory,Union Territory,Total (UTs),537,564,88,666,1551,30,203,589,379,83,151,4841,2.4,25.2,7.2
Total (All-India),Total (All-India),Total (All-India),32481,27230,3535,19348,23991,4747,3129,18456,56641,8480,7618,205656,100,18.4,10.9
