Sr. No.,Crime Head,Total No. of Persons under Arrest* Including those from Previous Year,Persons Released before Trial - No.,Persons Released before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons under Investigation at the end of the Year - No.,Persons under Investigation at the end of the Year - Percentage to Total
1,Arms Act,92088,665,0.7,79423,86.2,12000,13
2,Narcotic Drugs & Psychotropic Substances Act,49210,344,0.7,35390,71.9,13476,27.4
3,Gambling Act,368574,682,0.2,347173,94.2,20719,5.6
4,Excise Act,176261,829,0.5,157333,89.3,18099,10.3
5,Prohibition Act,423616,28106,6.6,302319,71.4,93191,22
6,Explosive & Explosive Substances Act,7541,194,2.6,4755,63.1,2592,34.4
7,Immoral Traffic (P) Act,14060,110,0.8,11087,78.9,2863,20.4
8,Indian Railways Act,251,15,6,203,80.9,33,13.1
9,Registration of Foreigners Act,4072,51,1.3,3534,86.8,487,12
10,Protection of Civil Rights Act - Total,931,12,1.3,771,82.8,148,15.9
10,Protection of Civil Rights Act - i) PCR Act for SCs,869,12,1.4,723,83.2,134,15.4
10,Protection of Civil Rights Act - ii) PCR Act for STs,62,0,0,48,77.4,14,22.6
11,Indian Passport Act,3210,164,5.1,2039,63.5,1007,31.4
12,Essential Commodities Act,15593,372,2.4,11488,73.7,3733,23.9
13,Terrorist & Disruptive Activities Act,1487,20,1.3,419,28.2,1048,70.5
14,Antiquity & Art Treasure Act,85,2,2.4,52,61.2,31,36.5
15,Dowry Prohibition Act,9968,580,5.8,7100,71.2,2288,23
16,Child Marriage Restraint Act,363,7,1.9,284,78.2,72,19.8
17,Indecent Representation of Women (P) Act,1764,5,0.3,1670,94.7,89,5
18,Copyrights Act,10985,79,0.7,8677,79,2229,20.3
19,Sati Prevention Act,0,0,0,0,0,0,0
20,SC/ ST (Prevention of Atrocities) Act - Total,20992,829,3.9,16089,76.6,4074,19.4
20,SC/ ST (Prevention of Atrocities) Act - i) Prevention of Atrocities Act for SCs,18768,797,4.2,14191,75.6,3780,20.1
20,SC/ ST (Prevention of Atrocities) Act - ii) Prevention of Atrocities Act for STs,2224,32,1.4,1898,85.3,294,13.2
21,Forest Act,7472,170,2.3,6639,88.9,663,8.9
22,Other SLL Crimes,2582548,228291,8.8,2302017,89.1,52240,2
Total Cognizable Crimes under SLL,Total Cognizable Crimes under SLL,3791071,261527,6.9,3298462,87,231082,6.1
