Sr. No.,Category,States/UTs,Incidence,Percentage Contribution to All–India Total,Estimated Mid Year Population (In Lakhs)#,Rate of Total Cognizable Crimes,Rank as per Rate of Total Cognizable Crimes,Rank as per Percentage Share
1,State,Andhra Pradesh,793,13.7,807.24,1,9,3
2,State,Arunachal Pradesh,27,0.5,11.74,2.3,4,14
3,State,Assam,244,4.2,291.62,0.8,11,8
4,State,Bihar,56,1,913.3,0.1,19,13
5,State,Chhattisgarh,583,10.1,229.9,2.5,3,4
6,State,Goa,0,0,15.51,0,NA,NA
7,State,Gujarat,164,2.8,550.8,0.3,14,10
8,State,Haryana,0,0,231.63,0,NA,NA
9,State,Himachal Pradesh,17,0.3,64.46,0.3,15,18
10,State,Jammu & Kashmir,0,0,117.25,0,NA,NA
11,State,Jharkhand,332,5.7,293.14,1.1,7,6
12,State,Karnataka,214,3.7,563.49,0.4,13,9
13,State,Kerala,75,1.3,336.79,0.2,18,12
14,State,Madhya Pradesh,1498,25.9,672.13,2.2,5,1
15,State,Maharashtra,267,4.6,1045.7,0.3,17,7
16,State,Manipur,26,0.4,25.72,1,8,15
17,State,Meghalaya,0,0,24.83,0,NA,NA
18,State,Mizoram,0,0,9.59,0,NA,NA
19,State,Nagaland,109,1.9,21.41,5.1,1,11
20,State,Orissa,349,6,391.96,0.9,10,5
21,State,Punjab,0,0,260.8,0,NA,NA
22,State,Rajasthan,967,16.7,628.02,1.5,6,2
23,State,Sikkim,0,0,5.81,0,NA,NA
24,State,Tamil Nadu,24,0.4,654.52,0,20,16
25,State,Tripura,9,0.2,34.36,0.3,16,20
26,State,Uttar Pradesh,11,0.2,1850.21,0,23,19
27,State,Uttaranchal,1,0,92.62,0,21,23
28,State,West Bengal,7,0.1,861.3,0,22,21
State,State,Total (States),5773,99.7,11005.85,0.5,NA,NA
29,Union Territory,A & N Islands,17,0.3,3.96,4.3,2,17
30,Union Territory,Chandigarh,0,0,10.21,0,NA,NA
31,Union Territory,D & N Haveli,1,0,2.5,0.4,12,22
32,Union Territory,Daman & Diu,0,0,1.8,0,NA,NA
33,Union Territory,Delhi,0,0,162.29,0,NA,NA
34,Union Territory,Lakshadweep,0,0,0.67,0,NA,NA
35,Union Territory,Pondicherry,0,0,10.47,0,NA,NA
Union Territory,Union Territory,Total (UTs),18,0.3,191.9,0.1,NA,NA
Total (All–India),Total (All–India),Total (All–India),5791,100,11197.8,0.5,NA,NA
