Sr. No.,Category,States/ UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Running Train - Number,Railways Running Train - Value,Railways Others in Railways - Number,Railways Others in Railways - Value,Railways Total - Number,Railways Total - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,9766,1962.3,330,97.9,18,10.6,478,142.9,143,35.2,621,178.2,3,2,2970,508.8,9802,2387.7,23510,5147.4
2,State,Arunachal Pradesh,193,72,10,1.4,0,0,0,0,0,0,0,0,0,0,67,47.2,181,59.9,451,180.5
3,State,Assam,3645,528.4,95,133.2,2,1.1,5,0.5,598,165.7,603,166.2,1,7.8,975,1968.2,2499,826.5,7820,3631.3
4,State,Bihar,5640,339.9,650,54.7,0,0,962,106.3,389,17.2,1351,123.6,18,7.9,944,111,3149,309.9,11752,947
5,State,Chhattisgarh,1343,226.4,55,35.4,1,0.6,161,25.9,76,9.5,237,35.3,7,1.6,381,89.5,3238,1503.4,5262,1892.2
6,State,Goa,66,32.1,5,8.9,1,0,1,0.5,1,0.8,2,1.3,1,4.4,38,8.4,381,312.6,494,367.7
7,State,Gujarat,4060,1129.8,81,80.4,9,0.7,332,86.2,481,43,813,129.2,18,8.8,2859,867.7,10635,10115.4,18475,12332.2
8,State,Haryana,2206,1102.2,205,112,0,0,28,1.1,239,51.2,267,52.3,7,2.4,1630,770.4,6203,2380,10518,4419.2
9,State,Himachal Pradesh,84,44.2,13,16.8,0,0,0,0,0,0,0,0,1,0.8,113,129.8,601,408.3,812,599.9
10,State,Jammu & Kashmir,365,168.8,91,46.8,0,0,0,0,0,0,0,0,0,0,178,38.7,1303,460,1937,714.3
11,State,Jharkhand,2624,236.3,65,8.5,0,0,97,6.5,254,23.4,351,29.8,6,1.2,648,108.2,2479,330.6,6173,714.6
12,State,Karnataka,3429,1088.1,91,50.2,8,1,339,155.1,68,2.7,407,157.7,4,0.4,1951,730.2,9011,2775.9,14901,4803.5
13,State,Kerala,1628,1149.2,76,21,1,0.2,128,45.3,25,2,153,47.3,2,1.5,595,201.5,2976,1562.3,5431,2983.1
14,State,Madhya Pradesh,7099,1350.9,332,149.8,28,1.8,911,154.5,491,58.6,1402,213.1,3,0.3,1915,436,10954,2240.6,21733,4392.6
15,State,Maharashtra,7735,2874.8,478,388.9,7,0.4,1146,251.4,1642,292.1,2788,543.5,31,40.5,3606,1912.8,31828,15363.3,46473,21124.2
16,State,Manipur,48,15.2,5,1.1,0,0,0,0,0,0,0,0,0,0,7,4.5,230,73.4,290,94.2
17,State,Meghalaya,153,62.3,39,1.4,0,0,0,0,0,0,0,0,0,0,27,28.2,251,169.1,470,260.9
18,State,Mizoram,170,79.8,144,13.5,5,1.5,0,0,0,0,0,0,0,0,200,100.9,239,84.3,758,280
19,State,Nagaland,96,34.4,1,0.1,0,0,1,0,1,0.1,2,0.1,0,0,37,11.5,191,743.3,327,789.5
20,State,Orissa,1334,394.5,3,0.8,0,0,253,47.3,156,21.6,409,69,0,0,286,470.8,4535,1292.5,6567,2227.6
21,State,Punjab,1245,749.4,49,37.9,2,0.6,18,4.6,33,8.4,51,13,9,16.7,486,272,2104,1305.1,3946,2394.7
22,State,Rajasthan,2590,778.6,130,143.9,7,0.2,388,65.1,24,7.5,412,72.6,0,0,1480,757.9,13270,4133.1,17889,5886.2
23,State,Sikkim,57,18.8,0,0,0,0,0,0,0,0,0,0,0,0,9,2.9,47,22,113,43.8
24,State,Tamil Nadu,3224,650.1,111,21.2,10,0.3,53,6.2,102,9,155,15.2,4,4,1676,295.3,8471,1508.8,13651,2494.9
25,State,Tripura,210,18.9,5,0.7,0,0,0,0,0,0,0,0,0,0,68,31.8,109,58.9,392,110.4
26,State,Uttar Pradesh,4869,1096.2,6037,1886.5,0,0,485,198.4,276,34.1,761,232.5,0,0,640,179.9,8140,2262.3,20447,5657.4
27,State,Uttaranchal,450,75.9,18,5.7,0,0,31,2.8,34,3.2,65,6,0,0,109,19.2,1054,364.8,1696,471.7
28,State,West Bengal,5664,1040.6,32,13.8,0,0,735,24.1,286,7.8,1021,31.9,7,7.4,1679,528.3,4129,1257,12532,2879
State,State,Total (States),69993,17319.8,9151,3332.6,99,19.1,6552,1325,5319,792.9,11871,2117.9,122,107.8,25574,10631.5,138010,54310.9,254820,87839.7
29,Union Territory,A & N Islands,16,2.5,0,0,15,4,0,0,0,0,0,0,1,0.1,7,1.3,62,14.7,101,22.6
30,Union Territory,Chandigarh,489,84.7,0,0,0,0,0,0,0,0,0,0,0,0,378,268.7,367,9.3,1234,362.7
31,Union Territory,D & N Haveli,15,7.3,0,0,2,0,0,0,0,0,0,0,1,0.8,7,2.7,36,74.6,61,85.3
32,Union Territory,Daman & Diu,2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,14,23.4,47,45.6,63,69.7
33,Union Territory,Delhi,4383,2409.8,0,0,0,0,83,6.9,864,226.4,947,233.3,2,0.5,653,956.2,11513,7686.9,17498,11286.7
34,Union Territory,Lakshadweep,13,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.7,17,3.5
35,Union Territory,Pondicherry,78,23.2,0,0,0,0,0,0,0,0,0,0,0,0,42,6.4,440,100.3,560,130
Union Territory,Union Territory,Total (UTs),4996,2529.1,0,0,17,4.1,83,6.9,864,226.4,947,233.3,4,1.3,1101,1258.7,12469,7934,19534,11960.5
Total (All-India),Total (All-India),Total (All-India),74989,19848.9,9151,3332.6,116,23.2,6635,1331.9,6183,1019.4,12818,2351.3,126,109.1,26675,11890.2,150479,62244.9,274354,99800.2
