Sr. No.,Crime Head,Total No. Persons Under Arrest Including those from Previous Year,Persons Released Before Trial - No.,Persons Released Before Trial - Percentage to total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to total,Persons Under Investigation at the end of the Year - No.,Persons Under Investigation at the end of the Year - Percentage to total
1,"Murder (Sec. 302,303 IPC)",350,9,2.6,280,80,61,17.4
2,Rape (Sec.376 IPC,960,13,1.4,855,89.1,92,9.6
3,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",91,8,8.8,65,71.4,18,19.8
4,Dacoity (Sec.395-398 IPC),30,3,10,18,60,9,30
5,"Robbery (392-394, 397,398 IPC)",48,7,14.6,27,56.3,14,29.2
6,"Arson (Sec.435, 436, 438 IPC)",152,4,2.6,113,74.3,35,23
7,"Hurt (Sec.323-333, 335-338 IPC)",1562,55,3.5,1250,80,257,16.5
8,"Pcr Act, 1955 for STs",62,0,0,48,77.4,14,22.6
9,"SC/ST Prev. of Atrocities Act, 1989 for Scs",2224,32,1.4,1898,85.3,294,13.2
10,Other Crime Against STs,4151,60,1.4,3785,91.2,306,7.4
Total,Total,9630,191,2,8339,86.6,1100,11.4
