Sr. No.,Category,States/UTs,Estimated Mid Year Population (In Lakhs) #,"Murder (Sec. 302,303 IPC) - I","Murder (Sec. 302,303 IPC) - R","Murder (Sec. 302,303 IPC) - P",Rape (Sec. 376 IPC) - I,Rape (Sec. 376 IPC) - R,Rape (Sec. 376 IPC) - P,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - I","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - R","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - P",Dacoity (Sec. 395-398 IPC) - I,Dacoity (Sec. 395-398 IPC) - R,Dacoity (Sec. 395-398 IPC) - P,"Robbery (Sec. 392-394,397,398 IPC) - I","Robbery (Sec. 392-394,397,398 IPC) - R","Robbery (Sec. 392-394,397,398 IPC) - P","Arson (Sec. 435,436,438 IPC) - I","Arson (Sec. 435,436,438 IPC) - R","Arson (Sec. 435,436,438 IPC) - P","Hurt (Sec. 323-333,335-338 IPC) - I","Hurt (Sec. 323-333,335-338 IPC) - R","Hurt (Sec. 323-333,335-338 IPC) - P",Prot. of Civil Rights Act (1955) - I,Prot. of Civil Rights Act (1955) - R,Prot. of Civil Rights Act (1955) - P,SC/ST Prev.of Attrocities Act (1989) - I,SC/ST Prev.of Attrocities Act (1989) - R,SC/ST Prev.of Attrocities Act (1989) - P,Other Offences - I,Other Offences - R,Other Offences - P,Total - I,Total - R,Total - P
1,State,Andhra Pradesh,807.2,52,0.1,7.7,97,0.1,8,12,0,4.3,3,0,10,5,0,5.6,13,0,5.8,657,0.8,17.5,93,0.1,23,1514,1.9,17.6,1445,1.8,12.2,3891,4.8,14.4
2,State,Arunachal Pradesh,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,291.6,5,0,0.7,11,0,0.9,27,0.1,9.6,4,0,13.3,11,0,12.2,7,0,3.1,114,0.4,3,0,0,0,0,0,0,103,0.4,0.9,282,1,1
4,State,Bihar,913.3,16,0,2.4,19,0,1.6,2,0,0.7,1,0,3.3,9,0,10,22,0,9.7,336,0.4,8.9,2,0,0.5,1438,1.6,16.8,198,0.2,1.7,2043,2.2,7.5
5,State,Chhattisgarh,229.9,10,0,1.5,49,0.2,4,1,0,0.4,0,0,0,2,0,2.2,0,0,0,48,0.2,1.3,0,0,0,120,0.5,1.4,214,0.9,1.8,444,1.9,1.6
6,State,Goa,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3,0,0,0,0,4,0.3,0
7,State,Gujarat,550.8,20,0,3,19,0,1.6,23,0,8.2,6,0,20,19,0,21.1,11,0,4.9,255,0.5,6.8,4,0,1,359,0.7,4.2,279,0.5,2.4,995,1.8,3.7
8,State,Haryana,231.6,7,0,1,31,0.1,2.5,15,0.1,5.4,0,0,0,1,0,1.1,1,0,0.4,45,0.2,1.2,0,0,0,86,0.4,1,97,0.4,0.8,283,1.2,1
9,State,Himachal Pradesh,64.5,0,0,0,11,0.2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.6,0.4,45,0.7,0.4,92,1.4,0.3
10,State,Jammu & Kashmir,117.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,2,0,0
11,State,Jharkhand,293.1,5,0,0.7,15,0.1,1.2,2,0,0.7,0,0,0,0,0,0,3,0,1.3,54,0.2,1.4,11,0,2.7,135,0.5,1.6,108,0.4,0.9,333,1.1,1.2
12,State,Karnataka,563.5,28,0,4.2,27,0,2.2,4,0,1.4,2,0,6.7,1,0,1.1,1,0,0.4,120,0.2,3.2,25,0,6.2,1051,1.9,12.2,471,0.8,4,1730,3.1,6.4
13,State,Kerala,336.8,3,0,0.4,62,0.2,5.1,3,0,1.1,1,0,3.3,0,0,0,1,0,0.4,85,0.3,2.3,0,0,0,70,0.2,0.8,139,0.4,1.2,364,1.1,1.3
14,State,Madhya Pradesh,672.1,76,0.1,11.3,335,0.5,27.5,37,0.1,13.2,0,0,0,14,0,15.6,34,0.1,15,815,1.2,21.7,1,0,0.2,338,0.5,3.9,2564,3.8,21.7,4214,6.3,15.6
15,State,Maharashtra,1045.7,21,0,3.1,87,0.1,7.1,5,0,1.8,11,0,36.7,7,0,7.8,9,0,4,57,0.1,1.5,36,0,8.9,350,0.3,4.1,470,0.4,4,1053,1,3.9
16,State,Manipur,25.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,21.4,3,0.1,0.4,1,0,0.1,1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.2,0
20,State,Orissa,392,12,0,1.8,52,0.1,4.3,7,0,2.5,1,0,3.3,5,0,5.6,17,0,7.5,192,0.5,5.1,0,0,0,621,1.6,7.2,246,0.6,2.1,1153,2.9,4.3
21,State,Punjab,260.8,3,0,0.4,11,0,0.9,1,0,0.4,0,0,0,0,0,0,0,0,0,5,0,0.1,0,0,0,99,0.4,1.2,65,0.2,0.6,184,0.7,0.7
22,State,Rajasthan,628,60,0.1,8.9,132,0.2,10.8,23,0,8.2,0,0,0,4,0,4.4,39,0.1,17.3,435,0.7,11.6,0,0,0,119,0.2,1.4,3098,4.9,26.2,3910,6.2,14.4
23,State,Sikkim,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,1,0.2,0,2,0.3,0
24,State,Tamil Nadu,654.5,26,0,3.9,21,0,1.7,3,0,1.1,0,0,0,0,0,0,7,0,3.1,136,0.2,3.6,84,0.1,20.7,468,0.7,5.5,246,0.4,2.1,991,1.5,3.7
25,State,Tripura,34.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0.4,0.1,14,0.4,0.1
26,State,Uttar Pradesh,1850.2,318,0.2,47.3,229,0.1,18.8,113,0.1,40.4,1,0,3.3,12,0,13.3,61,0,27,398,0.2,10.6,133,0.1,32.8,1702,0.9,19.8,1993,1.1,16.9,4960,2.7,18.3
27,State,Uttaranchal,92.6,7,0.1,1,6,0.1,0.5,1,0,0.4,0,0,0,0,0,0,0,0,0,6,0.1,0.2,0,0,0,48,0.5,0.6,0,0,0,68,0.7,0.3
28,State,West Bengal,861.3,1,0,0.1,2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0.1,13,0,0
State,State,Total (States),11005.9,673,0.1,100,1217,0.1,100,280,0,100,30,0,100,90,0,100,226,0,100,3760,0.3,100,391,0,96.5,8559,0.8,99.7,11804,1.1,100,27030,2.5,99.9
