Sr. No.,Rank,Number of Victims Killed in Terrorist/ Extremists Operations,Number of Victims Killed in Dacoity Operation or Other Raids,Number of Victims Killed by Riotous Mobs,Number of Victims Killed by Other Criminals,Number of Victims Killed on Border Duties,Number of Victims Killed in Accidents,Number of Victims Killed - Total,Number of Victims Injured in Terrorist/ Extremists Operations,Number of Victims Injured in Dacoity Operation or Other Raids,Number of Victims Injured by Riotous Mobs,Number of Victims Injured by Other Criminals,Number of Victims Injured on Border Duties,Number of Victims Injured in Accidents,Number of Victims Injured - Total
1,Constables,88,4,9,43,10,390,544,243,64,1032,232,11,638,2220
2,Head Constables,19,0,2,8,4,141,174,25,18,208,52,2,149,454
3,Assistant Sub-Inspectors,10,1,0,7,1,48,67,9,10,102,33,0,56,210
4,Sub-Inspectors,5,3,1,3,1,29,42,13,16,188,56,1,62,336
5,Inspectors,2,0,1,1,0,9,13,5,2,102,20,1,24,154
6,Other Gazetted Officers,0,0,0,0,0,1,1,7,4,70,10,0,3,94
7,Total,124,8,13,62,16,618,841,302,114,1702,403,15,932,3468
