Sr. No.,Category,States/ UTs/Cities,Estimated Mid-Year Population #,Infanticide (Sec. 315 IPC) - I,Infanticide (Sec. 315 IPC) - R,Infanticide (Sec. 315 IPC) - P,"Murder (Sec. 302,303 IPC) - I","Murder (Sec. 302,303 IPC) - R","Murder (Sec. 302,303 IPC) - P",Rape (Sec. 376 IPC) - I,Rape (Sec. 376 IPC) - R,Rape (Sec. 376 IPC) - P,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - I","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - R","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - P","Foeticide (Sec.315,316 IPC) - I","Foeticide (Sec.315,316 IPC) - R","Foeticide (Sec.315,316 IPC) - P",Abetment to Suicide (Sec.305 IPC) - I,Abetment to Suicide (Sec.305 IPC) - R,Abetment to Suicide (Sec.305 IPC) - P,Exposure and Abandonment (Sec.317 IPC) - I,Exposure and Abandonment (Sec.317 IPC) - R,Exposure and Abandonment (Sec.317 IPC) - P,Procuration of Minor Girl (Sec.366A IPC) - I,Procuration of Minor Girl (Sec.366A IPC) - R,Procuration of Minor Girl (Sec.366A IPC) - P,Buying of Girls for Prostitution (Sec.373 IPC) - I,Buying of Girls for Prostitution (Sec.373 IPC) - R,Buying of Girls for Prostitution (Sec.373 IPC) - P,Selling of Girls for Prostitution (Sec.372 IPC) - I,Selling of Girls for Prostitution (Sec.372 IPC) - R,Selling of Girls for Prostitution (Sec.372 IPC) - P,"Child Marriage Restraint Act, 1978 - I","Child Marriage Restraint Act, 1978 - R","Child Marriage Restraint Act, 1978 - P",Other Crimes - I,Other Crimes - R,Other Crimes - P,Total - I,Total - R,Total - P
1,State,Andhra Pradesh,807.24,0,0,0,61,0.1,4.6,412,0.5,8.7,498,0.6,9.8,5,0,4,11,0,24.4,89,0.1,9.8,35,0,15.2,5,0,14.3,6,0,4.9,17,0,17.2,247,0.3,4,1386,1.7,7.3
2,State,Arunachal Pradesh,11.74,0,0,0,0,0,0,0,0,0,27,2.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2.3,0.1
3,State,Assam,291.62,0,0,0,11,0,0.8,61,0.2,1.3,25,0.1,0.5,1,0,0.8,5,0,11.1,0,0,0,0,0,0,0,0,0,1,0,0.8,1,0,1,147,0.5,2.4,252,0.9,1.3
4,State,Bihar,913.3,1,0,0.8,11,0,0.8,17,0,0.4,25,0,0.5,0,0,0,0,0,0,0,0,0,4,0,1.7,0,0,0,0,0,0,2,0,2,6,0,0.1,66,0.1,0.3
5,State,Chhattisgarh,229.9,8,0,6.3,40,0.2,3,448,1.9,9.5,113,0.5,2.2,5,0,4,1,0,2.2,14,0.1,1.5,0,0,0,0,0,0,0,0,0,5,0,5.1,604,2.6,9.9,1238,5.4,6.5
6,State,Goa,15.51,1,0.1,0.8,2,0.1,0.2,14,0.9,0.3,10,0.6,0.2,0,0,0,1,0.1,2.2,8,0.5,0.9,1,0.1,0.4,0,0,0,0,0,0,0,0,0,17,1.1,0.3,54,3.5,0.3
7,State,Gujarat,550.8,0,0,0,87,0.2,6.6,112,0.2,2.4,360,0.7,7.1,6,0,4.8,1,0,2.2,150,0.3,16.5,9,0,3.9,0,0,0,0,0,0,12,0,12.1,240,0.4,3.9,977,1.8,5.2
8,State,Haryana,231.63,10,0,7.9,19,0.1,1.4,176,0.8,3.7,158,0.7,3.1,9,0,7.2,0,0,0,24,0.1,2.6,0,0,0,0,0,0,0,0,0,7,0,7.1,59,0.3,1,462,2,2.4
9,State,Himachal Pradesh,64.46,0,0,0,4,0.1,0.3,41,0.6,0.9,52,0.8,1,5,0.1,4,1,0,2.2,12,0.2,1.3,2,0,0.9,0,0,0,0,0,0,1,0,1,18,0.3,0.3,136,2.1,0.7
10,State,Jammu & Kashmir,117.25,0,0,0,3,0,0.2,8,0.1,0.2,72,0.6,1.4,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85,0.7,0.4
11,State,Jharkhand,293.14,1,0,0.8,9,0,0.7,28,0.1,0.6,11,0,0.2,1,0,0.8,0,0,0,0,0,0,26,0.1,11.3,0,0,0,0,0,0,0,0,0,36,0.1,0.6,112,0.4,0.6
