Sr. No.,Category,States/ UTs/Cities,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India Total,Estimated mid- Year Population (In Lakhs) **,Rate of Total Cognizable Crimes,Rank of Criminality *
1,State,Andhra Pradesh,173909,9.3,807.24,215.4,11
2,State,Arunachal Pradesh,2294,0.1,11.74,195.4,15
3,State,Assam,43673,2.3,291.62,149.8,21
4,State,Bihar,100665,5.4,913.3,110.2,30
5,State,Chhattisgarh,45177,2.4,229.9,196.5,14
6,State,Goa,2204,0.1,15.51,142.1,22
7,State,Gujarat,120972,6.4,550.8,219.6,8
8,State,Haryana,50509,2.7,231.63,218.1,9
9,State,Himachal Pradesh,13093,0.7,64.46,203.1,13
10,State,Jammu & Kashmir,20787,1.1,117.25,177.3,17
11,State,Jharkhand,36364,1.9,293.14,124,24
12,State,Karnataka,117710,6.3,563.49,208.9,12
13,State,Kerala,105255,5.6,336.79,312.5,3
14,State,Madhya Pradesh,194711,10.4,672.13,289.7,5
15,State,Maharashtra,191788,10.2,1045.7,183.4,16
16,State,Manipur,2884,0.2,25.72,112.1,29
17,State,Meghalaya,1935,0.1,24.83,77.9,33
18,State,Mizoram,2073,0.1,9.59,216.2,10
19,State,Nagaland,1103,0.1,21.41,51.5,35
20,State,Orissa,52792,2.8,391.96,134.7,23
21,State,Punjab,32068,1.7,260.8,123,25
22,State,Rajasthan,141992,7.6,628.02,226.1,7
23,State,Sikkim,703,0,5.81,121,26
24,State,Tamil Nadu,148972,7.9,654.52,227.6,6
25,State,Tripura,3940,0.2,34.36,114.7,28
26,State,Uttar Pradesh,127001,6.8,1850.21,68.6,34
27,State,Uttaranchal,8412,0.4,92.62,90.8,31
28,State,West Bengal,68052,3.6,861.3,79,32
State,State,Total (States),1811038,96.4,11005.85,164.6,NA
29,Union Territory,A & N Islands,676,0,3.96,170.7,19
30,Union Territory,Chandigarh,3126,0.2,10.21,306.2,4
31,Union Territory,D & N Haveli,435,0,2.5,174,18
32,Union Territory,Daman & Diu,288,0,1.8,160,20
33,Union Territory,Delhi,57963,3.1,162.29,357.2,2
34,Union Territory,Lakshadweep,80,0,0.67,119.4,27
35,Union Territory,Pondicherry,4687,0.2,10.47,447.7,1
Union Territory,Union Territory,Total (UTs),67255,3.6,191.9,350.5,NA
Total (All-India),Total (All-India),Total (All-India),1878293,100,11197.75,167.7,NA
36,City,Agra,4410,1.4,13.21,333.8,16
37,City,Ahmedabad,19238,5.9,45.19,425.7,10
38,City,Allahabad,1589,0.5,10.5,151.3,32
39,City,Amritsar,1295,0.4,10.11,128.1,34
40,City,Asansol,1699,0.5,10.91,155.7,31
41,City,Bangalore,26284,8.1,56.87,462.2,8
42,City,Bhopal,10468,3.2,14.55,719.5,2
43,City,Chennai,16168,5,64.25,251.6,23
44,City,Coimbatore,3974,1.2,14.46,274.8,21
45,City,Delhi (city),53007,16.2,127.91,414.4,12
46,City,Dhanbad,1577,0.5,10.64,148.2,33
47,City,Faridabad,4682,1.4,10.55,443.8,9
48,City,Hyderabad,17295,5.3,55.34,312.5,17
49,City,Indore,12605,3.9,16.39,769.1,1
50,City,Jabalpur,6244,1.9,11.17,559,5
51,City,Jaipur,13877,4.3,23.24,597.1,3
52,City,Jamshedpur,2624,0.8,11.02,238.1,24
53,City,Kanpur,4736,1.5,26.9,176.1,29
54,City,Kochi,5699,1.7,13.55,420.6,11
55,City,Kolkata,9381,2.9,132.17,71,35
56,City,Lucknow,6772,2.1,22.67,298.7,20
57,City,Ludhiana,2817,0.9,13.95,201.9,27
58,City,Madurai,2464,0.8,11.95,206.2,25
59,City,Meerut,2400,0.7,11.67,205.7,26
60,City,Mumbai,31070,9.5,163.68,189.8,28
61,City,Nagpur,9991,3.1,21.23,470.6,7
62,City,Nasik,2951,0.9,11.52,256.2,22
63,City,Patna,8432,2.6,17.07,494,6
64,City,Pune,11484,3.5,37.56,305.8,19
65,City,Rajkot,3489,1.1,10.02,348.2,15
66,City,Surat,8659,2.7,28.11,308,18
67,City,Vadodara,5672,1.7,14.92,380.2,14
68,City,Varanasi,1970,0.6,12.12,162.5,30
69,City,Vijayawada,5862,1.8,10.11,579.8,4
70,City,Vishakhapatnam,5478,1.7,13.29,412.2,13
City,City,Total (Cities),326363,100,1078.8,302.5,NA
