Sr. No.,Category,States/UTs/Cities,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1,State,Andhra Pradesh,9960.2,4361,43.8
2,State,Arunachal Pradesh,469.9,111.2,23.7
3,State,Assam,5173.8,1819.4,35.2
4,State,Bihar,2831.5,454.4,16
5,State,Chhattisgarh,3499.1,796.5,22.8
6,State,Goa,1289.6,180.4,14
7,State,Gujarat,25888.2,3119.9,12.1
8,State,Haryana,7939.4,4402.6,55.5
9,State,Himachal Pradesh,1410.7,400.5,28.4
10,State,Jammu & Kashmir,1327.5,583.7,44
11,State,Jharkhand,1700.9,277.8,16.3
12,State,Karnataka,9760.6,3275.8,33.6
13,State,Kerala,14415.1,1226.8,8.5
14,State,Madhya Pradesh,11125.5,3237.6,29.1
15,State,Maharashtra,72474.9,10386.3,14.3
16,State,Manipur,554.6,13.9,2.5
17,State,Meghalaya,463.5,65.1,14
18,State,Mizoram,511.1,108.3,21.2
19,State,Nagaland,1787.7,104.8,5.9
20,State,Orissa,4102.6,1368.9,33.4
21,State,Punjab,5602.2,2769.8,49.4
22,State,Rajasthan,8051.1,4547.2,56.5
23,State,Sikkim,93.1,28,30.1
24,State,Tamil Nadu,4885.9,3574.9,73.2
25,State,Tripura,278.7,63.8,22.9
26,State,Uttar Pradesh,10873.3,10005.8,92
27,State,Uttaranchal,699.6,205.7,29.4
28,State,West Bengal,5867.5,1213.2,20.7
State,State,Total (States),213038.2,58703.3,27.6
29,Union Territory,A & N Islands,70.8,22.2,31.3
30,Union Territory,Chandigarh,612.7,291.7,47.6
31,Union Territory,D & N Haveli,704.9,99.4,14.1
32,Union Territory,Daman & Diu,193,30.3,15.7
33,Union Territory,Delhi,25486.2,1352.4,5.3
34,Union Territory,Lakshadweep,3.8,1.1,29.6
35,Union Territory,Pondicherry,285,222.6,78.1
Union Territory,Union Territory,Total (UTs),27356.3,2019.7,7.4
Total (All–India),Total (All–India),Total (All–India),240394.6,60723,25.3
36,City,Agra,362.8,156.6,43.2
37,City,Ahmedabad,5071.6,429.6,8.5
38,City,Allahabad,143.8,41.5,28.8
39,City,Amritsar,420.5,200.1,47.6
40,City,Asansol,64.2,13,20.3
41,City,Bangalore,4037.1,1506.1,37.3
42,City,Bhopal,464.7,170.4,36.7
43,City,Chennai,920.6,711.2,77.3
44,City,Coimbatore,516.7,155.8,30.1
45,City,Delhi (city),23049,987.1,4.3
46,City,Dhanbad,80.1,24.7,30.8
47,City,Faridabad,784.2,423.5,54
48,City,Hyderabad,2396.8,1148.3,47.9
49,City,Indore,1407.1,550.7,39.1
50,City,Jabalpur,210.2,38.3,18.2
51,City,Jaipur,1309.2,587.4,44.9
52,City,Jamshedpur,216.4,19.6,9.1
53,City,Kanpur,482.4,260.1,53.9
54,City,Kochi,311.2,55.2,17.7
55,City,Kolkata,3125.7,720.2,23
56,City,Lucknow,672.7,320.5,47.7
57,City,Ludhiana,808.9,380.7,47.1
58,City,Madurai,110.3,85.3,77.3
59,City,Meerut,183.7,76,41.4
60,City,Mumbai,35049.4,3797.3,10.8
61,City,Nagpur,2006.9,326.2,16.3
62,City,Nasik,2117,181.2,8.6
63,City,Patna,272.4,98.8,36.3
64,City,Pune,4089.7,640,15.6
65,City,Rajkot,1523.8,406.9,26.7
66,City,Surat,1319.1,393.3,29.8
67,City,Vadodara,1812.1,266.2,14.7
68,City,Varanasi,156.2,29.3,18.7
69,City,Vijayawada,392.3,110.9,28.3
70,City,Vishakhapatnam,646.4,171.9,26.6
