Sr. No.,Category,States/ UTs,Number of Police Personnel - SC,Number of Police Personnel - ST,Number of Police Personnel - Muslim,Number of Police Personnel - Others,Number of Police Personnel - Total
1,State,Andhra Pradesh,11522,4762,10512,52500,79296
2,State,Arunachal Pradesh,69,4024,68,1281,5442
3,State,Assam,2459,5061,5492,39037,52049
4,State,Bihar,5422,1965,2844,41392,51623
5,State,Chhattisgarh,1268,2850,747,25230,30095
6,State,Goa,75,138,66,3243,3522
7,State,Gujarat,9819,11414,4098,58647,83978
8,State,Haryana,4235,0,2115,28130,34480
9,State,Himachal Pradesh,2864,792,193,8224,12073
10,State,Jammu & Kashmir,NA,NA,NA,NA,NA
11,State,Jharkhand,3341,6886,1419,17120,28766
12,State,Karnataka,9137,2502,3820,36593,52052
13,State,Kerala,6607,597,5919,30421,43544
14,State,Madhya Pradesh,NA,NA,NA,NA,NA
15,State,Maharashtra,21536,9897,7713,114482,153628
16,State,Manipur,251,3630,1644,8726,14251
17,State,Meghalaya,1386,6726,155,663,8930
18,State,Mizoram,188,6731,41,409,7369
19,State,Nagaland,332,8473,113,3029,11947
20,State,Orissa,5180,6442,745,26385,38752
21,State,Punjab,17086,3,228,54610,71927
22,State,Rajasthan,9873,8039,2068,45408,65388
23,State,Sikkim,179,1476,3,2008,3666
24,State,Tamil Nadu,14095,645,3135,66365,84240
25,State,Tripura,3209,5702,760,10631,20302
26,State,Uttar Pradesh,26464,1249,6659,118561,152933
27,State,Uttarakhand,3195,780,358,9194,13527
28,State,West Bengal,11019,4367,6858,58327,80571
State,State,Total (States),170811,105151,67773,860616,1204351
29,Union Territory,A & N Islands,0,252,242,2251,2745
30,Union Territory,Chandigarh,549,1,12,3501,4063
31,Union Territory,D & N Haveli,22,110,3,82,217
32,Union Territory,Daman & Diu,77,5,9,131,222
33,Union Territory,Delhi,9037,3755,1271,42370,56433
34,Union Territory,Lakshadweep,3,231,2,74,310
35,Union Territory,Puducherry,465,14,53,1574,2106
Union Territory,Union Territory,Total (UTs),10153,4368,1592,49983,66096
Total (All-India),Total (All-India),Total (All-India),180964,109519,69365,910599,1270447
