Sr. No.,Event,No. of Occasions of Police Firing,Civilians Killed,Civilians Injured,Policemen Killed,Policemen Injured
1,Riot Control,168,41,222,7,566
2,Anti-dacoity Operations,584,122,145,8,60
3,Against Extremists and Terrorists,471,246,16,48,116
4,Against Others,140,63,49,1,89
5,Total,1363,472,432,64,831
