Sr. No.,Category,States/UTs,DG/Addl.DG/IG/DIG - Sanctioned,DG/Addl.DG/IG/DIG - Actual,SSP/SP/Addl.SP/ASP/Dy.SP - Sanctioned,SSP/SP/Addl.SP/ASP/Dy.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Personnel below A.S.I. Rank - Sanctioned,Personnel below A.S.I. Rank - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,75,70,465,417,7514,6779,63809,59377,71863,66643
2,State,Arunachal Pradesh,6,5,63,47,537,466,2655,2443,3261,2961
3,State,Assam,34,34,295,269,5008,4876,24696,23162,30033,28341
4,State,Bihar,48,53,330,303,11150,8444,44813,34473,56341,43273
5,State,Chhattisgarh,22,28,240,146,3326,1463,24222,16510,27810,18147
6,State,Goa,2,3,26,27,311,327,2781,2720,3120,3077
7,State,Gujarat,63,52,310,301,10629,10356,59233,57052,70235,67761
8,State,Haryana,39,25,200,162,5104,3387,35617,25627,40960,29201
9,State,Himachal Pradesh,35,35,110,110,1362,1251,9389,7422,10896,8818
10,State,Jammu & Kashmir,35,23,342,317,5137,4556,37795,34207,43309,39103
11,State,Jharkhand,0,0,85,90,2779,3304,19779,22336,22643,25730
12,State,Karnataka,15,11,255,233,5771,4859,52392,42908,58433,48011
13,State,Kerala,28,25,345,323,3899,3243,33905,32096,38177,35687
14,State,Madhya Pradesh,60,60,854,854,7029,7029,47355,47355,55298,55298
15,State,Maharashtra,70,104,925,711,24614,22193,120048,117081,145657,140089
16,State,Manipur,13,12,71,59,1171,965,4700,4168,5955,5204
17,State,Meghalaya,18,11,49,49,976,887,5259,4688,6302,5635
18,State,Mizoram,6,4,80,68,1012,912,2151,1969,3249,2953
19,State,Nagaland,22,22,73,71,478,457,5139,4947,5712,5497
20,State,Orissa,32,26,304,252,5933,4542,23996,23093,30265,27913
21,State,Punjab,44,44,394,394,6130,6130,45628,45628,52196,52196
22,State,Rajasthan,60,42,861,617,9345,7598,48964,46509,59230,54766
23,State,Sikkim,16,16,49,59,305,387,1636,1522,2006,1984
24,State,Tamil Nadu,91,86,897,766,9749,8569,73509,60492,84246,69913
25,State,Tripura,20,10,199,111,1431,1062,9496,6983,11146,8166
26,State,Uttar Pradesh,154,144,1306,1062,13476,12667,118659,106020,133595,119893
27,State,Uttarakhand,15,12,107,93,914,669,12414,8744,13450,9518
28,State,West Bengal,95,94,484,398,19217,17469,49434,43432,69230,61393
State,State,Total (States),1118,1051,9719,8309,164307,144847,979474,882964,1154618,1037171
29,Union Territory,A & N Islands,2,2,12,12,398,334,1874,1856,2286,2204
30,Union Territory,Chandigarh,1,1,15,16,473,445,3301,3182,3790,3644
31,Union Territory,D & N Haveli,0,0,2,2,17,15,222,200,241,217
32,Union Territory,Daman & Diu,1,1,4,2,22,19,218,200,245,222
33,Union Territory,Delhi,27,34,288,270,9925,9271,36393,37119,46633,46694
34,Union Territory,Lakshadweep,0,0,2,2,53,35,294,273,349,310
35,Union Territory,Puducherry,2,2,21,15,289,204,1430,1216,1742,1437
Union Territory,Union Territory,Total (UTs),33,40,344,319,11177,10323,43732,44046,55286,54728
Total (All-India),Total (All-India),Total (All-India),1151,1091,10063,8628,175484,155170,1023206,927010,1209904,1091899
